Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
°­¹ÎÈ£,2019,03-23,@NC,L 0:7,7,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,13,-0.69,-0.020,1,0.000,0.24
°­¹ÎÈ£,2019,03-24,@NC,W 4:3,7,C,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,16,-1.21,-0.139,1,,
°­¹ÎÈ£,2019,03-26,@·Ôµ¥,L 2:7,6,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,9,-0.56,-0.049,1,0.000,0.64
°­¹ÎÈ£,2019,03-27,@·Ôµ¥,W 23:4,7,C,5,2,3,0,0,1,6,1,0,0,0,0,0,1,0,0,0,0.200,0.400,0.600,17,0.56,0.085,1,,
°­¹ÎÈ£,2019,03-28,@·Ôµ¥,W 12:7,6,C,5,2,2,0,0,2,8,4,0,0,1,0,0,0,1,0,0,0.250,0.700,0.986,19,1.46,0.170,1,0.286,0.52
°­¹ÎÈ£,2019,03-29,µÎ»ê,L 2:3,6,C,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.625,0.905,16,-0.01,-0.053,1,,
°­¹ÎÈ£,2019,03-30,µÎ»ê,L 2:4,4,C,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.214,0.536,0.777,17,-1.24,-0.119,1,0.241,1.04
°­¹ÎÈ£,2019,03-31,µÎ»ê,L 4:9,8,C,2,1,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.267,0.667,0.979,15,2.13,0.227,1,,
°­¹ÎÈ£,2019,04-02,KIA,L 1:4,7,C,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.265,0.618,0.923,14,-0.46,-0.043,1,0.306,0.85
°­¹ÎÈ£,2019,04-03,KIA,W 6:3,6,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.243,0.568,0.850,12,-0.84,-0.081,1,,
°­¹ÎÈ£,2019,04-04,KIA,W 12:7,7,C,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.225,0.525,0.781,11,-1.22,-0.015,1,0.256,0.22
°­¹ÎÈ£,2019,04-05,@SK,L 0:3,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.512,0.762,4,-0.26,-0.019,0,,
°­¹ÎÈ£,2019,04-06,@SK,L 1:2,7,C,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.205,0.477,0.711,11,-0.63,-0.058,1,0.234,0.75
°­¹ÎÈ£,2019,04-07,@SK,L 2:3,8,C,4,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.250,0.521,0.795,12,0.93,0.079,1,,
°­¹ÎÈ£,2019,04-10,@LG,W 6:5,7,C,3,1,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.255,0.510,0.801,18,1.55,0.044,1,0.291,0.70
°­¹ÎÈ£,2019,04-11,@LG,L 2:5,7,C,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.241,0.481,0.757,18,-0.76,-0.092,1,,
°­¹ÎÈ£,2019,04-12,KT,W 5:0,6,C,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.232,0.464,0.755,20,-0.02,-0.038,1,0.290,0.81
°­¹ÎÈ£,2019,04-13,KT,L 3:5,6,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.433,0.706,17,-1.29,-0.102,1,,
°­¹ÎÈ£,2019,04-16,Å°¿ò,L 0:4,7,C,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.219,0.422,0.693,18,0.10,0.036,1,0.271,0.64
°­¹ÎÈ£,2019,04-17,Å°¿ò,L 3:5,6,C,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.206,0.397,0.654,15,-1.02,-0.130,1,,
°­¹ÎÈ£,2019,04-18,Å°¿ò,W 5:4,5,C,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.208,0.389,0.645,13,-0.70,-0.038,1,0.256,1.46
°­¹ÎÈ£,2019,04-19,@ÇÑÈ­,L 3:4,6,C,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.195,0.364,0.614,22,-0.79,-0.088,1,,
°­¹ÎÈ£,2019,04-20,@ÇÑÈ­,L 5:12,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.192,0.359,0.606,4,-0.60,-0.013,0,0.247,0.56
°­¹ÎÈ£,2019,04-21,@ÇÑÈ­,W 16:0,7,C,3,2,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0.198,0.358,0.625,21,0.60,-0.029,1,,
°­¹ÎÈ£,2019,04-24,SK,L 8:9,7,C,5,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.198,0.360,0.624,22,-0.49,-0.053,1,0.263,1.08
°­¹ÎÈ£,2019,04-25,SK,L 3:4,7,C,4,0,3,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0.222,0.400,0.683,13,1.01,0.157,1,,
°­¹ÎÈ£,2019,04-27,LG,L 0:8,5,C,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.226,0.398,0.682,6,-0.10,0.009,1,0.284,0.41
°­¹ÎÈ£,2019,04-28,LG,L 1:2,5,C,3,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.229,0.406,0.699,20,0.53,0.060,1,,
°­¹ÎÈ£,2019,05-01,@KIA,W 10:2,5,C,5,2,2,1,0,1,6,3,0,0,0,0,0,0,2,0,0,0.238,0.446,0.743,15,1.60,0.288,1,0.297,0.58
°­¹ÎÈ£,2019,05-02,@KIA,L 1:8,5,C,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.240,0.442,0.741,11,-0.16,-0.011,1,,
