Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
강백호,2020,05-05,롯데,L 2:7,3,1B,3,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0.333,1.333,1.833,16,0.76,0.152,1,0.500,0.57
강백호,2020,05-06,롯데,L 4:9,3,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.286,0.714,1.089,10,-0.78,-0.071,1,,
강백호,2020,05-07,롯데,L 3:7,3,1B,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.273,0.636,0.970,15,-0.27,-0.048,1,0.333,0.62
강백호,2020,05-08,@두산,W 12:3,3,1B,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.333,0.667,1.042,17,0.80,0.139,1,,
강백호,2020,05-10,@두산,L 12:13,3,1B,5,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.300,0.700,1.064,18,0.21,0.020,1,0.364,0.90
강백호,2020,05-12,@NC,L 6:7,3,1B,5,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.320,0.760,1.130,13,0.10,0.089,1,,
강백호,2020,05-13,@NC,L 4:5,3,1B,4,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.310,0.690,1.065,24,-0.29,-0.031,1,0.375,0.98
강백호,2020,05-14,@NC,L 0:1,2,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.303,0.636,0.997,14,-0.55,-0.113,1,,
강백호,2020,05-15,삼성,W 14:6,3,1B,5,1,1,1,0,0,2,3,0,0,0,0,0,2,0,0,0,0.289,0.605,0.947,20,0.59,0.137,1,0.341,1.13
강백호,2020,05-16,삼성,W 10:4,3,1B,4,2,3,2,1,0,7,1,0,0,1,0,0,0,0,0,0,0.333,0.714,1.106,13,2.29,0.086,1,,
강백호,2020,05-17,삼성,W 9:2,4,1B,3,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,1,0.333,0.756,1.148,15,1.16,0.000,1,0.392,0.53
강백호,2020,05-19,한화,W 13:11,4,1B,4,2,3,1,0,1,7,3,0,0,1,0,0,0,0,0,0,0.367,0.837,1.265,15,3.75,0.142,1,,
강백호,2020,05-20,한화,W 8:1,4,1B,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.358,0.792,1.219,20,-0.43,0.021,1,0.426,0.18
강백호,2020,05-21,한화,L 4:9,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.333,0.737,1.137,13,-1.91,-0.131,1,,
강백호,2020,06-09,KIA,L 2:3,3,1B,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.322,0.712,1.118,17,-0.23,-0.046,1,0.406,1.30
강백호,2020,06-10,KIA,L 0:10,3,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.311,0.689,1.083,9,-0.44,-0.008,1,,
강백호,2020,06-11,KIA,W 13:8,3,1B,5,3,3,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.333,0.727,1.135,15,0.67,0.118,1,0.408,0.25
강백호,2020,06-13,@삼성,L 3:5,3,1B,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.343,0.757,1.170,10,0.93,0.092,1,,
강백호,2020,06-13,@삼성,W 7:4,3,1B,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.720,1.120,10,-0.17,-0.013,1,0.400,1.31
강백호,2020,06-14,@삼성,L 0:12,3,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.329,0.696,1.089,13,-0.49,0.000,1,,
강백호,2020,06-16,@SK,W 6:5,3,1B,5,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.333,0.679,1.072,18,0.09,0.059,1,0.394,1.25
강백호,2020,06-17,@SK,W 6:4,7,PH,2,1,1,0,0,1,4,1,0,0,1,0,1,1,0,0,0,0.337,0.709,1.111,7,1.12,0.125,0,,
강백호,2020,06-18,@SK,W 5:3,4,1B,5,2,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0.352,0.703,1.115,12,0.68,0.090,1,0.412,0.95
강백호,2020,06-19,롯데,W 9:8,4,1B,3,1,1,1,0,0,2,1,0,0,1,0,0,1,0,0,1,0.351,0.702,1.113,17,0.22,-0.047,1,,
강백호,2020,06-20,롯데,L 0:8,4,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340,0.680,1.080,12,-0.97,-0.109,1,0.400,1.84
강백호,2020,06-21,롯데,W 3:2,4,1B,3,2,2,0,0,2,8,3,0,0,0,0,0,1,0,0,0,0.350,0.740,1.147,12,2.69,0.250,1,,
강백호,2020,06-23,NC,L 3:4,4,1B,2,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0.353,0.735,1.154,13,0.57,0.092,1,0.419,1.82
강백호,2020,06-25,NC,W 19:6,4,1B,5,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.355,0.709,1.130,15,0.18,-0.032,1,0.421,1.04
강백호,2020,06-25,NC,L 1:3,4,1B,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.352,0.724,1.145,23,-0.20,-0.044,1,,
강백호,2020,06-26,@한화,L 4:7,4,1B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.351,0.693,1.108,10,0.32,-0.021,1,,
강백호,2020,06-27,@한화,W 7:2,4,1B,2,1,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0.345,0.681,1.103,20,0.29,-0.010,1,0.422,0.93
강백호,2020,06-28,@한화,W 8:4,4,1B,4,1,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0.342,0.667,1.084,19,-0.95,0.006,1,,
강백호,2020,06-30,@LG,L 3:4,4,1B,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.325,0.635,1.035,25,-2.06,-0.284,1,0.400,2.00
강백호,2020,07-01,@LG,W 11:5,4,1B,5,2,2,1,0,1,6,4,0,0,0,0,0,0,0,0,0,0.328,0.656,1.056,16,2.74,0.076,1,,
강백호,2020,07-02,@LG,W 4:3,4,1B,5,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.331,0.654,1.054,21,-0.26,0.088,1,0.400,1.59
강백호,2020,07-03,키움,W 3:2,8,PH,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.336,0.657,1.065,10,0.80,0.129,0,,
강백호,2020,07-04,키움,L 6:10,4,1B,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.326,0.638,1.040,20,-0.90,-0.204,1,0.401,2.44
강백호,2020,07-05,키움,W 10:5,4,1B,3,2,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.326,0.632,1.036,18,0.89,0.059,1,,
강백호,2020,07-07,@KIA,W 8:2,4,1B,4,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.324,0.622,1.025,27,-0.95,-0.126,1,0.404,0.82
강백호,2020,07-08,@KIA,W 7:4,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.316,0.605,1.000,12,-1.08,-0.069,1,,
강백호,2020,07-09,@KIA,L 4:10,4,1B,4,2,4,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0.333,0.615,1.026,21,2.92,0.308,1,0.411,1.19
강백호,2020,07-10,삼성,W 8:3,4,1B,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.331,0.625,1.033,20,-0.40,-0.070,1,,
강백호,2020,07-11,삼성,W 10:7,4,1B,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.323,0.610,1.012,20,-1.79,-0.121,1,0.402,1.07
강백호,2020,07-14,한화,W 7:2,4,1B,3,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0.323,0.605,1.004,13,-0.04,0.044,1,,
강백호,2020,07-15,한화,L 3:7,4,1B,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.320,0.593,0.987,19,-1.15,-0.073,1,0.394,0.78
강백호,2020,07-16,한화,W 4:1,4,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.318,0.585,0.976,6,-0.77,-0.028,1,,
강백호,2020,07-17,@NC,D 3:3,4,1B,5,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.315,0.580,0.967,20,-1.26,-0.095,1,0.386,1.77
강백호,2020,07-18,@NC,L 1:6,2,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.310,0.571,0.955,13,-0.68,-0.051,1,,
