Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
°­½ÂÈ£,2017,05-06,@µÎ»ê,W 7:5,6,SS,3,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0.333,0.333,0.667,9,1.34,0.098,1,0.333,0.79
°­½ÂÈ£,2017,05-07,@µÎ»ê,W 10:4,9,SS,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.400,0.400,0.800,8,-0.14,-0.006,1,,
°­½ÂÈ£,2017,05-10,@»ï¼º,W 6:1,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,4,-0.26,-0.059,0,0.333,2.32
°­½ÂÈ£,2017,05-12,ÇÑÈ­,L 3:5,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.286,0.571,6,-0.32,-0.061,0,,
°­½ÂÈ£,2017,05-13,ÇÑÈ­,L 0:10,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.200,0.200,0.400,13,-1.42,-0.025,1,0.200,0.32
°­½ÂÈ£,2017,06-03,NC,L 3:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.364,4,-0.26,-0.088,0,,
°­½ÂÈ£,2017,06-07,@kt,W 11:7,9,PH,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.308,0.308,0.615,6,1.02,0.206,0,0.308,2.77
°­½ÂÈ£,2017,06-08,@kt,W 5:4,9,2B,2,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0.333,0.400,0.775,8,0.93,0.141,1,,
°­½ÂÈ£,2017,06-09,SK,W 3:1,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.278,0.333,0.649,10,-0.62,-0.052,1,0.316,0.63
°­½ÂÈ£,2017,06-10,SK,L 3:4,7,2B,4,1,2,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0.318,0.455,0.802,14,2.14,0.259,1,,
°­½ÂÈ£,2017,06-11,SK,W 19:1,7,2B,2,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0.333,0.458,0.815,18,0.68,0.044,1,0.357,0.37
°­½ÂÈ£,2017,06-13,@µÎ»ê,L 4:7,9,2B,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.444,0.799,7,-0.49,-0.022,1,,
°­½ÂÈ£,2017,06-15,@µÎ»ê,W 12:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.429,0.772,5,-0.82,-0.002,0,0.344,0.10
°­½ÂÈ£,2017,06-18,@KIA,W 16:8,7,2B,4,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.344,0.438,0.799,12,0.90,0.091,0,,
°­½ÂÈ£,2017,06-21,»ï¼º,L 3:10,9,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.364,0.455,0.833,3,0.13,0.000,0,0.378,0.00
°­½ÂÈ£,2017,06-22,»ï¼º,L 1:5,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.417,0.767,10,-1.26,-0.135,1,,
°­½ÂÈ£,2017,06-23,@³Ø¼¾,L 3:8,7,PH,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.351,0.459,0.825,1,0.43,0.002,0,0.366,0.03
°­½ÂÈ£,2017,06-24,@³Ø¼¾,W 8:2,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0.459,0.825,0,0.00,0.000,0,,
°­½ÂÈ£,2017,06-25,@³Ø¼¾,L 2:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.342,0.447,0.805,4,-0.26,-0.039,0,0.357,1.54
