Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
고명성,2019,03-26,@NC,L 8:9,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,5,-0.32,-0.073,0,0.000,3.04
고명성,2019,03-27,@NC,L 1:4,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,11,-0.50,-0.050,1,,
고명성,2019,03-28,@NC,L 2:6,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
고명성,2019,03-30,KIA,W 6:2,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,5,-0.12,-0.001,0,,
고명성,2019,03-31,KIA,L 2:4,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
고명성,2019,04-02,@두산,L 0:9,2,2B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.200,6,0.40,0.000,0,,
고명성,2019,04-05,LG,L 0:13,5,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.167,5,-0.54,0.000,0,0.167,0.00
고명성,2019,04-09,@키움,L 3:7,2,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,6,0.22,0.007,0,,
고명성,2019,04-10,@키움,L 2:4,6,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,0,0.00,0.000,0,0.286,0.00
고명성,2019,04-11,@키움,W 8:1,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,0,0.00,0.000,0,,
고명성,2019,04-12,@삼성,L 0:5,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,0,0.00,0.000,0,0.286,0.00
고명성,2019,04-14,@삼성,L 12:14,6,2B,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.143,0.143,0.476,9,-0.08,0.017,0,,
고명성,2019,04-17,한화,L 5:8,7,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.476,0,0.00,0.000,0,0.333,0.00
고명성,2019,04-19,@롯데,W 6:5,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.476,0,0.00,0.000,0,,
고명성,2019,04-20,@롯데,L 4:5,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.476,0,0.00,0.000,0,0.333,0.00
고명성,2019,04-24,NC,L 2:10,6,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.111,0.111,0.384,4,-0.75,-0.066,0,,
고명성,2019,04-26,SK,L 0:2,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.384,0,0.00,0.000,0,0.273,0.00
고명성,2019,06-19,@키움,L 2:8,2,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100,0.100,0.350,3,-0.26,-0.001,0,,
고명성,2019,06-22,NC,L 6:7,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.100,0.350,0,0.00,0.000,0,0.250,0.00
고명성,2019,06-23,NC,W 4:2,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.100,0.350,0,-0.47,-0.020,0,,
고명성,2019,06-25,@롯데,D 8:8,8,PR,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.452,9,0.28,0.047,0,0.286,2.18
고명성,2019,06-28,KIA,W 9:1,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,0,0.00,0.000,0,,
고명성,2019,06-29,KIA,W 5:3,1,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.421,4,-0.12,-0.003,0,0.267,0.12
고명성,2019,06-30,KIA,W 4:3,2,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,2,-0.18,-0.045,0,,
고명성,2019,07-04,삼성,W 5:3,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,0,0.00,0.000,0,0.250,0.00
고명성,2019,07-05,@한화,W 10:3,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.133,0.369,4,-0.18,0.000,0,,
고명성,2019,07-09,키움,L 3:12,5,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,1,-0.18,0.000,0,0.222,0.01
고명성,2019,07-13,@NC,W 13:3,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,0,0.00,0.000,0,,
고명성,2019,07-17,@두산,W 6:4,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,0,0.00,0.000,0,0.222,0.00
고명성,2019,07-18,@두산,W 7:4,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,0,0.00,0.000,0,,
