Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
°ø¹Î±Ô,2019,05-03,@Å°¿ò,L 3:8,7,1B,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.333,0.667,1.167,14,-0.19,-0.005,1,0.500,1.40
°ø¹Î±Ô,2019,05-04,@Å°¿ò,W 3:1,7,1B,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.429,0.571,1.071,11,-0.28,0.012,1,,
°ø¹Î±Ô,2019,05-05,@Å°¿ò,L 2:12,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.500,0.944,1,-0.34,-0.002,0,0.444,0.07
°ø¹Î±Ô,2019,05-07,NC,W 6:3,7,1B,2,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0.400,0.800,1.300,9,2.73,0.224,1,,
°ø¹Î±Ô,2019,05-08,NC,W 2:0,7,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.308,0.615,1.015,14,-0.70,-0.032,1,0.400,0.42
°ø¹Î±Ô,2019,05-10,·Ôµ¥,L 5:12,8,1B,3,1,1,0,0,1,4,2,0,0,1,0,0,1,0,0,0,0.313,0.750,1.171,21,1.43,0.145,1,,
°ø¹Î±Ô,2019,05-11,·Ôµ¥,W 9:2,8,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.750,1.171,0,0.00,0.000,0,0.421,0.00
°ø¹Î±Ô,2019,05-12,·Ôµ¥,L 9:10,8,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.632,0.995,9,-1.43,-0.068,1,,
°ø¹Î±Ô,2019,05-26,Å°¿ò,W 4:3,9,PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.632,0.995,0,0.00,0.000,0,0.364,0.00
°ø¹Î±Ô,2019,05-28,@µÎ»ê,L 1:4,7,1B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.591,0.951,9,-0.44,-0.027,1,,
°ø¹Î±Ô,2019,05-30,@µÎ»ê,W 2:1,9,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.269,0.538,0.883,20,-0.77,-0.083,1,0.345,1.29
°ø¹Î±Ô,2019,05-31,@·Ôµ¥,L 1:6,7,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.296,0.556,0.922,3,0.95,0.011,0,,
°ø¹Î±Ô,2019,06-05,NC,W 4:3,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.536,0.891,2,-0.18,-0.005,0,0.355,0.18
°ø¹Î±Ô,2019,06-07,@SK,L 2:4,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.536,0.891,0,0.00,0.000,0,,
°ø¹Î±Ô,2019,06-08,@SK,L 0:8,8,1B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.290,0.516,0.869,16,-0.24,-0.045,1,0.353,0.69
°ø¹Î±Ô,2019,06-09,@SK,W 9:0,9,1B,3,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.324,0.529,0.924,16,0.58,-0.019,1,,
°ø¹Î±Ô,2019,06-11,@KIA,L 1:7,9,1B,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.306,0.500,0.890,20,-0.60,-0.062,1,0.390,1.24
°ø¹Î±Ô,2019,07-09,KIA,W 3:2,8,DH,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.282,0.462,0.839,24,-0.76,-0.047,1,,
°ø¹Î±Ô,2019,08-03,@LG,L 10:13,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.450,0.820,4,-0.18,-0.015,0,0.370,0.59
°ø¹Î±Ô,2019,08-08,·Ôµ¥,L 0:8,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.439,0.801,3,-0.18,0.000,0,,
°ø¹Î±Ô,2019,08-09,·Ôµ¥,L 3:6,7,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.409,0.749,13,-0.90,-0.103,1,0.340,1.42
°ø¹Î±Ô,2019,09-03,@·Ôµ¥,W 5:4,9,PH,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.267,0.489,0.842,4,1.00,0.352,0,,
°ø¹Î±Ô,2019,09-04,@·Ôµ¥,W 8:0,7,PH,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.277,0.489,0.848,8,-0.16,-0.001,0,0.358,0.03
°ø¹Î±Ô,2019,09-06,@Å°¿ò,L 1:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.479,0.831,4,-0.26,-0.007,0,,
°ø¹Î±Ô,2019,09-07,NC,L 2:8,8,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.260,0.460,0.799,8,-0.44,-0.044,1,0.339,0.87
°ø¹Î±Ô,2019,09-11,KT,W 11:8,7,PH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.260,0.460,0.811,4,0.18,0.007,0,,
°ø¹Î±Ô,2019,09-13,ÇÑÈ­,L 4:5,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.255,0.451,0.796,5,-0.32,-0.057,0,0.345,2.37
°ø¹Î±Ô,2019,09-14,@NC,L 1:7,7,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.245,0.434,0.767,8,-0.30,-0.026,1,,
