Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±¸º»Çõ,2020,05-05,µÎ»ê,W 8:2,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±¸º»Çõ,2020,05-08,@NC,L 5:13,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
±¸º»Çõ,2020,05-10,@NC,W 10:8,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±¸º»Çõ,2020,05-13,SK,W 14:2,5,3B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,4,-0.07,0.000,0,,
±¸º»Çõ,2020,05-16,Å°¿ò,W 3:1,7,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±¸º»Çõ,2020,05-16,Å°¿ò,W 5:3,1,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
±¸º»Çõ,2020,05-17,Å°¿ò,L 4:9,8,SS,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,5,0.14,-0.018,1,0.333,0.62
±¸º»Çõ,2020,05-19,@»ï¼º,W 10:6,5,PR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.250,0.650,7,-0.33,-0.002,0,,
±¸º»Çõ,2020,05-20,@»ï¼º,L 1:3,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.650,0,0.00,0.000,0,0.400,0.00
±¸º»Çõ,2020,05-21,@»ï¼º,W 2:0,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.533,8,-0.18,-0.006,0,,
±¸º»Çõ,2020,05-22,KT,W 6:5,7,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,0,0.00,0.000,0,0.333,0.00
±¸º»Çõ,2020,05-24,KT,W 9:7,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,0,0.00,0.000,0,,
±¸º»Çõ,2020,05-26,@ÇÑÈ­,W 3:0,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,0,0.00,0.000,0,0.333,0.00
±¸º»Çõ,2020,05-27,@ÇÑÈ­,W 15:4,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,0,0.00,0.000,0,,
±¸º»Çõ,2020,05-28,@ÇÑÈ­,W 3:0,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.452,4,-0.18,-0.005,0,0.286,0.19
±¸º»Çõ,2020,05-29,@KIA,W 6:2,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,7,-0.26,-0.002,0,,
±¸º»Çõ,2020,05-30,@KIA,L 6:10,6,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,0,0.00,0.000,0,0.250,0.00
±¸º»Çõ,2020,05-31,@KIA,W 13:5,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,0,0.00,0.000,0,,
±¸º»Çõ,2020,06-02,»ï¼º,L 0:2,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,0,0.00,0.000,0,0.250,0.00
±¸º»Çõ,2020,06-03,»ï¼º,L 6:12,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,0,0.26,0.020,0,,
±¸º»Çõ,2020,06-04,»ï¼º,W 11:0,5,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,4,-0.26,0.000,0,0.222,0.00
±¸º»Çõ,2020,06-06,@Å°¿ò,L 4:5,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,0,0.00,0.000,0,,
±¸º»Çõ,2020,06-07,@Å°¿ò,W 8:1,9,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.311,1,-0.32,0.000,0,0.200,0.00
±¸º»Çõ,2020,06-09,SK,L 3:5,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.311,0,0.00,0.000,0,,
±¸º»Çõ,2020,06-11,SK,W 3:1,9,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.100,0.282,2,-0.18,-0.005,0,0.182,0.18
±¸º»Çõ,2020,06-11,SK,W 4:3,7,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.100,0.282,0,0.00,0.000,0,,
±¸º»Çõ,2020,06-12,·Ôµ¥,W 3:2,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.083,0.083,0.237,10,-0.48,-0.075,1,0.154,1.50
±¸º»Çõ,2020,06-13,·Ôµ¥,L 6:7,9,3B,4,1,3,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0.250,0.438,0.732,16,2.92,0.404,1,,
±¸º»Çõ,2020,06-14,·Ôµ¥,W 10:6,6,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.412,0.690,2,-0.26,-0.003,0,0.278,0.11
±¸º»Çõ,2020,06-16,@ÇÑÈ­,W 9:5,9,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.190,0.333,0.561,13,-1.16,-0.020,1,,
±¸º»Çõ,2020,06-17,@ÇÑÈ­,W 7:1,9,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.318,0.536,6,-0.32,-0.001,0,0.217,0.04
