Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
국해성,2020,06-13,@한화,L 6:7,9,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,12,-0.65,-0.175,0,0.000,3.28
국해성,2020,06-14,@한화,L 2:3,9,PH,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,7,-0.20,-0.055,0,,
국해성,2020,06-16,삼성,L 3:4,9,PH,2,0,1,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0.167,0.167,0.452,6,1.19,0.113,0,0.286,3.33
국해성,2020,06-17,삼성,L 3:6,8,LF,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.111,0.111,0.384,15,-0.41,-0.019,1,,
국해성,2020,06-18,삼성,W 7:3,7,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.077,0.077,0.277,17,-1.20,-0.113,1,0.200,1.20
국해성,2020,06-19,@LG,W 18:10,6,LF,5,2,3,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0.222,0.222,0.508,16,2.05,0.079,1,,
국해성,2020,06-20,@LG,W 8:2,8,LF,4,2,2,1,0,1,6,3,0,0,0,0,0,2,0,0,0,0.273,0.455,0.775,20,1.92,0.146,1,0.320,0.49
국해성,2020,06-21,@LG,W 3:1,7,RF,4,1,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0.308,0.462,0.828,13,0.75,0.076,1,,
국해성,2020,06-23,@SK,W 9:2,6,LF,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.300,0.433,0.805,24,-0.30,-0.010,1,0.371,0.39
국해성,2020,06-25,@SK,L 0:7,7,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.394,0.736,7,-0.70,-0.048,1,0.342,0.63
국해성,2020,06-25,@SK,W 14:6,9,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.433,0.805,0,0.00,0.000,0,,
국해성,2020,06-26,NC,L 3:9,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.382,0.716,6,-0.18,-0.001,0,,
국해성,2020,06-27,NC,W 12:3,3,PH,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.286,0.486,0.836,3,1.87,0.001,0,0.350,0.00
국해성,2020,06-28,NC,L 0:5,7,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.263,0.447,0.788,18,-0.36,-0.012,1,,
국해성,2020,06-30,@키움,L 2:11,6,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.238,0.405,0.717,14,-1.95,-0.132,1,0.313,0.83
국해성,2020,07-01,@키움,W 14:5,9,RF,5,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.234,0.383,0.685,17,-1.26,-0.005,1,,
국해성,2020,07-02,@키움,L 7:10,9,RF,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.235,0.373,0.671,12,-0.07,0.020,1,0.298,1.44
국해성,2020,07-03,한화,W 2:1,9,RF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.385,0.695,1,0.40,0.040,1,,
국해성,2020,07-04,한화,L 2:6,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.245,0.377,0.682,5,-0.51,-0.028,0,0.305,1.24
국해성,2020,07-05,한화,W 7:4,9,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0.364,0.659,10,-0.84,-0.106,1,,
국해성,2020,07-10,@롯데,W 10:5,9,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.232,0.357,0.647,7,-0.38,-0.020,1,0.290,0.85
국해성,2020,07-14,SK,L 7:12,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0.357,0.647,0,0.00,0.000,0,,
국해성,2020,07-15,SK,W 7:2,1,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0.357,0.647,0,0.00,0.000,0,0.290,0.00
국해성,2020,07-17,@KIA,L 2:4,9,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.220,0.339,0.616,8,-0.63,-0.070,1,,
국해성,2020,08-07,롯데,L 4:8,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.333,0.606,5,-0.18,-0.005,0,0.273,0.21
국해성,2020,08-08,롯데,D 1:1,9,LF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.230,0.344,0.628,1,0.28,0.022,1,,
국해성,2020,08-12,@삼성,W 15:8,1,RF,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.242,0.355,0.659,7,1.38,0.004,0,0.304,0.03
국해성,2020,08-13,@삼성,L 2:3,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.238,0.349,0.649,7,-0.38,-0.065,0,,
국해성,2020,08-14,KT,L 3:5,1,RF,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.234,0.344,0.640,2,0.13,0.123,0,0.296,5.88
국해성,2020,08-15,KT,W 7:5,5,PH,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.246,0.400,0.706,1,2.65,0.829,0,,
국해성,2020,08-16,KT,L 1:4,5,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.232,0.377,0.666,16,-1.10,-0.097,1,0.289,0.94
