Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è°­¹Î,2020,05-06,ÇÑÈ­,W 5:2,1,CF,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.250,0.250,0.650,22,-0.51,0.048,1,0.400,0.41
±è°­¹Î,2020,05-08,@·Ôµ¥,L 8:9,2,CF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.900,4,0.13,0.013,0,,
±è°­¹Î,2020,05-12,@LG,L 5:9,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.222,0.522,12,-1.14,-0.077,1,0.300,0.80
±è°­¹Î,2020,05-13,@LG,L 2:14,5,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.664,2,0.28,0.000,0,,
±è°­¹Î,2020,05-14,@LG,L 2:3,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.273,0.606,5,-0.60,-0.140,0,0.333,3.30
±è°­¹Î,2020,05-15,NC,L 2:6,1,PR,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.250,0.250,0.558,2,-0.43,-0.074,0,,
±è°­¹Î,2020,05-16,NC,L 1:2,1,CF,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.313,0.313,0.665,19,-0.15,-0.089,1,0.353,1.78
±è°­¹Î,2020,05-17,NC,L 5:11,6,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.263,0.263,0.563,10,-1.70,-0.156,1,,
±è°­¹Î,2020,05-19,@Å°¿ò,L 6:11,1,CF,5,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.292,0.417,0.737,18,1.63,0.098,1,0.320,1.00
±è°­¹Î,2020,05-20,@Å°¿ò,W 5:3,1,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.259,0.370,0.656,13,-0.90,-0.084,1,,
±è°­¹Î,2020,05-21,@Å°¿ò,L 8:9,3,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.241,0.345,0.611,5,-0.52,-0.060,0,0.267,1.20
±è°­¹Î,2020,05-22,KIA,L 1:2,1,CF,4,1,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0.242,0.364,0.628,14,0.91,0.107,1,,
±è°­¹Î,2020,05-23,KIA,L 3:8,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.353,0.610,7,-0.63,-0.070,0,0.257,2.33
±è°­¹Î,2020,05-24,KIA,W 4:3,6,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.216,0.324,0.561,16,-0.63,-0.112,0,,
±è°­¹Î,2020,05-26,@µÎ»ê,L 4:6,2,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.316,0.547,4,-0.26,-0.013,0,0.231,0.49
±è°­¹Î,2020,05-27,@µÎ»ê,L 2:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.308,0.533,2,-0.26,-0.038,0,,
±è°­¹Î,2020,05-30,ÇÑÈ­,W 9:3,2,PH,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.225,0.325,0.587,11,0.80,0.030,0,0.262,0.40
±è°­¹Î,2020,05-31,ÇÑÈ­,W 6:4,1,CF,2,1,1,1,0,0,2,1,1,0,2,0,0,1,0,0,1,0.238,0.357,0.655,25,1.15,0.139,1,,
±è°­¹Î,2020,06-03,@NC,L 6:8,1,CF,5,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.234,0.404,0.693,19,0.89,0.110,1,0.288,0.71
±è°­¹Î,2020,06-04,@NC,L 0:10,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,0.396,0.679,5,-0.12,0.000,0,,
±è°­¹Î,2020,06-05,»ï¼º,W 4:1,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.229,0.396,0.679,2,-0.23,-0.007,0,0.283,0.80
±è°­¹Î,2020,06-06,»ï¼º,W 6:4,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.212,0.365,0.629,14,-0.96,-0.045,1,,
±è°­¹Î,2020,06-07,»ï¼º,L 0:3,5,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0.365,0.629,0,0.00,0.000,0,0.263,0.00
±è°­¹Î,2020,06-09,@LG,W 5:3,1,PH,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.222,0.370,0.642,8,0.22,0.047,0,,
±è°­¹Î,2020,06-11,@LG,L 3:4,1,CF,4,1,3,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0.259,0.448,0.761,17,2.39,0.197,1,0.313,1.68
±è°­¹Î,2020,06-12,KIA,L 3:6,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.242,0.419,0.713,15,-1.10,-0.106,1,,
±è°­¹Î,2020,06-13,KIA,L 1:2,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.419,0.713,0,0.00,0.000,0,0.294,0.00
±è°­¹Î,2020,06-14,KIA,W 4:3,1,CF,4,0,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0.242,0.424,0.716,15,1.12,0.142,1,,
±è°­¹Î,2020,06-16,KT,L 5:6,6,CF,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.229,0.400,0.686,17,-0.56,-0.047,1,0.286,1.75
±è°­¹Î,2020,06-17,KT,L 4:6,6,CF,3,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0.233,0.397,0.694,18,-0.35,0.041,1,,
±è°­¹Î,2020,06-18,KT,L 3:5,6,CF,4,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.247,0.442,0.747,19,0.28,0.000,1,0.306,1.32
±è°­¹Î,2020,06-19,@Å°¿ò,L 1:2,5,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.436,0.738,6,-0.21,-0.003,0,,
±è°­¹Î,2020,06-20,@Å°¿ò,L 3:9,1,CF,5,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.241,0.422,0.718,19,-0.45,-0.035,1,0.297,1.12
±è°­¹Î,2020,06-21,@Å°¿ò,L 2:7,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230,0.402,0.687,12,-0.42,-0.030,1,,
±è°­¹Î,2020,06-25,µÎ»ê,L 6:14,6,CF,4,1,2,0,1,1,7,3,0,0,0,0,0,0,1,0,0,0.242,0.462,0.754,16,2.09,0.226,1,0.293,1.03
±è°­¹Î,2020,06-25,µÎ»ê,W 7:0,6,CF,5,1,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.260,0.469,0.776,12,0.44,0.002,1,,
±è°­¹Î,2020,06-26,LG,W 7:0,6,CF,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.255,0.459,0.774,14,-0.81,0.040,1,0.315,0.30
±è°­¹Î,2020,06-27,LG,L 0:3,6,CF,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.450,0.765,12,-0.12,-0.041,1,,
±è°­¹Î,2020,06-28,LG,L 0:4,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0.446,0.758,4,-0.32,-0.034,0,0.313,1.38
±è°­¹Î,2020,06-30,@»ï¼º,L 1:4,6,CF,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.250,0.442,0.755,9,-0.70,-0.083,1,,
±è°­¹Î,2020,07-02,@»ï¼º,L 2:6,6,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.435,0.746,16,-0.96,-0.118,1,0.311,1.37
±è°­¹Î,2020,07-03,@·Ôµ¥,W 7:4,2,CF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.257,0.440,0.757,6,0.13,0.004,0,,
±è°­¹Î,2020,07-04,@·Ôµ¥,L 4:10,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,0.436,0.750,5,-0.82,-0.024,0,0.314,0.87
±è°­¹Î,2020,07-05,@·Ôµ¥,W 6:3,2,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.252,0.432,0.744,4,-0.25,-0.004,0,,
±è°­¹Î,2020,07-07,NC,L 4:5,2,CF,5,1,3,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0.267,0.448,0.771,16,0.86,0.148,1,0.323,2.46
±è°­¹Î,2020,07-08,NC,W 3:2,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.444,0.765,2,-0.54,-0.023,0,,
±è°­¹Î,2020,07-09,NC,L 2:8,2,CF,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.258,0.433,0.752,20,-0.54,-0.030,1,0.318,0.98
±è°­¹Î,2020,07-10,@ÇÑÈ­,L 5:6,9,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.430,0.746,2,-0.38,-0.017,0,,
