Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è°æÈ£,2020,06-23,µÎ»ê,L 2:9,2,CF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,4,0.40,0.001,0,1.000,0.04
±è°æÈ£,2020,06-25,µÎ»ê,W 7:0,1,LF,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.700,0.800,1.527,20,0.28,0.024,1,0.727,0.48
±è°æÈ£,2020,06-25,µÎ»ê,L 6:14,1,LF,5,2,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0.833,1.000,1.833,10,2.25,0.230,1,,
±è°æÈ£,2020,06-26,LG,W 7:0,1,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.571,0.643,1.243,8,-0.44,0.002,1,,
±è°æÈ£,2020,06-27,LG,L 0:3,1,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.556,1.082,14,-0.34,-0.038,1,0.526,0.78
±è°æÈ£,2020,06-28,LG,L 0:4,1,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.429,0.476,0.931,13,-0.98,-0.109,1,,
±è°æÈ£,2020,07-01,@»ï¼º,L 1:7,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360,0.400,0.785,17,-0.67,-0.050,1,0.385,0.49
±è°æÈ£,2020,07-02,@»ï¼º,L 2:6,8,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0.385,0.755,4,0.00,0.045,0,,
±è°æÈ£,2020,07-03,@·Ôµ¥,W 7:4,9,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.333,0.656,9,-1.02,-0.076,1,0.323,0.75
±è°æÈ£,2020,07-04,@·Ôµ¥,L 4:10,1,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.281,0.313,0.616,9,-0.30,-0.002,0,,
±è°æÈ£,2020,07-05,@·Ôµ¥,W 6:3,5,PR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.281,0.313,0.616,0,-0.46,-0.022,0,0.303,0.65
±è°æÈ£,2020,07-07,NC,L 4:5,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.303,0.597,4,-0.26,-0.011,0,,
±è°æÈ£,2020,07-08,NC,W 3:2,3,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.303,0.597,0,0.00,0.000,0,0.294,0.00
±è°æÈ£,2020,07-10,@ÇÑÈ­,L 5:6,9,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0.286,0.563,10,-0.44,-0.048,1,,
