Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è±Ô¹Î,2018,04-28,SK,L 4:6,7,1B,3,1,1,0,1,0,3,1,0,0,0,0,0,1,0,1,0,0.333,1.000,1.333,15,0.48,0.083,1,0.333,0.96
±è±Ô¹Î,2018,04-29,SK,W 8:5,7,1B,4,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.429,0.714,1.143,20,-0.75,-0.021,1,,
±è±Ô¹Î,2018,05-01,@NC,W 13:4,7,1B,4,2,3,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0.545,1.000,1.583,18,3.03,0.262,1,0.583,0.95
±è±Ô¹Î,2018,05-02,@NC,L 8:13,7,1B,5,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.438,0.750,1.221,22,0.83,0.081,1,,
±è±Ô¹Î,2018,05-03,@NC,W 13:9,7,1B,5,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.429,0.714,1.169,27,1.00,0.066,1,0.455,0.86
±è±Ô¹Î,2018,05-04,@KT,W 11:1,5,LF,5,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.462,0.692,1.174,13,-0.04,-0.067,1,,
±è±Ô¹Î,2018,05-05,@KT,W 10:1,5,LF,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.419,0.613,1.050,23,-0.74,-0.008,1,0.438,0.37
±è±Ô¹Î,2018,05-08,ÇÑÈ­,L 9:10,5,LF,4,1,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0.429,0.600,1.059,27,0.64,0.011,1,,
±è±Ô¹Î,2018,05-09,ÇÑÈ­,L 1:4,2,LF,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.410,0.564,1.003,20,-1.02,-0.062,1,0.439,1.19
±è±Ô¹Î,2018,05-10,ÇÑÈ­,L 1:3,6,1B,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.405,0.548,0.979,12,-0.65,-0.087,1,,
±è±Ô¹Î,2018,05-11,@µÎ»ê,W 10:5,6,1B,4,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.413,0.543,0.981,17,1.34,0.175,1,0.438,0.94
±è±Ô¹Î,2018,05-13,@µÎ»ê,W 2:1,6,LF,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0.396,0.521,0.963,24,-0.08,-0.009,1,,
±è±Ô¹Î,2018,05-15,KIA,L 1:2,1,1B,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.392,0.510,0.956,14,0.54,0.063,1,0.446,1.33
±è±Ô¹Î,2018,05-16,KIA,W 8:7,1,LF,4,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.382,0.491,0.934,24,1.37,0.061,1,,
