Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±Ë¥Î«—,2019,03-24,«—»≠,L 1:11,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,7,-0.12,0.000,0,0.000,0.00
±Ë¥Î«—,2019,03-27,≈∞øÚ,W 3:2,9,CF,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.250,10,0.16,0.036,1,,
±Ë¥Î«—,2019,03-29,@ªÔº∫,W 3:2,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.250,0,0.00,0.000,0,0.250,0.00
±Ë¥Î«—,2019,03-30,@ªÔº∫,W 4:2,2,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.250,0,0.00,0.000,0,,
±Ë¥Î«—,2019,04-02,KT,W 9:0,1,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.400,6,0.13,0.000,0,0.400,0.00
±Ë¥Î«—,2019,04-03,KT,W 5:1,2,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.400,0,0.00,0.000,0,,
±Ë¥Î«—,2019,04-05,NC,L 3:7,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.333,6,-0.60,-0.008,0,0.333,0.35
±Ë¥Î«—,2019,04-06,NC,L 5:6,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.333,0,0.00,0.000,0,,
±Ë¥Î«—,2019,04-25,@≈∞øÚ,L 6:9,1,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.333,0,0.00,0.000,0,0.333,0.00
±Ë¥Î«—,2019,04-26,∑‘µ•,W 11:8,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.286,4,-0.39,0.000,0,,
±Ë¥Î«—,2019,04-27,∑‘µ•,W 7:0,9,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.286,0,0.00,0.000,0,0.286,0.00
±Ë¥Î«—,2019,04-28,∑‘µ•,W 9:2,3,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.286,0,0.00,0.000,0,,
±Ë¥Î«—,2019,04-30,@«—»≠,L 1:2,9,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.200,15,-0.70,-0.090,1,0.200,1.33
±Ë¥Î«—,2019,05-01,@«—»≠,L 1:4,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.167,9,-0.72,-0.068,1,,
±Ë¥Î«—,2019,05-02,@«—»≠,W 5:4,8,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.167,0,0.00,0.000,0,0.167,0.00
±Ë¥Î«—,2019,05-03,LG,W 7:2,3,PR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.214,9,-0.36,-0.009,0,,
±Ë¥Î«—,2019,05-04,LG,W 3:2,8,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.214,0,0.00,0.000,0,0.214,0.00
±Ë¥Î«—,2019,05-05,LG,W 11:2,9,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.167,12,-1.50,-0.048,1,,
±Ë¥Î«—,2019,10-01,NC,W 6:5,5,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.167,0,0.00,0.000,0,0.167,0.00
