Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èµ¿¿±,2017,03-31,kt,L 2:3,6,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,10,-0.48,-0.123,1,0.250,1.46
±èµ¿¿±,2017,04-01,kt,L 0:2,5,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,9,-0.27,-0.058,1,,
±èµ¿¿±,2017,04-02,kt,L 1:8,5,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.182,0.182,0.364,12,-0.77,-0.050,1,0.182,0.65
±èµ¿¿±,2017,04-04,@KIA,L 1:6,5,LF,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.200,0.267,0.467,12,-0.12,-0.005,1,,
±èµ¿¿±,2017,04-06,@KIA,L 4:6,6,LF,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.222,0.278,0.500,11,0.02,-0.019,1,0.222,1.16
±èµ¿¿±,2017,04-07,NC,L 3:5,4,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.227,0.273,0.500,12,-0.30,-0.051,1,,
±èµ¿¿±,2017,04-08,NC,W 9:2,4,DH,4,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.231,0.385,0.615,15,0.37,0.063,1,0.231,0.25
±èµ¿¿±,2017,04-09,NC,W 8:5,4,LF,5,2,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0.258,0.387,0.645,10,-0.64,0.071,1,,
±èµ¿¿±,2017,04-11,·Ôµ¥,L 4:6,4,LF,3,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0.294,0.412,0.726,19,1.12,0.137,1,0.314,1.18
±èµ¿¿±,2017,04-12,·Ôµ¥,W 2:1,4,LF,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.270,0.378,0.668,11,-0.24,-0.011,1,,
±èµ¿¿±,2017,04-13,·Ôµ¥,W 11:10,4,LF,4,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0.268,0.366,0.652,10,0.43,0.061,1,0.286,1.43
±èµ¿¿±,2017,04-14,@ÇÑÈ­,W 6:2,4,LF,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.289,0.400,0.698,9,0.02,0.023,1,,
±èµ¿¿±,2017,04-15,@ÇÑÈ­,W 12:4,4,DH,4,1,3,0,0,1,6,4,0,1,0,0,0,1,0,0,0,0.327,0.490,0.823,15,3.05,0.088,1,0.333,0.81
±èµ¿¿±,2017,04-16,@ÇÑÈ­,W 10:1,4,LF,3,2,1,0,0,1,4,2,0,0,0,1,0,2,0,0,0,0.327,0.538,0.884,19,0.60,0.057,1,,
±èµ¿¿±,2017,04-18,³Ø¼¾,W 7:4,4,LF,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.321,0.571,0.910,12,1.10,-0.003,1,0.339,0.34
±èµ¿¿±,2017,04-19,³Ø¼¾,W 5:3,4,LF,4,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.317,0.600,0.933,11,1.22,0.248,1,,
±èµ¿¿±,2017,04-20,³Ø¼¾,L 3:5,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.297,0.563,0.876,9,-0.88,-0.108,1,0.313,1.04
±èµ¿¿±,2017,04-21,µÎ»ê,W 9:4,4,DH,4,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0.294,0.559,0.878,15,1.30,-0.023,1,,
±èµ¿¿±,2017,04-22,µÎ»ê,W 8:4,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.278,0.528,0.830,13,-0.86,-0.048,1,0.303,0.51
±èµ¿¿±,2017,04-23,µÎ»ê,L 4:8,4,LF,4,1,2,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0.289,0.539,0.852,20,-0.36,-0.119,1,,
±èµ¿¿±,2017,04-25,@LG,W 8:3,4,LF,5,2,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0.296,0.568,0.886,12,0.49,0.027,1,0.318,0.79
±èµ¿¿±,2017,04-26,@LG,L 0:9,4,DH,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.286,0.548,0.862,18,-0.89,-0.037,1,,
±èµ¿¿±,2017,04-27,@LG,L 2:4,4,LF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.284,0.534,0.846,10,0.10,-0.006,1,0.312,0.67
±èµ¿¿±,2017,04-28,@»ï¼º,W 7:5,4,LF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.269,0.505,0.801,15,-2.20,-0.112,1,,
±èµ¿¿±,2017,04-29,@»ï¼º,L 5:12,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.266,0.500,0.793,4,-0.18,-0.031,0,0.293,1.25
±èµ¿¿±,2017,04-30,@»ï¼º,W 13:2,4,LF,3,1,1,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0.268,0.515,0.816,15,1.71,0.086,1,,
