Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èµ¿ÇÑ,2017,03-31,@NC,L 5:6,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±èµ¿ÇÑ,2017,04-28,@µÎ»ê,L 0:2,8,PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,1,-0.11,-0.037,0,,
±èµ¿ÇÑ,2017,04-29,@µÎ»ê,L 3:5,7,3B,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.000,0.400,26,-0.57,-0.023,1,0.400,0.93
±èµ¿ÇÑ,2017,04-30,@µÎ»ê,W 6:0,2,3B,5,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.250,0.375,0.775,14,0.21,0.039,1,,
±èµ¿ÇÑ,2017,05-02,@kt,W 9:0,2,3B,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0.333,0.500,0.929,15,1.33,0.170,1,0.429,0.61
±èµ¿ÇÑ,2017,05-03,@kt,L 2:8,2,3B,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.313,0.500,0.921,13,-0.52,-0.036,1,,
±èµ¿ÇÑ,2017,05-04,@kt,W 3:2,2,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.263,0.421,0.785,11,-0.75,-0.065,1,0.364,0.93
±èµ¿ÇÑ,2017,05-05,KIA,L 3:5,2,3B,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.238,0.381,0.714,15,-0.78,-0.099,1,,
±èµ¿ÇÑ,2017,05-06,KIA,L 0:3,8,3B,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.250,0.375,0.708,8,-0.55,-0.052,1,0.333,0.83
±èµ¿ÇÑ,2017,05-07,KIA,L 3:5,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.321,0.612,12,-1.02,-0.111,1,,
±èµ¿ÇÑ,2017,05-10,@ÇÑÈ­,W 8:1,7,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.226,0.323,0.617,8,-0.45,-0.027,1,0.294,1.00
±èµ¿ÇÑ,2017,05-11,@ÇÑÈ­,L 1:2,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.323,0.617,0,0.00,0.000,0,,
±èµ¿ÇÑ,2017,05-14,µÎ»ê,L 1:15,7,3B,4,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.257,0.343,0.659,11,0.94,0.012,1,0.316,0.09
±èµ¿ÇÑ,2017,05-16,kt,W 6:0,7,3B,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.263,0.342,0.659,12,0.47,0.044,1,,
±èµ¿ÇÑ,2017,05-17,kt,W 9:4,9,3B,3,2,1,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0.268,0.415,0.733,11,1.44,0.208,1,0.318,1.03
±èµ¿ÇÑ,2017,05-18,kt,W 11:4,9,3B,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.267,0.400,0.713,14,-1.13,-0.043,1,,
±èµ¿ÇÑ,2017,05-19,@LG,W 9:4,2,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.250,0.375,0.669,8,-1.47,-0.093,1,0.294,1.03
±èµ¿ÇÑ,2017,05-20,@LG,L 2:3,7,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.245,0.367,0.656,8,-0.36,-0.042,1,,
±èµ¿ÇÑ,2017,05-21,@LG,L 3:4,2,3B,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0.250,0.385,0.676,12,-1.20,-0.164,1,0.291,1.48
±èµ¿ÇÑ,2017,05-23,SK,W 7:6,9,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.370,0.651,10,-0.44,-0.034,1,,
±èµ¿ÇÑ,2017,05-24,SK,W 7:5,9,3B,4,1,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0.259,0.414,0.709,9,1.08,0.145,1,0.295,0.69
