Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è¹Î¼º,2020,05-05,µÎ»ê,W 8:2,7,3B,3,1,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.667,1.000,1.750,14,1.26,0.126,1,0.750,0.31
±è¹Î¼º,2020,05-06,µÎ»ê,L 2:5,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.286,0.429,0.804,15,-2.09,-0.188,1,,
±è¹Î¼º,2020,05-07,µÎ»ê,L 3:9,7,3B,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.273,0.364,0.697,12,0.15,0.048,1,0.333,1.01
±è¹Î¼º,2020,05-08,@NC,L 5:13,7,3B,3,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0.286,0.429,0.804,10,1.20,0.018,1,,
±è¹Î¼º,2020,05-10,@NC,W 10:8,5,3B,4,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.278,0.444,0.825,20,0.06,0.018,1,0.381,0.58
±è¹Î¼º,2020,05-12,SK,W 9:5,5,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.409,0.769,17,0.31,0.028,1,,
±è¹Î¼º,2020,05-13,SK,W 14:2,5,3B,3,2,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0.280,0.440,0.819,20,0.95,0.080,1,0.379,0.38
±è¹Î¼º,2020,05-14,SK,W 3:2,5,3B,4,0,2,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0.310,0.483,0.877,16,0.24,-0.032,1,,
±è¹Î¼º,2020,05-16,Å°¿ò,W 3:1,5,3B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.310,0.483,0.895,7,0.28,0.026,1,0.412,0.67
±è¹Î¼º,2020,05-19,@»ï¼º,W 10:6,5,3B,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.323,0.484,0.916,12,1.79,0.003,1,,
