Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è¹Î½Ä,2018,03-24,KT,L 4:5,8,C,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.500,0.500,1.167,15,-0.02,0.042,1,0.667,1.39
±è¹Î½Ä,2018,03-25,KT,W 14:1,8,C,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.400,0.400,0.900,9,-0.23,-0.003,1,,
±è¹Î½Ä,2018,03-27,»ï¼º,W 17:0,8,C,3,2,1,0,0,1,4,1,0,0,1,0,0,2,0,0,0,0.375,0.750,1.250,21,0.42,-0.037,1,0.500,0.49
±è¹Î½Ä,2018,03-28,»ï¼º,L 0:6,9,C,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.400,0.700,1.238,10,0.26,0.039,1,,
±è¹Î½Ä,2018,03-29,»ï¼º,W 7:0,8,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.455,0.727,1.299,4,0.22,0.000,0,0.571,0.01
±è¹Î½Ä,2018,03-30,@LG,W 4:3,8,C,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.467,0.733,1.289,11,0.62,0.109,1,,
±è¹Î½Ä,2018,03-31,@LG,L 4:6,8,C,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.389,0.611,1.111,12,-0.25,-0.033,1,0.500,1.00
±è¹Î½Ä,2018,04-01,@LG,L 5:6,8,C,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.409,0.591,1.091,11,0.44,0.059,1,,
±è¹Î½Ä,2018,04-03,@SK,L 3:13,9,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.360,0.520,0.968,10,-0.62,-0.019,1,0.448,0.24
±è¹Î½Ä,2018,04-04,@SK,W 9:6,9,C,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.370,0.519,0.970,7,-0.29,-0.021,1,,
±è¹Î½Ä,2018,04-06,³Ø¼¾,W 11:5,8,C,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.367,0.500,0.957,15,0.38,0.004,1,0.457,1.33
±è¹Î½Ä,2018,04-08,³Ø¼¾,W 4:3,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.344,0.469,0.901,10,-0.38,-0.042,1,,
