Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±ËªÁ»∆,2017,04-06,≥ÿºæ,W 12:3,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±ËªÁ»∆,2017,04-07,LG,L 4:6,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
±ËªÁ»∆,2017,04-08,LG,W 8:6,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,11,-1.03,-0.074,1,0.000,1.02
±ËªÁ»∆,2017,04-09,LG,W 7:1,8,C,4,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0.000,0.000,0.125,25,-0.69,-0.004,1,,
±ËªÁ»∆,2017,04-12,@SK,L 1:2,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.125,0,0.00,0.000,0,0.125,0.00
±ËªÁ»∆,2017,04-14,ªÔº∫,W 9:6,8,C,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.111,0.111,0.311,9,-0.07,0.016,1,,
±ËªÁ»∆,2017,04-18,NC,L 3:8,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.311,0,0.00,0.000,0,0.200,0.00
±ËªÁ»∆,2017,04-19,NC,L 2:8,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.100,0.282,1,-0.60,-0.010,0,,
±ËªÁ»∆,2017,04-21,@≥ÿºæ,L 1:4,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.083,0.237,9,-0.60,-0.072,1,0.154,1.43
±ËªÁ»∆,2017,04-29,@µŒªÍ,L 3:5,8,C,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.343,5,-0.24,-0.019,1,,
±ËªÁ»∆,2017,04-30,@µŒªÍ,W 6:0,9,C,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.118,0.118,0.284,14,-1.48,-0.051,1,0.167,0.66
±ËªÁ»∆,2017,05-02,@kt,W 9:0,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.284,0,0.00,0.000,0,,
±ËªÁ»∆,2017,05-03,@kt,L 2:8,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.284,0,0.00,0.000,0,0.167,0.00
±ËªÁ»∆,2017,05-05,KIA,L 3:5,8,C,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.095,0.095,0.232,18,-1.26,-0.159,1,,
±ËªÁ»∆,2017,05-10,@«—»≠,W 8:1,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.095,0.232,0,0.00,0.000,0,0.136,0.00
±ËªÁ»∆,2017,05-13,µŒªÍ,L 4:9,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.095,0.232,0,0.00,0.000,0,,
±ËªÁ»∆,2017,05-14,µŒªÍ,L 1:15,5,C,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.130,0.130,0.297,7,0.22,0.000,0,0.167,0.01
±ËªÁ»∆,2017,05-17,kt,W 9:4,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130,0.130,0.297,0,0.00,0.000,0,,
±ËªÁ»∆,2017,05-18,kt,W 11:4,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130,0.130,0.297,0,0.00,0.000,0,0.167,0.00
±ËªÁ»∆,2017,05-19,@LG,W 9:4,9,C,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.154,0.154,0.339,7,0.61,0.053,1,,
±ËªÁ»∆,2017,05-20,@LG,L 2:3,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.148,0.327,4,-0.34,-0.036,1,0.179,1.45
±ËªÁ»∆,2017,05-25,SK,W 17:6,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.315,2,-0.18,0.000,0,,
±ËªÁ»∆,2017,05-26,@KIA,W 8:2,9,C,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.133,0.133,0.290,13,-0.60,-0.019,1,0.156,0.51
±ËªÁ»∆,2017,05-27,@KIA,L 7:15,6,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.129,0.129,0.281,3,-0.57,-0.003,0,,
