Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è»ó¼ö,2020,05-05,NC,L 0:4,5,2B,1,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1.000,1.000,2.000,20,0.87,0.064,1,1.000,0.85
±è»ó¼ö,2020,05-06,NC,L 3:4,5,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.700,17,-1.12,-0.168,1,,
±è»ó¼ö,2020,05-07,NC,L 2:8,5,2B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0.167,0.667,6,0.44,0.044,1,0.500,1.01
±è»ó¼ö,2020,05-08,KIA,W 5:0,5,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.111,0.111,0.540,19,-0.51,-0.034,1,,
±è»ó¼ö,2020,05-09,KIA,W 14:2,3,2B,3,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.167,0.167,0.640,27,0.93,0.079,1,0.474,0.58
±è»ó¼ö,2020,05-10,KIA,L 3:12,3,2B,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.188,0.250,0.685,13,-0.19,0.006,1,,
±è»ó¼ö,2020,05-12,@Å°¿ò,L 2:3,3,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.200,0.250,0.657,16,-0.35,-0.062,1,0.407,1.35
±è»ó¼ö,2020,05-13,@Å°¿ò,W 5:0,5,2B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.208,0.250,0.637,9,-0.25,-0.006,1,,
±è»ó¼ö,2020,05-14,@Å°¿ò,W 8:5,1,2B,4,1,3,2,0,0,5,1,0,0,0,1,0,0,0,0,0,0.286,0.393,0.837,17,2.51,0.196,1,0.444,1.24
±è»ó¼ö,2020,05-15,@KT,L 6:14,1,2B,4,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.344,0.438,0.913,13,0.89,0.103,1,,
±è»ó¼ö,2020,05-16,@KT,L 4:10,1,2B,2,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0.324,0.412,0.889,18,0.89,0.004,1,0.477,0.46
±è»ó¼ö,2020,05-19,LG,L 6:10,1,2B,3,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.351,0.432,0.932,17,1.62,0.032,1,,
±è»ó¼ö,2020,05-20,LG,W 3:1,1,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.341,0.415,0.895,17,-0.42,-0.051,1,0.481,0.62
±è»ó¼ö,2020,05-21,LG,L 0:2,1,2B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.341,0.409,0.891,14,-0.24,-0.014,1,,
±è»ó¼ö,2020,05-22,µÎ»ê,L 7:12,1,2B,4,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0.354,0.438,0.921,19,1.49,0.130,1,0.483,0.88
±è»ó¼ö,2020,05-23,µÎ»ê,L 6:10,1,2B,4,1,2,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0.365,0.481,0.973,17,1.15,0.114,1,,
±è»ó¼ö,2020,05-24,µÎ»ê,W 13:0,1,2B,2,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.389,0.500,1.022,15,1.68,0.100,1,0.522,0.90
±è»ó¼ö,2020,05-26,@·Ôµ¥,L 0:1,1,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.362,0.466,0.959,14,-0.89,-0.115,1,,
±è»ó¼ö,2020,05-27,@·Ôµ¥,W 11:1,1,2B,2,2,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0.367,0.467,0.979,20,1.02,0.051,1,0.513,0.70
±è»ó¼ö,2020,05-28,@·Ôµ¥,W 3:1,1,2B,4,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0.344,0.438,0.931,26,-0.79,-0.063,1,,
±è»ó¼ö,2020,05-29,NC,W 5:4,1,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.324,0.412,0.883,13,-1.31,-0.193,1,0.471,1.91
±è»ó¼ö,2020,05-30,NC,W 9:1,1,2B,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.310,0.394,0.856,23,-0.21,-0.063,1,,
±è»ó¼ö,2020,05-31,NC,L 7:18,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0.389,0.845,3,-0.26,0.000,0,0.457,0.00
±è»ó¼ö,2020,06-02,@LG,W 2:0,1,2B,4,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.329,0.408,0.877,15,0.83,0.059,1,,
±è»ó¼ö,2020,06-03,@LG,W 12:6,1,2B,4,3,2,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0.338,0.425,0.900,13,1.52,0.141,1,0.475,0.76
±è»ó¼ö,2020,06-04,@LG,L 0:11,1,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.325,0.410,0.876,14,-0.02,0.003,1,,
±è»ó¼ö,2020,06-05,@SK,L 1:4,1,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.322,0.402,0.861,18,-0.48,-0.069,1,0.459,1.17
±è»ó¼ö,2020,06-06,@SK,L 4:6,1,2B,4,0,1,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0.319,0.396,0.847,15,0.57,0.013,1,,
±è»ó¼ö,2020,06-07,@SK,W 3:0,1,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0.316,0.389,0.834,23,-1.01,-0.110,1,0.444,0.85
±è»ó¼ö,2020,06-09,Å°¿ò,L 3:5,1,2B,3,2,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0.316,0.388,0.830,18,-0.71,-0.169,1,,
±è»ó¼ö,2020,06-10,Å°¿ò,W 4:1,1,2B,3,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.317,0.386,0.831,14,0.77,0.065,1,0.444,0.72
±è»ó¼ö,2020,06-11,Å°¿ò,W 6:3,1,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.371,0.802,18,-0.83,-0.043,1,,
±è»ó¼ö,2020,06-13,KT,W 5:3,1,2B,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.296,0.361,0.786,21,-0.60,-0.054,1,0.425,1.08
±è»ó¼ö,2020,06-13,KT,L 4:7,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.358,0.780,6,-0.26,-0.063,0,,
±è»ó¼ö,2020,06-14,KT,W 12:0,1,DH,4,2,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0.310,0.372,0.807,16,1.46,0.030,1,0.436,0.25
±è»ó¼ö,2020,06-16,@µÎ»ê,W 4:3,1,2B,5,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.314,0.381,0.816,23,0.21,0.007,1,,
±è»ó¼ö,2020,06-17,@µÎ»ê,W 6:3,1,2B,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.309,0.374,0.801,19,-0.09,-0.017,1,0.427,0.66
±è»ó¼ö,2020,06-18,@µÎ»ê,L 3:7,1,2B,4,1,3,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0.323,0.394,0.829,17,0.80,0.094,1,,
±è»ó¼ö,2020,06-19,@KIA,L 4:5,1,2B,3,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0.323,0.392,0.826,19,-0.11,-0.081,1,0.434,1.76
±è»ó¼ö,2020,06-20,@KIA,L 3:6,1,2B,5,1,3,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0.333,0.407,0.846,18,0.70,0.063,1,,
±è»ó¼ö,2020,06-21,@KIA,W 12:5,1,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.324,0.396,0.824,14,-1.63,-0.112,1,0.429,0.84
±è»ó¼ö,2020,06-23,ÇÑÈ­,W 11:4,1,2B,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.322,0.392,0.819,29,1.17,0.065,1,,
±è»ó¼ö,2020,06-24,ÇÑÈ­,W 3:2,1,2B,5,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.318,0.385,0.806,22,-1.16,-0.245,1,0.421,2.31
±è»ó¼ö,2020,06-26,@·Ôµ¥,W 6:4,5,2B,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.322,0.396,0.821,5,1.00,0.362,0,,
±è»ó¼ö,2020,06-27,@·Ôµ¥,W 6:1,1,2B,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.312,0.383,0.796,20,-1.59,-0.083,1,0.413,0.68
±è»ó¼ö,2020,06-28,@·Ôµ¥,L 3:7,1,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.304,0.373,0.778,11,-0.94,-0.068,1,,
±è»ó¼ö,2020,06-30,SK,W 4:1,1,2B,4,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0.302,0.377,0.781,26,0.38,-0.028,1,0.404,0.79
±è»ó¼ö,2020,07-01,SK,W 7:1,1,2B,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.303,0.376,0.782,15,0.32,0.016,1,,
±è»ó¼ö,2020,07-02,SK,W 6:2,1,2B,4,2,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0.314,0.385,0.800,25,1.61,0.205,1,0.416,1.00
±è»ó¼ö,2020,07-03,LG,W 9:7,1,2B,3,2,2,0,1,0,4,0,1,0,1,0,0,1,0,0,0,0.320,0.401,0.823,17,1.94,0.128,1,,
±è»ó¼ö,2020,07-04,LG,W 7:6,1,2B,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.313,0.392,0.812,27,0.29,0.116,1,0.420,1.68
±è»ó¼ö,2020,07-05,LG,L 3:7,1,DH,5,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0.326,0.409,0.837,24,1.06,0.083,1,,
±è»ó¼ö,2020,07-07,@Å°¿ò,W 13:2,1,2B,5,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.333,0.414,0.846,29,1.25,0.157,1,0.432,0.81
±è»ó¼ö,2020,07-08,@Å°¿ò,L 6:7,1,2B,3,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0.333,0.413,0.849,23,-0.28,-0.073,1,,
±è»ó¼ö,2020,07-09,@Å°¿ò,L 2:4,1,2B,3,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0.333,0.417,0.854,19,0.54,0.128,1,0.437,1.23
±è»ó¼ö,2020,07-10,@KT,L 3:8,1,2B,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.330,0.412,0.848,22,-0.24,-0.014,1,,
±è»ó¼ö,2020,07-14,KIA,W 5:0,1,2B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.328,0.409,0.842,15,-0.35,0.076,1,0.433,0.83
±è»ó¼ö,2020,07-15,KIA,L 2:5,1,2B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.327,0.406,0.836,23,-0.69,-0.048,1,,
±è»ó¼ö,2020,07-16,KIA,W 8:7,1,2B,3,2,1,0,0,1,4,1,0,0,2,0,0,0,0,0,0,0.327,0.420,0.853,24,1.51,0.104,1,0.433,0.89
±è»ó¼ö,2020,07-17,·Ôµ¥,W 15:10,1,2B,5,3,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0.338,0.433,0.874,22,2.31,0.128,1,,
±è»ó¼ö,2020,07-18,·Ôµ¥,W 5:2,1,2B,5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.340,0.433,0.872,22,1.08,0.071,1,0.440,1.18
±è»ó¼ö,2020,07-19,·Ôµ¥,L 1:2,1,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.333,0.425,0.858,18,-1.61,-0.292,1,,
