Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è¼ºÇö,2017,03-31,kt,L 2:3,2,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,14,0.09,-0.018,1,0.333,1.69
±è¼ºÇö,2017,04-01,kt,L 0:2,8,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.333,0.333,0.667,8,-1.38,-0.146,1,,
±è¼ºÇö,2017,04-02,kt,L 1:8,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,5,-0.52,-0.039,1,0.250,0.77
±è¼ºÇö,2017,04-04,@KIA,L 1:6,8,2B,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.200,0.200,0.473,11,-0.10,-0.003,1,,
±è¼ºÇö,2017,04-06,@KIA,L 4:6,2,2B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.231,0.231,0.564,16,-0.12,0.003,1,0.333,1.01
±è¼ºÇö,2017,04-07,NC,L 3:5,8,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0.176,0.440,15,-0.87,-0.125,1,,
±è¼ºÇö,2017,04-08,NC,W 9:2,8,2B,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.634,19,1.02,0.023,1,0.348,0.47
±è¼ºÇö,2017,04-09,NC,W 8:5,2,2B,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.269,0.269,0.591,14,-0.40,-0.021,1,,
±è¼ºÇö,2017,04-11,·Ôµ¥,L 4:6,8,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.233,0.515,17,-0.95,-0.119,1,0.281,1.14
±è¼ºÇö,2017,04-12,·Ôµ¥,W 2:1,8,2B,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.206,0.206,0.476,18,-0.79,-0.136,1,,
±è¼ºÇö,2017,04-15,@ÇÑÈ­,W 12:4,3,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.463,2,-0.26,0.000,0,0.263,0.01
±è¼ºÇö,2017,04-16,@ÇÑÈ­,W 10:1,2,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.194,0.451,5,-0.18,0.000,0,,
±è¼ºÇö,2017,04-18,³Ø¼¾,W 7:4,8,2B,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.205,0.205,0.467,7,-0.62,0.026,1,0.262,0.42
±è¼ºÇö,2017,04-19,³Ø¼¾,W 5:3,8,2B,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0.214,0.238,0.505,11,-0.12,0.005,1,,
