Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±è¼ºÈÆ,2017,07-28,@³Ø¼¾,W 9:2,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,6,-0.26,0.000,0,0.000,0.01
±è¼ºÈÆ,2017,07-29,@³Ø¼¾,L 1:14,6,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,4,-0.34,0.000,0,,
±è¼ºÈÆ,2017,07-30,@³Ø¼¾,L 4:9,8,2B,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,13,0.81,0.034,1,0.500,0.52
±è¼ºÈÆ,2017,08-01,µÎ»ê,L 5:12,7,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.571,0.571,1.143,3,0.40,0.002,0,,
±è¼ºÈÆ,2017,08-02,µÎ»ê,L 2:5,2,2B,5,1,4,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0.667,0.833,1.500,25,1.36,0.151,1,0.667,1.26
±è¼ºÈÆ,2017,08-03,µÎ»ê,L 4:14,2,2B,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.529,0.647,1.176,20,-0.85,-0.030,1,,
±è¼ºÈÆ,2017,08-04,@NC,W 4:3,2,2B,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.455,0.545,1.000,24,-0.55,-0.024,1,0.455,1.03
±è¼ºÈÆ,2017,08-05,@NC,W 9:3,2,2B,4,2,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0.462,0.538,1.000,19,1.19,0.170,1,,
±è¼ºÈÆ,2017,08-06,@NC,L 1:4,2,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.433,0.500,0.933,11,-0.79,-0.065,1,0.433,0.66
±è¼ºÈÆ,2017,08-08,LG,L 8:10,2,SS,5,2,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.457,0.514,0.971,14,1.38,0.096,1,,
