Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÀçÇö,2018,05-15,@µÎ»ê,L 4:6,7,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±èÀçÇö,2018,05-16,@µÎ»ê,L 3:5,6,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,1.000,5,0.40,0.075,0,,
±èÀçÇö,2018,05-18,@KIA,L 1:5,2,LF,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.500,0.500,1.250,5,0.89,0.084,1,0.750,1.35
±èÀçÇö,2018,05-20,@KIA,L 3:8,2,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.542,17,-0.88,-0.084,1,,
±èÀçÇö,2018,05-22,³Ø¼¾,L 4:10,2,LF,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.222,0.222,0.586,10,-0.13,-0.033,1,0.364,1.06
±èÀçÇö,2018,05-23,³Ø¼¾,W 13:2,6,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.533,9,-0.12,0.000,0,,
±èÀçÇö,2018,05-24,³Ø¼¾,W 3:1,9,LF,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.273,0.273,0.701,6,0.91,0.096,1,0.429,1.16
±èÀçÇö,2018,05-25,ÇÑÈ­,W 5:1,2,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.701,0,0.00,0.000,0,,
±èÀçÇö,2018,05-26,ÇÑÈ­,W 7:2,6,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.701,0,0.00,0.000,0,0.429,0.00
±èÀçÇö,2018,05-27,ÇÑÈ­,L 5:7,2,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.606,2,-0.44,-0.039,1,,
±èÀçÇö,2018,05-30,@µÎ»ê,L 3:11,2,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.606,0,0.00,0.000,0,0.375,0.00
±èÀçÇö,2018,05-31,@µÎ»ê,L 4:6,4,PR,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.231,0.231,0.643,7,0.13,0.025,0,,
±èÀçÇö,2018,06-01,KT,W 8:1,5,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.603,5,-0.25,0.000,0,0.389,0.00
±èÀçÇö,2018,06-02,KT,W 6:1,5,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.603,0,0.00,0.000,0,,
±èÀçÇö,2018,06-05,»ï¼º,W 6:2,2,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.603,0,0.00,0.000,0,0.389,0.00
±èÀçÇö,2018,06-06,»ï¼º,W 7:2,2,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.603,0,0.00,0.000,0,,
±èÀçÇö,2018,06-07,»ï¼º,L 2:6,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.568,4,-0.59,-0.052,0,0.368,1.96
