Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÀçÈ¯,2017,03-31,ÇÑÈ­,W 3:0,4,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.250,21,-0.42,-0.060,1,0.250,0.70
±èÀçÈ¯,2017,04-01,ÇÑÈ­,L 5:6,4,LF,4,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0.143,0.143,0.443,24,-0.97,-0.273,1,,
±èÀçÈ¯,2017,04-02,ÇÑÈ­,W 5:4,4,LF,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.182,0.182,0.515,19,-0.39,-0.088,1,0.333,1.83
±èÀçÈ¯,2017,04-04,@kt,W 2:0,4,LF,5,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.250,0.313,0.663,15,-0.33,0.000,1,,
±èÀçÈ¯,2017,04-06,@kt,L 1:5,4,LF,4,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.300,0.500,0.875,18,0.96,0.123,1,0.375,0.88
±èÀçÈ¯,2017,04-07,³Ø¼¾,L 3:7,4,LF,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.250,0.417,0.761,21,-0.63,-0.018,1,,
±èÀçÈ¯,2017,04-08,³Ø¼¾,L 10:13,4,LF,5,1,3,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0.310,0.483,0.865,18,2.64,0.249,1,0.382,0.88
±èÀçÈ¯,2017,04-09,³Ø¼¾,L 2:13,4,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.303,0.455,0.823,7,-0.46,-0.001,1,,
±èÀçÈ¯,2017,04-11,KIA,W 16:4,4,LF,3,3,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.333,0.472,0.877,24,1.50,0.039,1,0.405,0.87
±èÀçÈ¯,2017,04-12,KIA,L 4:8,4,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.308,0.436,0.827,16,-0.61,-0.066,1,,
±èÀçÈ¯,2017,04-13,KIA,L 3:4,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.279,0.395,0.755,19,-1.08,-0.105,1,0.360,1.09
±èÀçÈ¯,2017,04-14,@NC,W 10:6,4,LF,5,1,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0.292,0.396,0.771,25,1.24,0.030,1,,
±èÀçÈ¯,2017,04-15,@NC,W 11:2,4,LF,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.264,0.358,0.703,19,-1.31,-0.053,1,0.344,0.46
±èÀçÈ¯,2017,04-16,@NC,L 0:4,4,LF,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.281,0.368,0.722,13,0.04,-0.004,1,,
±èÀçÈ¯,2017,04-18,»ï¼º,D 3:3,4,LF,6,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.286,0.365,0.717,30,0.45,-0.004,1,0.352,1.24
±èÀçÈ¯,2017,04-19,»ï¼º,W 2:1,4,LF,4,1,3,0,1,1,8,1,0,0,0,0,0,1,0,0,0,0.313,0.463,0.836,11,1.38,0.152,1,,
±èÀçÈ¯,2017,04-20,»ï¼º,W 4:2,4,LF,3,1,3,2,0,0,5,1,0,0,1,0,0,0,0,0,0,0.343,0.514,0.919,11,2.03,0.192,1,0.405,1.19
±èÀçÈ¯,2017,04-21,@SK,L 4:9,4,LF,4,2,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.351,0.554,0.964,12,1.03,0.200,1,,
±èÀçÈ¯,2017,04-22,@SK,L 4:8,4,LF,5,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.354,0.544,0.953,8,0.72,0.111,1,0.409,1.08
±èÀçÈ¯,2017,04-23,@SK,W 8:4,4,LF,5,2,3,0,0,1,6,1,0,1,0,0,0,1,0,0,0,0.369,0.583,1.003,16,1.65,0.210,1,,
±èÀçÈ¯,2017,04-25,@³Ø¼¾,L 9:13,4,LF,3,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.379,0.598,1.025,9,1.16,0.107,1,0.427,1.52
±èÀçÈ¯,2017,04-26,@³Ø¼¾,W 4:3,4,LF,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.374,0.582,1.008,21,-0.51,0.056,1,,
±èÀçÈ¯,2017,04-27,@³Ø¼¾,L 3:7,4,LF,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.368,0.600,1.019,16,0.28,0.061,1,0.419,0.93
±èÀçÈ¯,2017,04-28,·Ôµ¥,W 2:0,4,LF,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0.367,0.592,1.014,17,0.14,0.036,1,,
±èÀçÈ¯,2017,04-29,·Ôµ¥,W 5:3,4,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.356,0.574,0.990,22,-1.03,-0.096,1,0.416,1.39
±èÀçÈ¯,2017,04-30,·Ôµ¥,L 0:6,4,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.352,0.562,0.972,19,-0.50,-0.048,1,,
±èÀçÈ¯,2017,05-02,@»ï¼º,L 5:6,4,LF,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.336,0.536,0.930,15,-1.18,-0.135,1,0.393,1.09
±èÀçÈ¯,2017,05-03,@»ï¼º,W 10:4,4,LF,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333,0.526,0.920,18,0.13,-0.035,1,,
±èÀçÈ¯,2017,05-04,@»ï¼º,W 17:2,4,DH,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.319,0.504,0.888,24,-0.60,-0.054,1,0.383,0.46
±èÀçÈ¯,2017,05-05,LG,L 1:3,4,LF,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.325,0.504,0.891,19,0.49,0.129,1,,
±èÀçÈ¯,2017,05-06,LG,L 5:7,4,LF,4,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.323,0.520,0.903,13,1.18,0.046,1,0.383,0.92
±èÀçÈ¯,2017,05-07,LG,L 4:10,4,LF,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.313,0.504,0.881,23,-1.12,-0.076,1,,
±èÀçÈ¯,2017,05-10,SK,W 6:0,4,LF,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.309,0.493,0.864,21,-0.88,-0.035,1,0.371,0.30
±èÀçÈ¯,2017,05-11,SK,W 7:0,4,LF,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.307,0.486,0.858,14,0.35,0.046,1,,
±èÀçÈ¯,2017,05-13,@·Ôµ¥,W 9:4,4,LF,4,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.306,0.479,0.852,21,-0.43,-0.001,1,0.373,0.45
±èÀçÈ¯,2017,05-14,@·Ôµ¥,W 15:1,4,LF,4,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.304,0.473,0.846,18,0.79,0.117,1,,
±èÀçÈ¯,2017,05-16,NC,L 1:2,4,LF,4,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.309,0.480,0.857,17,0.47,0.069,1,0.376,1.37
±èÀçÈ¯,2017,05-17,NC,L 1:2,4,LF,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.303,0.471,0.845,16,-0.49,-0.072,1,,
±èÀçÈ¯,2017,05-18,NC,W 7:4,4,LF,3,1,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.304,0.468,0.845,20,1.65,0.128,1,0.376,0.91
±èÀçÈ¯,2017,05-19,@KIA,W 7:6,4,LF,5,0,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.307,0.472,0.849,20,0.42,0.082,1,,
±èÀçÈ¯,2017,05-20,@KIA,W 6:0,4,LF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0.458,0.825,14,-1.20,-0.056,1,0.367,0.42
±èÀçÈ¯,2017,05-21,@KIA,W 7:3,4,LF,3,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0.292,0.450,0.818,23,-0.61,0.024,1,,
±èÀçÈ¯,2017,05-24,@LG,W 2:1,4,LF,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.291,0.463,0.828,11,0.83,0.227,1,0.365,1.41
±èÀçÈ¯,2017,05-25,@LG,W 9:7,4,LF,5,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.294,0.478,0.844,15,0.92,0.180,1,,
±èÀçÈ¯,2017,05-26,kt,L 3:5,4,LF,4,1,1,0,0,1,4,2,0,0,0,0,0,1,1,0,0,0.293,0.489,0.853,8,1.06,0.103,1,0.364,0.92
±èÀçÈ¯,2017,05-27,kt,W 10:4,4,LF,3,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.294,0.487,0.856,24,0.57,0.065,1,,
±èÀçÈ¯,2017,05-28,kt,W 9:5,4,LF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.474,0.835,18,-2.10,-0.136,1,0.361,1.06
±èÀçÈ¯,2017,05-30,@ÇÑÈ­,L 2:5,4,LF,4,1,3,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0.296,0.490,0.858,21,1.41,0.057,1,,
±èÀçÈ¯,2017,05-31,@ÇÑÈ­,L 1:3,4,LF,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.293,0.485,0.855,23,-0.48,-0.033,1,0.371,0.97
±èÀçÈ¯,2017,06-01,@ÇÑÈ­,W 8:6,4,LF,5,2,4,1,0,2,11,4,0,0,0,0,0,0,0,0,0,0.305,0.527,0.907,13,3.56,0.217,1,,
±èÀçÈ¯,2017,06-02,@³Ø¼¾,W 15:4,4,LF,3,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.306,0.524,0.909,19,0.38,-0.012,1,0.385,0.33
±èÀçÈ¯,2017,06-03,@³Ø¼¾,L 5:8,4,LF,4,1,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0.305,0.524,0.909,17,-0.19,0.009,1,,
±èÀçÈ¯,2017,06-04,@³Ø¼¾,W 6:1,4,DH,4,0,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.308,0.528,0.917,23,0.11,0.065,1,0.389,0.81
±èÀçÈ¯,2017,06-06,»ï¼º,L 10:12,4,LF,2,2,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0.310,0.532,0.930,28,1.04,0.116,1,,
±èÀçÈ¯,2017,06-07,»ï¼º,W 9:7,4,LF,4,3,3,0,0,1,6,2,1,0,0,1,0,1,0,0,0,0.318,0.550,0.956,17,2.48,0.215,1,0.406,0.73
±èÀçÈ¯,2017,06-08,»ï¼º,W 4:3,4,LF,3,0,2,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0.323,0.552,0.965,17,1.52,0.395,1,,
±èÀçÈ¯,2017,06-09,@·Ôµ¥,W 4:0,4,LF,4,0,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0.326,0.551,0.967,17,1.12,0.106,1,0.417,0.71
±èÀçÈ¯,2017,06-10,@·Ôµ¥,L 6:7,4,LF,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.329,0.550,0.968,15,0.17,0.068,1,,
±èÀçÈ¯,2017,06-11,@·Ôµ¥,L 4:7,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.323,0.540,0.952,13,-1.09,-0.097,1,0.412,0.95
±èÀçÈ¯,2017,06-13,LG,W 7:4,4,LF,3,2,2,1,0,1,6,2,0,0,1,0,0,0,0,0,0,0.328,0.559,0.975,11,1.42,0.208,1,,
±èÀçÈ¯,2017,06-14,LG,L 1:5,4,LF,4,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.331,0.562,0.980,15,0.33,0.051,1,0.418,0.65
±èÀçÈ¯,2017,06-15,LG,L 6:12,4,LF,4,1,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.333,0.565,0.984,19,1.56,0.088,1,,
±èÀçÈ¯,2017,06-16,NC,L 5:11,4,DH,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.331,0.558,0.973,20,-0.92,-0.074,1,0.415,0.58
±èÀçÈ¯,2017,06-17,NC,W 14:4,4,LF,5,1,2,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0.332,0.559,0.974,26,0.23,-0.088,1,,
±èÀçÈ¯,2017,06-18,NC,W 13:11,4,LF,5,3,4,0,0,2,10,4,0,0,0,0,0,0,0,0,0,0.341,0.586,1.008,18,3.85,0.307,1,0.421,0.99
±èÀçÈ¯,2017,06-21,@KIA,L 8:20,4,LF,5,0,3,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0.346,0.586,1.011,12,2.44,0.052,1,,
±èÀçÈ¯,2017,06-22,@KIA,L 5:11,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.341,0.578,0.997,20,-1.41,-0.112,1,0.419,1.01
±èÀçÈ¯,2017,06-23,·Ôµ¥,W 9:1,4,LF,3,1,1,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0.341,0.582,1.002,21,1.34,0.025,1,,
±èÀçÈ¯,2017,06-24,·Ôµ¥,L 4:8,4,LF,4,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.343,0.581,1.002,12,0.15,0.061,1,0.421,0.61
±èÀçÈ¯,2017,06-25,·Ôµ¥,L 2:4,4,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.342,0.577,0.995,15,-0.91,-0.108,1,,
±èÀçÈ¯,2017,06-27,SK,L 1:5,4,LF,3,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.342,0.585,1.004,19,0.58,0.059,1,0.420,1.16
±èÀçÈ¯,2017,06-28,SK,L 0:3,4,LF,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.340,0.583,1.001,12,-0.38,-0.050,1,,
±èÀçÈ¯,2017,06-29,SK,W 6:3,4,LF,4,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.342,0.592,1.011,13,1.89,0.145,1,0.419,0.48
