Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÁÖÂù,2017,03-31,@»ï¼º,W 7:2,3,RF,4,2,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0.250,1.000,1.400,23,0.64,-0.048,1,0.400,0.88
±èÁÖÂù,2017,04-01,@»ï¼º,W 9:7,3,1B,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.250,0.750,1.083,14,-0.33,0.009,1,,
±èÁÖÂù,2017,04-02,@»ï¼º,L 3:16,3,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.182,0.545,0.795,11,-0.49,-0.026,1,0.250,0.32
±èÁÖÂù,2017,04-04,SK,W 6:1,3,1B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.200,0.467,0.717,15,-0.86,-0.056,1,,
±èÁÖÂù,2017,04-06,SK,W 6:4,3,1B,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.211,0.421,0.671,6,-0.41,-0.002,1,0.250,1.13
±èÁÖÂù,2017,04-07,ÇÑÈ­,W 4:2,3,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.348,0.556,13,-0.96,-0.038,1,,
±èÁÖÂù,2017,04-08,ÇÑÈ­,L 3:4,3,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.296,0.475,10,-1.50,-0.116,1,0.179,0.90
±èÁÖÂù,2017,04-09,ÇÑÈ­,W 3:2,3,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.161,0.290,0.478,9,-0.70,-0.110,1,,
±èÁÖÂù,2017,04-11,@µÎ»ê,L 4:16,3,RF,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.176,0.294,0.494,13,0.70,0.071,1,0.200,0.74
±èÁÖÂù,2017,04-12,@µÎ»ê,W 8:4,3,1B,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.179,0.282,0.482,19,0.17,0.074,1,,
