Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÁö¼ö,2018,03-24,ÇÑÈ­,W 6:3,1,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±èÁö¼ö,2018,03-27,LG,W 5:4,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
±èÁö¼ö,2018,03-29,LG,W 9:4,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±èÁö¼ö,2018,03-30,@»ï¼º,W 10:8,2,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,6,-0.82,-0.171,0,,
±èÁö¼ö,2018,03-31,@»ï¼º,W 4:2,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±èÁö¼ö,2018,04-03,KT,L 1:7,8,2B,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.333,0.333,0.667,4,-0.24,-0.007,1,,
±èÁö¼ö,2018,04-04,KT,W 10:2,3,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,1,-0.12,0.000,0,0.250,0.00
±èÁö¼ö,2018,04-05,KT,W 4:3,9,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,4,-0.25,-0.064,0,,
±èÁö¼ö,2018,04-06,@KIA,L 5:11,8,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,11,0.11,0.004,1,0.250,1.22
±èÁö¼ö,2018,04-08,@KIA,L 3:4,8,PR,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,4,0.40,0.087,0,,
±èÁö¼ö,2018,04-10,@·Ôµ¥,L 3:4,7,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,0,0.00,0.000,0,0.333,0.00
±èÁö¼ö,2018,04-11,@·Ôµ¥,L 0:12,4,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,0,0.00,0.000,0,,
±èÁö¼ö,2018,04-12,@·Ôµ¥,W 5:3,8,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.250,0.250,0.558,22,-0.26,-0.007,1,0.308,0.51
±èÁö¼ö,2018,04-14,µÎ»ê,W 7:6,9,2B,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.313,0.313,0.665,17,-0.35,-0.044,1,,
±èÁö¼ö,2018,04-15,µÎ»ê,L 2:3,9,2B,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.294,0.294,0.694,14,0.09,0.019,1,0.400,0.96
±èÁö¼ö,2018,04-17,NC,L 2:3,9,2B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.278,0.278,0.687,12,0.03,0.008,1,,
±èÁö¼ö,2018,04-19,NC,W 6:3,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.278,0.687,0,0.00,0.000,0,0.409,0.00
±èÁö¼ö,2018,04-20,@ÇÑÈ­,W 6:1,3,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.278,0.687,0,0.00,0.000,0,,
±èÁö¼ö,2018,04-21,@ÇÑÈ­,W 4:3,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.263,0.654,5,-0.47,-0.044,0,0.391,1.72
±èÁö¼ö,2018,04-22,@ÇÑÈ­,W 10:1,3,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.263,0.654,0,0.00,0.000,0,,
±èÁö¼ö,2018,04-26,@LG,L 1:11,5,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.250,0.250,0.625,2,-1.65,-0.001,0,0.375,0.04
±èÁö¼ö,2018,04-27,SK,L 3:8,9,2B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.238,0.238,0.623,11,0.33,0.046,1,,
±èÁö¼ö,2018,04-28,SK,L 4:6,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0.623,0,0.00,0.000,0,0.385,0.00
±èÁö¼ö,2018,04-29,SK,W 8:5,7,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.227,0.227,0.598,1,-0.97,-0.005,0,,
±èÁö¼ö,2018,05-01,@NC,W 13:4,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.227,0.598,0,0.00,0.000,0,0.370,0.00
±èÁö¼ö,2018,05-02,@NC,L 8:13,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.227,0.598,0,0.00,0.000,0,,
±èÁö¼ö,2018,05-03,@NC,W 13:9,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.227,0.598,0,0.00,0.000,0,0.370,0.00
±èÁö¼ö,2018,05-04,@KT,W 11:1,4,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.217,0.575,3,-0.26,0.000,0,,
±èÁö¼ö,2018,05-05,@KT,W 10:1,4,2B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.208,0.553,7,0.28,0.000,0,0.345,0.00
±èÁö¼ö,2018,05-08,ÇÑÈ­,L 9:10,7,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,2,-0.32,-0.004,0,,
±èÁö¼ö,2018,05-09,ÇÑÈ­,L 1:4,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.185,0.185,0.498,13,-0.38,-0.042,1,0.313,0.84
±èÁö¼ö,2018,05-10,ÇÑÈ­,L 1:3,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0.185,0.498,0,0.00,0.000,0,,
±èÁö¼ö,2018,05-11,@µÎ»ê,W 10:5,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.179,0.179,0.482,3,-0.39,-0.001,0,0.303,0.05
±èÁö¼ö,2018,05-17,KIA,W 8:2,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.167,0.167,0.452,9,-0.82,-0.087,1,,
±èÁö¼ö,2018,05-18,»ï¼º,L 0:5,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,0,0.00,0.000,0,0.286,0.00
±èÁö¼ö,2018,05-19,»ï¼º,W 6:3,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,0,0.00,0.000,0,,
±èÁö¼ö,2018,05-20,»ï¼º,L 3:4,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,0,0.00,0.000,0,0.286,0.00
±èÁö¼ö,2018,05-22,@SK,W 10:4,8,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.161,0.439,1,-0.25,-0.001,0,,
±èÁö¼ö,2018,05-25,·Ôµ¥,W 13:2,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.156,0.156,0.427,6,-0.12,0.000,0,0.270,0.00
±èÁö¼ö,2018,05-27,·Ôµ¥,L 4:6,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0.156,0.427,0,0.00,0.000,0,,
±èÁö¼ö,2018,05-29,@KIA,W 12:8,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.152,0.152,0.415,4,-0.51,-0.001,0,0.263,0.03
±èÁö¼ö,2018,06-05,µÎ»ê,W 13:6,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.152,0.415,0,0.00,0.000,0,,
±èÁö¼ö,2018,06-06,µÎ»ê,L 3:7,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.152,0.415,0,0.00,0.000,0,0.263,0.00
±èÁö¼ö,2018,06-10,@KT,W 6:1,5,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.152,0.415,0,0.00,0.000,0,,
±èÁö¼ö,2018,10-06,@NC,L 5:6,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.152,0.415,0,0.00,0.000,0,0.263,0.00
±èÁö¼ö,2018,10-12,@KT,W 10:5,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.147,0.147,0.403,4,-0.26,-0.007,0,,
±èÁö¼ö,2018,10-13,@»ï¼º,L 5:12,6,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0.147,0.403,0,0.00,0.000,0,0.256,0.00
±èÁö¼ö,2018,10-19,@ÇÑÈ­,W 3:2,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,2,-0.38,-0.026,0,,
±èÁö¼ö,2018,10-20,@ÇÑÈ­,W 7:5,8,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
