Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÁø°ï,2019,04-11,@Å°¿ò,W 8:1,5,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±èÁø°ï,2019,04-12,@»ï¼º,L 0:5,1,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,13,-0.94,-0.066,1,,
±èÁø°ï,2019,04-13,@»ï¼º,W 5:3,5,PR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.24,0.017,0,0.000,0.75
±èÁø°ï,2019,04-14,@»ï¼º,L 12:14,4,CF,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333,4,0.57,0.003,0,,
±èÁø°ï,2019,04-19,@·Ôµ¥,W 6:5,7,PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.167,0.167,0.333,3,-0.23,-0.023,0,0.167,2.14
±èÁø°ï,2019,04-20,@·Ôµ¥,L 4:5,5,PR,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.286,0.429,0.714,2,1.82,0.394,0,,
±èÁø°ï,2019,04-21,@·Ôµ¥,W 6:3,7,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.286,0.429,0.804,4,0.68,0.111,0,0.375,3.79
±èÁø°ï,2019,04-23,NC,L 3:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.375,0.708,1,-0.32,-0.026,0,,
±èÁø°ï,2019,04-24,NC,L 2:10,4,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.333,0.633,3,-0.18,0.000,0,0.300,0.01
±èÁø°ï,2019,04-27,SK,L 1:2,1,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.273,0.523,9,-0.44,-0.114,0,,
±èÁø°ï,2019,07-27,LG,L 2:5,8,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.641,5,0.40,0.046,0,0.308,0.91
±èÁø°ï,2019,07-28,LG,L 1:10,1,PH,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.231,0.308,0.641,7,-1.44,-0.163,0,,
±èÁø°ï,2019,07-30,ÇÑÈ­,W 3:2,1,LF,4,1,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0.294,0.353,0.721,15,-0.24,-0.009,1,0.368,0.93
±èÁø°ï,2019,08-01,ÇÑÈ­,L 1:3,9,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.389,0.789,4,0.03,-0.046,0,,
±èÁø°ï,2019,08-03,@Å°¿ò,W 7:1,1,CF,3,2,1,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0.333,0.429,0.820,10,1.29,0.079,1,0.391,0.64
±èÁø°ï,2019,08-06,@SK,W 3:0,1,CF,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.308,0.385,0.742,18,-1.09,-0.070,1,,
±èÁø°ï,2019,08-07,@SK,L 2:5,1,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.286,0.357,0.690,9,-1.09,-0.093,1,0.333,1.16
±èÁø°ï,2019,08-08,@µÎ»ê,L 2:7,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.345,0.667,1,-0.18,-0.002,0,,
±èÁø°ï,2019,08-09,@µÎ»ê,L 1:3,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.333,0.646,4,-0.12,-0.012,0,0.313,0.44
