Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÂùÇü,2019,03-26,KT,W 9:8,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,2,-0.38,-0.077,0,0.000,3.19
±èÂùÇü,2019,03-28,KT,W 6:2,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,6,-0.84,-0.024,0,,
±èÂùÇü,2019,03-29,@ÇÑÈ­,L 0:9,6,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.18,0.000,0,0.000,0.00
±èÂùÇü,2019,03-30,@ÇÑÈ­,L 5:13,7,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
±èÂùÇü,2019,04-02,Å°¿ò,L 6:8,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
±èÂùÇü,2019,04-03,Å°¿ò,W 9:1,3,PH,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,6,0.63,0.000,0,,
±èÂùÇü,2019,05-10,µÎ»ê,W 12:11,1,3B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.250,0.500,0.700,2,-0.12,0.156,0,0.200,4.11
±èÂùÇü,2019,05-11,µÎ»ê,L 0:12,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.400,0.567,4,-0.18,0.000,0,,
±èÂùÇü,2019,05-14,SK,W 8:2,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.333,0.476,3,-0.25,0.000,0,0.143,0.01
±èÂùÇü,2019,05-15,SK,L 3:7,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.222,0.322,6,-0.97,-0.055,1,,
±èÂùÇü,2019,05-17,@LG,W 13:2,8,SS,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.214,0.348,20,-0.71,-0.028,1,0.133,0.21
±èÂùÇü,2019,05-18,@LG,W 9:3,9,SS,5,2,2,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0.211,0.263,0.463,20,0.22,-0.010,1,,
±èÂùÇü,2019,05-22,@Å°¿ò,L 2:4,8,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.250,0.440,1,-0.47,-0.020,0,0.190,0.77
±èÂùÇü,2019,05-23,@Å°¿ò,W 4:2,9,SS,4,0,2,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0.250,0.375,0.615,11,0.40,0.055,1,,
±èÂùÇü,2019,05-24,SK,L 2:4,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.333,0.548,10,-0.63,-0.095,1,0.214,1.24
±èÂùÇü,2019,05-25,SK,W 10:7,3,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.333,0.548,0,0.00,0.000,0,,
±èÂùÇü,2019,05-26,SK,L 1:2,9,SS,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.345,0.578,5,0.28,0.025,1,0.233,0.79
±èÂùÇü,2019,05-29,·Ôµ¥,W 8:6,3,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.345,0.578,0,0.00,0.000,0,,
±èÂùÇü,2019,05-30,·Ôµ¥,L 2:10,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.333,0.559,3,-0.26,-0.001,0,0.226,0.02
±èÂùÇü,2019,06-05,@»ï¼º,L 3:4,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.333,0.559,0,0.00,0.000,0,,
±èÂùÇü,2019,06-16,@SK,L 2:9,3,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.323,0.541,2,-0.46,-0.002,0,0.219,0.07
±èÂùÇü,2019,06-18,@µÎ»ê,L 7:10,9,SS,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.235,0.324,0.574,12,-0.42,-0.013,1,,
