Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÃ¢Æò,2020,05-05,ÇÑÈ­,L 0:3,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,10,-0.48,-0.056,1,0.000,0.74
±èÃ¢Æò,2020,05-06,ÇÑÈ­,W 5:2,8,2B,3,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0.167,0.167,0.452,20,0.88,0.007,1,,
±èÃ¢Æò,2020,05-07,ÇÑÈ­,L 4:8,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.347,14,-0.44,-0.038,1,0.222,0.75
±èÃ¢Æò,2020,05-08,@·Ôµ¥,L 8:9,8,2B,4,3,2,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0.250,0.333,0.690,21,0.80,0.019,1,,
±èÃ¢Æò,2020,05-10,@·Ôµ¥,L 0:4,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.286,0.598,7,-0.38,-0.040,1,0.313,0.78
±èÃ¢Æò,2020,05-12,@LG,L 5:9,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.176,0.235,0.498,10,-0.72,-0.039,1,,
±èÃ¢Æò,2020,05-13,@LG,L 2:14,8,2B,3,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.250,0.300,0.648,14,1.01,0.002,1,0.348,0.04
±èÃ¢Æò,2020,05-14,@LG,L 2:3,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.261,0.569,7,-0.63,-0.072,1,,
±èÃ¢Æò,2020,05-15,NC,L 2:6,7,2B,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.192,0.231,0.531,16,0.32,0.289,1,0.300,3.59
±èÃ¢Æò,2020,05-16,NC,L 1:2,8,2B,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.207,0.276,0.579,12,0.05,0.088,1,,
±èÃ¢Æò,2020,05-17,NC,L 5:11,8,2B,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.194,0.258,0.564,14,-0.09,0.009,1,0.306,0.86
±èÃ¢Æò,2020,05-19,@Å°¿ò,L 6:11,8,2B,3,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.235,0.294,0.644,20,1.34,0.137,1,,
±èÃ¢Æò,2020,05-20,@Å°¿ò,W 5:3,8,2B,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.216,0.270,0.611,23,-0.61,-0.029,1,0.341,1.11
±èÃ¢Æò,2020,05-21,@Å°¿ò,L 8:9,7,2B,4,2,1,0,1,0,3,1,0,0,1,0,0,2,0,0,0,0.220,0.317,0.664,23,1.69,0.413,1,,
±èÃ¢Æò,2020,05-22,KIA,L 1:2,2,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.317,0.664,0,0.00,0.000,0,0.347,0.00
±èÃ¢Æò,2020,05-23,KIA,L 3:8,7,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.200,0.289,0.610,15,-1.47,-0.111,1,,
±èÃ¢Æò,2020,05-24,KIA,W 4:3,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0.277,0.586,2,-0.38,-0.030,1,0.309,0.59
±èÃ¢Æò,2020,09-20,KT,L 2:10,7,2B,3,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0.200,0.300,0.610,12,-0.81,-0.142,1,,
±èÃ¢Æò,2020,09-22,@LG,L 2:7,9,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.294,0.599,4,0.28,0.026,0,0.305,0.54
±èÃ¢Æò,2020,09-23,@LG,L 2:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.192,0.288,0.588,5,-0.25,-0.004,0,,
±èÃ¢Æò,2020,09-25,@Å°¿ò,W 8:6,7,2B,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.185,0.278,0.579,17,-0.01,-0.007,1,0.302,1.31
