Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÅÂ±Õ,2019,03-23,@µÎ»ê,L 4:5,4,DH,4,0,2,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0.500,0.500,1.100,20,0.74,0.103,1,0.600,2.17
±èÅÂ±Õ,2019,03-24,@µÎ»ê,W 11:1,5,DH,3,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.429,0.429,0.929,9,1.84,0.170,1,,
±èÅÂ±Õ,2019,03-26,@KIA,W 13:7,5,DH,3,3,2,1,0,0,3,1,0,0,2,0,0,0,1,0,0,0.500,0.600,1.215,17,1.43,0.119,1,0.615,0.57
±èÅÂ±Õ,2019,03-27,@KIA,L 4:9,4,DH,5,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.400,0.467,0.967,23,-2.09,-0.197,1,,
±èÅÂ±Õ,2019,03-28,@KIA,L 4:6,5,1B,2,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0.353,0.412,0.912,15,0.14,0.026,1,0.500,0.75
±èÅÂ±Õ,2019,03-29,NC,W 9:0,5,1B,4,2,3,2,0,1,8,2,0,0,0,0,0,0,0,0,0,0.429,0.714,1.253,16,2.32,0.094,1,,
±èÅÂ±Õ,2019,03-30,NC,W 13:5,5,1B,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.360,0.600,1.084,19,0.02,0.009,1,0.484,0.81
±èÅÂ±Õ,2019,03-31,NC,L 3:6,5,DH,3,0,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0.393,0.607,1.121,14,1.42,0.157,1,,
±èÅÂ±Õ,2019,04-02,LG,W 6:2,5,DH,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.355,0.548,1.036,27,-0.53,-0.047,1,0.487,0.61
±èÅÂ±Õ,2019,04-03,LG,L 0:7,5,DH,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.353,0.529,1.006,12,-0.48,-0.018,1,,
±èÅÂ±Õ,2019,04-04,LG,W 2:1,5,DH,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.324,0.486,0.943,10,-1.06,-0.123,1,0.457,1.97
±èÅÂ±Õ,2019,04-05,@·Ôµ¥,L 2:5,4,DH,3,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0.375,0.525,1.025,13,1.32,0.167,1,,
