Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
╠ХебаЬ,2019,03-28,KT,W 6:2,2,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,10,-0.88,-0.057,1,0.000,0.57
╠ХебаЬ,2019,03-29,@гях╜,L 0:9,2,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.250,13,-1.41,-0.057,1,,
╠ХебаЬ,2019,03-30,@гях╜,L 5:13,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.111,0.222,3,-0.26,-0.001,0,0.111,0.03
╠ХебаЬ,2019,04-02,е╟©Р,L 6:8,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100,0.100,0.200,5,-0.63,-0.114,0,,
╠ХебаЬ,2019,04-03,е╟©Р,W 9:1,8,2B,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.154,0.154,0.308,9,0.49,0.051,1,0.154,1.15
╠ХебаЬ,2019,04-06,@╣н╩Й,W 6:5,2,2B,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.188,0.188,0.375,12,0.08,0.012,1,,
╠ХебаЬ,2019,04-12,╥т╣╔,W 2:1,2,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150,0.150,0.300,11,-0.73,-0.092,1,0.150,0.89
╠ХебаЬ,2019,04-13,╥т╣╔,W 7:5,2,RF,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.174,0.174,0.348,11,0.19,0.041,1,,
╠ХебаЬ,2019,04-14,╥т╣╔,W 8:1,3,CF,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.208,0.208,0.417,6,0.28,0.000,0,0.208,0.00
╠ХебаЬ,2019,04-16,LG,L 2:7,3,PR,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.240,0.240,0.480,3,0.36,0.088,0,,
