Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÇÏ¼º,2017,03-31,LG,L 1:2,8,SS,3,1,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0.333,1.000,1.333,12,0.08,-0.003,1,0.333,2.27
±èÇÏ¼º,2017,04-01,LG,L 3:8,8,SS,4,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.429,0.857,1.286,14,-0.84,-0.082,1,,
±èÇÏ¼º,2017,04-02,LG,L 2:9,2,SS,3,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.400,0.800,1.255,18,0.93,-0.015,1,0.455,0.95
±èÇÏ¼º,2017,04-04,@·Ôµ¥,L 2:5,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.615,0.973,11,-0.63,-0.033,1,,
±èÇÏ¼º,2017,04-06,@·Ôµ¥,L 3:12,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.794,12,-0.69,-0.039,1,0.294,0.49
±èÇÏ¼º,2017,04-07,@µÎ»ê,W 7:3,8,SS,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.211,0.421,0.707,14,0.29,0.074,1,,
±èÇÏ¼º,2017,04-08,@µÎ»ê,W 13:10,8,SS,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.208,0.417,0.686,25,-0.63,-0.078,1,0.269,0.74
±èÇÏ¼º,2017,04-09,@µÎ»ê,W 13:2,8,SS,5,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.207,0.379,0.637,15,-0.36,0.086,1,,
±èÇÏ¼º,2017,04-11,kt,W 12:2,8,SS,4,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.212,0.455,0.712,14,1.40,-0.022,1,0.257,0.41
±èÇÏ¼º,2017,04-12,kt,W 5:3,8,SS,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.222,0.444,0.726,17,0.88,0.174,1,,
±èÇÏ¼º,2017,04-13,kt,L 6:7,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.432,0.707,4,0.61,-0.019,0,0.275,0.71
±èÇÏ¼º,2017,04-14,@KIA,L 2:3,2,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.195,0.390,0.640,18,-0.87,-0.103,1,,
±èÇÏ¼º,2017,04-15,@KIA,L 2:5,8,SS,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.222,0.422,0.693,7,0.08,-0.023,1,0.271,0.62
±èÇÏ¼º,2017,04-16,@KIA,L 6:7,7,SS,3,2,2,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0.250,0.438,0.739,27,1.06,0.034,1,,
±èÇÏ¼º,2017,04-18,@SK,L 4:7,8,SS,4,1,3,0,0,1,6,2,0,0,0,0,0,1,0,0,0,0.288,0.519,0.853,18,2.22,0.077,1,0.333,0.46
±èÇÏ¼º,2017,04-19,@SK,L 3:5,8,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.273,0.491,0.819,16,-0.43,-0.056,1,,
±èÇÏ¼º,2017,04-20,@SK,W 5:3,2,SS,4,2,1,0,0,1,4,2,0,0,0,0,0,1,0,1,0,0.271,0.525,0.849,22,2.18,0.575,1,0.323,1.40
±èÇÏ¼º,2017,04-21,·Ôµ¥,W 4:1,2,SS,3,1,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0.290,0.532,0.880,17,0.69,0.063,1,,
±èÇÏ¼º,2017,04-22,·Ôµ¥,L 2:3,2,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.500,0.829,15,-0.74,-0.088,1,0.329,0.89
±èÇÏ¼º,2017,04-23,·Ôµ¥,W 6:5,2,SS,5,2,2,1,0,1,6,2,0,0,0,0,0,2,0,0,0,0.282,0.549,0.883,24,1.29,0.103,1,,
±èÇÏ¼º,2017,04-25,µÎ»ê,W 13:9,2,SS,4,2,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0.293,0.547,0.896,23,2.69,0.200,1,0.349,1.12
±èÇÏ¼º,2017,04-26,µÎ»ê,L 3:4,2,SS,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.288,0.525,0.866,19,0.92,0.020,1,,
±èÇÏ¼º,2017,04-27,µÎ»ê,W 7:3,2,SS,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.274,0.500,0.833,17,-1.22,-0.101,1,0.333,0.64
±èÇÏ¼º,2017,04-28,@ÇÑÈ­,W 13:2,8,SS,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.264,0.483,0.813,12,0.12,0.070,1,,
