Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÇå°ï,2018,03-24,@µÎ»ê,W 6:3,8,LF,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.833,24,-0.39,0.003,1,0.500,0.57
±èÇå°ï,2018,03-25,@µÎ»ê,L 4:5,8,LF,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.200,0.200,0.629,18,-0.56,-0.077,1,,
±èÇå°ï,2018,03-27,@KIA,L 0:17,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.476,7,-0.52,-0.018,1,0.333,0.37
±èÇå°ï,2018,03-28,@KIA,W 6:0,8,LF,4,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.364,0.364,0.825,13,1.03,0.041,1,,
±èÇå°ï,2018,03-29,@KIA,L 0:7,8,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.286,0.661,9,-0.61,-0.064,1,0.375,0.90
±èÇå°ï,2018,03-30,³Ø¼¾,L 8:10,8,LF,5,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.263,0.263,0.627,26,-0.77,-0.211,1,,
±èÇå°ï,2018,04-01,³Ø¼¾,W 6:5,7,LF,5,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.292,0.333,0.704,26,0.61,0.146,1,0.370,1.16
±èÇå°ï,2018,04-03,@NC,L 3:4,2,LF,4,1,3,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0.357,0.429,0.866,25,1.65,0.262,1,,
±èÇå°ï,2018,04-04,@NC,L 1:4,2,LF,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.344,0.406,0.823,17,0.26,-0.009,1,0.417,1.50
±èÇå°ï,2018,04-05,@NC,W 4:1,2,CF,5,0,2,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0.351,0.432,0.847,16,-1.02,-0.058,1,,
±èÇå°ï,2018,04-07,@SK,L 3:4,6,LF,5,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.357,0.429,0.842,15,0.67,0.069,1,0.413,1.97
±èÇå°ï,2018,04-08,@SK,W 12:4,1,RF,4,1,2,1,0,0,3,0,1,0,2,0,0,1,0,0,0,0.370,0.457,0.899,19,0.97,0.069,1,,
±èÇå°ï,2018,04-10,µÎ»ê,L 1:8,1,LF,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.347,0.429,0.857,15,-0.42,-0.039,1,0.429,0.51
±èÇå°ï,2018,04-11,µÎ»ê,L 6:7,7,RF,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.407,0.817,18,-0.81,-0.254,1,,
±èÇå°ï,2018,04-12,µÎ»ê,L 3:9,7,RF,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.345,0.414,0.829,10,-0.80,-0.034,1,0.415,0.62
±èÇå°ï,2018,04-13,@ÇÑÈ­,W 4:2,1,RF,4,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0.323,0.387,0.773,18,-0.51,-0.029,1,,
±èÇå°ï,2018,04-14,@ÇÑÈ­,L 2:14,1,RF,3,1,1,0,0,1,4,1,0,0,1,1,0,0,0,0,0,0.323,0.431,0.831,18,1.30,-0.009,1,0.400,0.76
±èÇå°ï,2018,04-15,@ÇÑÈ­,L 4:7,6,LF,4,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0.333,0.449,0.854,16,2.55,0.273,1,,
