Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
±èÈ£Àº,2020,06-12,·Ôµ¥,W 3:2,6,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,5,-0.38,-0.046,1,0.000,0.91
±èÈ£Àº,2020,06-13,·Ôµ¥,L 6:7,6,1B,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.250,0.250,0.650,12,1.17,0.122,1,,
±èÈ£Àº,2020,06-14,·Ôµ¥,W 10:6,6,1B,3,1,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.429,0.571,1.071,9,0.72,0.105,1,0.500,1.35
±èÈ£Àº,2020,06-16,@ÇÑÈ­,W 9:5,6,1B,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.364,0.545,0.962,10,-1.04,-0.032,1,,
±èÈ£Àº,2020,06-17,@ÇÑÈ­,W 7:1,6,1B,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.467,0.842,17,-0.68,-0.035,1,0.375,0.80
±èÈ£Àº,2020,06-18,@ÇÑÈ­,W 9:7,6,1B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.316,0.421,0.771,15,0.74,0.063,1,,
±èÈ£Àº,2020,06-19,µÎ»ê,L 10:18,2,PH,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.381,0.699,5,0.31,0.000,0,0.318,0.03
±èÈ£Àº,2020,06-20,µÎ»ê,L 2:8,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.364,0.668,5,-0.34,-0.031,0,,
±èÈ£Àº,2020,06-21,µÎ»ê,L 1:3,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.348,0.639,3,-0.46,-0.050,0,0.292,1.81
±èÈ£Àº,2020,06-23,Å°¿ò,L 3:8,5,PR,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.269,0.346,0.642,7,0.63,0.045,0,,
±èÈ£Àº,2020,06-25,Å°¿ò,L 5:8,5,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233,0.300,0.558,14,-0.82,-0.051,1,,
±èÈ£Àº,2020,06-25,Å°¿ò,L 2:5,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.333,0.619,4,-0.26,-0.039,0,0.286,1.54
±èÈ£Àº,2020,06-26,@SK,L 0:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.290,0.540,3,-0.82,-0.032,0,0.250,1.20
±èÈ£Àº,2020,06-27,@SK,W 3:0,6,1B,3,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.265,0.324,0.609,11,1.13,0.138,1,,
±èÈ£Àº,2020,06-28,@SK,W 4:0,6,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.243,0.297,0.560,12,-0.77,-0.050,1,0.263,0.66
±èÈ£Àº,2020,07-01,KT,L 5:11,1,LF,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.256,0.308,0.583,9,0.36,0.009,0,,
±èÈ£Àº,2020,07-02,KT,L 3:4,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.300,0.568,2,-0.23,-0.066,0,0.268,4.68
±èÈ£Àº,2020,07-03,@»ï¼º,L 7:9,7,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.268,0.317,0.603,3,0.67,0.095,0,,
±èÈ£Àº,2020,07-04,@»ï¼º,L 6:7,9,PH,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.286,0.357,0.659,5,0.89,0.130,0,0.302,1.80
±èÈ£Àº,2020,07-05,@»ï¼º,W 7:3,7,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.302,0.372,0.690,3,1.27,0.300,0,,
±èÈ£Àº,2020,07-07,@µÎ»ê,L 6:9,5,1B,4,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.319,0.447,0.780,11,0.48,0.073,1,0.333,1.03
±èÈ£Àº,2020,07-08,@µÎ»ê,W 8:5,5,DH,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.320,0.460,0.793,9,0.26,0.024,1,,
±èÈ£Àº,2020,07-09,@µÎ»ê,L 0:6,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0.451,0.778,9,-0.12,-0.007,0,0.327,0.25
±èÈ£Àº,2020,07-10,NC,L 2:12,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0.451,0.778,0,0.00,0.000,0,,
±èÈ£Àº,2020,07-11,NC,D 6:6,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.442,0.763,5,-0.12,-0.035,0,0.321,1.38
±èÈ£Àº,2020,07-14,@·Ôµ¥,L 0:5,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.434,0.749,5,-0.39,-0.046,0,,
±èÈ£Àº,2020,07-15,@·Ôµ¥,W 9:3,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.296,0.426,0.735,6,-0.54,-0.060,0,0.309,2.18
±èÈ£Àº,2020,07-16,@·Ôµ¥,L 10:15,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.418,0.722,1,-0.18,-0.031,0,,
±èÈ£Àº,2020,07-17,ÇÑÈ­,W 8:0,6,1B,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.281,0.404,0.709,13,-0.43,-0.040,1,0.305,0.76
±èÈ£Àº,2020,07-18,ÇÑÈ­,W 3:1,6,DH,3,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.300,0.467,0.789,8,1.54,0.186,1,,
±èÈ£Àº,2020,07-19,ÇÑÈ­,W 6:2,6,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.444,0.752,6,-0.49,-0.040,1,0.308,0.52
±èÈ£Àº,2020,07-21,@KT,L 9:10,7,1B,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.288,0.439,0.758,14,0.03,0.027,1,,
