Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
나성범,2020,05-05,@삼성,W 4:0,3,DH,3,1,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.667,1.667,2.417,20,1.15,0.129,1,0.750,0.49
나성범,2020,05-06,@삼성,W 4:3,3,DH,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.286,0.714,1.159,19,-1.52,-0.080,1,,
나성범,2020,05-07,@삼성,W 8:2,3,DH,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.200,0.500,0.885,11,-0.87,-0.030,1,0.385,0.39
나성범,2020,05-08,LG,W 13:5,3,DH,3,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0.154,0.385,0.774,27,0.79,0.054,1,,
나성범,2020,05-10,LG,L 8:10,3,DH,5,2,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.278,0.444,0.879,15,1.04,0.104,1,0.435,0.54
나성범,2020,05-12,KT,W 7:6,3,DH,5,2,2,0,0,1,5,2,0,0,0,0,0,2,0,0,0,0.304,0.565,0.994,23,1.30,0.430,1,,
나성범,2020,05-13,KT,W 5:4,3,DH,5,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.321,0.643,1.067,27,1.32,0.393,1,0.424,2.13
나성범,2020,05-14,KT,W 1:0,3,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.281,0.563,0.941,15,-1.47,-0.130,1,,
나성범,2020,05-15,@SK,W 6:2,3,DH,3,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0.257,0.514,0.895,25,0.67,0.067,1,0.381,1.01
나성범,2020,05-16,@SK,W 2:1,3,DH,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.237,0.474,0.843,15,-0.29,-0.041,1,,
나성범,2020,05-17,@SK,W 11:5,3,DH,3,3,2,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0.268,0.561,0.973,18,1.56,0.026,1,0.412,0.52
나성범,2020,05-19,@두산,W 5:4,3,DH,5,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.283,0.543,0.954,19,-0.46,0.055,1,,
나성범,2020,05-20,@두산,L 1:2,3,DH,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.255,0.490,0.867,20,-1.13,-0.172,1,0.377,1.31
나성범,2020,05-21,@두산,W 12:6,3,DH,6,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.263,0.474,0.847,15,0.15,0.159,1,,
나성범,2020,05-22,한화,L 3:5,3,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.246,0.443,0.795,13,-1.13,-0.113,1,0.352,0.90
나성범,2020,05-23,한화,W 3:0,3,DH,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.277,0.462,0.835,9,1.08,0.095,1,,
나성범,2020,05-24,한화,W 10:5,3,RF,4,1,2,1,0,0,3,3,0,0,1,0,0,1,0,0,0,0.290,0.478,0.866,16,3.28,0.390,1,0.388,1.53
나성범,2020,05-26,키움,W 7:2,3,DH,3,1,2,2,0,0,4,1,0,0,1,0,0,1,0,0,0,0.306,0.514,0.919,13,1.54,0.109,1,,
나성범,2020,05-27,키움,W 10:3,3,DH,3,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0.320,0.520,0.940,17,0.56,0.047,1,0.420,0.70
나성범,2020,05-28,키움,W 9:6,3,DH,3,3,2,0,0,2,8,3,0,0,1,0,0,1,0,0,0,0.333,0.603,1.037,20,2.25,0.258,1,,
나성범,2020,05-29,@삼성,L 4:5,3,DH,4,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.329,0.622,1.049,18,0.25,0.037,1,0.427,0.64
나성범,2020,05-30,@삼성,L 1:9,3,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.314,0.593,1.003,18,-1.02,-0.081,1,,
