Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
나주환,2019,03-26,LG,L 3:6,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.26,-0.027,0,0.000,1.05
나주환,2019,03-30,@키움,L 1:3,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,14,-0.63,-0.077,1,,
나주환,2019,03-31,@키움,W 8:7,5,1B,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.000,0.000,0.111,25,-1.47,-0.148,1,0.111,1.26
나주환,2019,04-02,롯데,L 0:5,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.100,2,-0.38,-0.045,0,,
나주환,2019,04-04,롯데,W 7:6,7,3B,5,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.143,0.214,0.414,14,-0.86,-0.137,1,0.200,1.26
나주환,2019,04-05,삼성,W 3:0,7,1B,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.167,0.222,0.433,12,0.44,0.043,1,,
나주환,2019,04-06,삼성,W 2:1,7,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.190,0.238,0.465,11,0.25,0.099,1,0.227,1.81
나주환,2019,04-07,삼성,W 3:2,7,DH,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.200,0.280,0.511,12,0.15,0.213,1,,
나주환,2019,04-10,@한화,W 8:3,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.280,0.511,0,0.00,0.000,0,0.231,0.00
나주환,2019,04-11,@한화,W 1:0,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.172,0.241,0.441,14,-0.30,-0.040,1,,
나주환,2019,04-12,KIA,D 4:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.233,0.427,4,-0.51,-0.096,0,0.194,4.30
나주환,2019,04-13,KIA,L 4:6,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.156,0.219,0.401,9,-1.15,-0.076,1,,
나주환,2019,04-16,@두산,L 3:8,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.212,0.389,3,-0.18,-0.002,0,0.176,0.07
나주환,2019,04-17,@두산,L 3:12,8,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.200,0.367,7,-0.44,-0.002,0,,
나주환,2019,04-18,@두산,W 4:3,7,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.128,0.179,0.329,22,-1.62,-0.126,1,0.150,1.31
나주환,2019,04-20,NC,W 10:4,9,2B,4,1,2,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0.163,0.302,0.484,14,1.26,0.059,1,,
나주환,2019,04-21,NC,W 4:1,9,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.149,0.277,0.443,12,-1.39,-0.040,1,0.167,0.39
나주환,2019,04-24,@삼성,W 9:8,7,2B,4,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.176,0.294,0.502,25,0.70,0.093,1,,
나주환,2019,04-25,@삼성,W 4:3,7,2B,5,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.179,0.286,0.493,17,-0.65,-0.044,1,0.207,1.06
나주환,2019,04-26,@KT,W 2:0,7,2B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.175,0.281,0.497,13,0.04,0.008,1,,
나주환,2019,04-28,@KT,W 3:0,2,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.281,0.497,0,0.00,0.000,0,0.217,0.00
나주환,2019,04-30,키움,L 5:15,3,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.276,0.489,1,-0.26,0.000,0,,
나주환,2019,05-01,키움,W 2:0,4,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.276,0.489,0,0.00,0.000,0,0.213,0.00
나주환,2019,05-02,키움,L 8:10,1,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.186,0.288,0.514,4,0.67,0.073,0,,
나주환,2019,05-04,@롯데,W 10:4,3,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.288,0.514,0,0.00,0.000,0,0.226,0.00
나주환,2019,05-05,@롯데,W 4:3,6,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.190,0.286,0.513,14,-0.27,-0.012,1,,
나주환,2019,05-07,한화,W 11:2,7,1B,3,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0.182,0.273,0.512,23,0.54,-0.020,1,0.239,0.26
나주환,2019,05-08,한화,W 17:2,8,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.269,0.505,7,-0.38,0.000,0,,
나주환,2019,05-09,한화,L 1:6,1,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.179,0.269,0.515,4,0.43,0.002,0,0.247,0.06
나주환,2019,05-11,@KIA,W 10:3,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.176,0.265,0.508,5,-0.26,-0.001,0,,
나주환,2019,05-12,@KIA,W 4:3,6,3B,3,0,1,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0.183,0.282,0.538,28,0.12,0.016,1,0.256,1.08
나주환,2019,05-14,@NC,L 2:8,8,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.194,0.292,0.557,6,0.40,0.041,0,,
나주환,2019,05-15,@NC,W 7:3,6,3B,3,1,1,0,0,1,4,2,0,0,1,0,0,1,0,0,0,0.200,0.333,0.610,20,0.73,0.138,1,0.277,0.63
나주환,2019,05-16,@NC,L 2:5,6,1B,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.192,0.321,0.596,18,-0.65,-0.061,1,,
나주환,2019,05-29,KT,L 6:8,7,2B,4,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0.195,0.329,0.604,12,0.16,-0.021,1,0.275,0.79
나주환,2019,05-30,KT,W 3:2,6,2B,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.195,0.333,0.604,14,0.19,0.004,1,,
나주환,2019,05-31,한화,W 2:1,8,2B,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.200,0.333,0.606,5,-0.70,-0.044,1,0.273,0.63
나주환,2019,06-02,한화,W 5:2,7,2B,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.215,0.344,0.635,16,0.94,0.045,1,,
나주환,2019,06-04,@키움,W 2:1,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.208,0.333,0.616,9,-1.43,-0.202,1,0.283,2.83
나주환,2019,06-05,@키움,W 6:2,9,2B,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.214,0.337,0.624,9,0.67,0.020,0,,
나주환,2019,06-06,@키움,L 2:6,6,2B,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.216,0.343,0.629,20,-0.17,-0.023,1,0.286,0.76
나주환,2019,06-07,삼성,W 4:2,7,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0.208,0.330,0.606,21,-1.62,-0.280,1,,
나주환,2019,06-08,삼성,W 8:0,8,2B,4,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.218,0.336,0.620,9,1.33,0.041,1,0.283,0.53
나주환,2019,06-09,삼성,L 0:9,8,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.325,0.599,17,-1.42,-0.036,1,,
나주환,2019,06-11,@KT,W 13:1,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.205,0.316,0.584,10,-1.34,-0.066,1,0.268,0.80
나주환,2019,06-12,@KT,W 6:3,8,2B,3,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.217,0.325,0.602,11,0.27,0.015,1,,
나주환,2019,06-13,@KT,L 1:5,8,2B,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.228,0.333,0.619,12,0.29,0.034,1,0.286,0.80
나주환,2019,06-14,NC,W 7:3,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.224,0.328,0.609,6,-0.58,-0.067,1,,
나주환,2019,06-15,NC,W 4:0,7,2B,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.222,0.325,0.610,11,-0.54,-0.039,1,0.285,1.62
나주환,2019,06-16,NC,W 9:2,7,2B,4,1,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0.238,0.338,0.636,16,2.73,0.127,1,,
나주환,2019,06-18,@KIA,L 2:4,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233,0.331,0.622,12,-0.64,-0.055,1,0.292,0.69
나주환,2019,06-19,@KIA,W 7:1,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.331,0.622,0,0.00,0.000,0,,
나주환,2019,06-20,@KIA,L 5:8,8,2B,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.243,0.338,0.638,8,0.56,0.050,0,0.299,0.42
나주환,2019,06-21,두산,W 14:1,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0.338,0.638,0,0.00,0.000,0,,
나주환,2019,06-22,두산,W 3:0,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.331,0.624,11,-1.23,-0.089,1,0.293,0.98
나주환,2019,06-23,두산,W 3:2,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.232,0.324,0.612,11,-0.84,-0.052,1,,
나주환,2019,06-25,@LG,W 8:3,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.228,0.317,0.599,7,-0.85,-0.054,1,0.282,0.73
나주환,2019,06-26,@LG,W 7:4,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.224,0.313,0.591,8,-1.21,-0.120,1,,
나주환,2019,07-09,@한화,L 0:1,8,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.227,0.313,0.593,11,-0.53,-0.045,1,0.280,1.55
