Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
³ë¼ö±¤,2020,05-05,ÇÑÈ­,L 0:3,1,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9,-0.77,-0.080,1,0.000,1.04
³ë¼ö±¤,2020,05-06,ÇÑÈ­,W 5:2,5,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
³ë¼ö±¤,2020,05-12,@LG,L 5:9,5,PR,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,1,0.89,0.047,0,0.250,0.62
³ë¼ö±¤,2020,05-13,@LG,L 2:14,2,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.143,0.286,0.429,10,-0.82,-0.004,0,,
³ë¼ö±¤,2020,05-15,NC,L 2:6,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.250,0.375,4,-0.83,-0.300,0,0.125,5.86
³ë¼ö±¤,2020,05-16,NC,L 1:2,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.250,0.375,0,0.00,0.000,0,,
³ë¼ö±¤,2020,05-17,NC,L 5:11,6,CF,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.300,0.500,4,-0.56,-0.008,0,0.200,0.12
³ë¼ö±¤,2020,05-20,@Å°¿ò,W 5:3,7,PH,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.583,6,0.38,0.069,0,,
³ë¼ö±¤,2020,05-21,@Å°¿ò,L 8:9,1,CF,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.400,0.733,12,0.41,0.050,1,0.333,0.82
³ë¼ö±¤,2020,05-22,KIA,L 1:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.375,0.688,4,-0.26,-0.063,0,,
³ë¼ö±¤,2020,05-23,KIA,L 3:8,1,CF,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.350,0.450,0.800,14,0.19,0.013,1,0.350,1.16
³ë¼ö±¤,2020,05-24,KIA,W 4:3,1,CF,4,1,2,0,1,0,4,1,0,0,1,0,0,0,0,1,0,0.375,0.542,0.942,21,1.32,0.417,1,,
³ë¼ö±¤,2020,05-26,@µÎ»ê,L 4:6,1,CF,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.345,0.483,0.849,18,-0.02,0.046,1,0.367,1.18
³ë¼ö±¤,2020,05-27,@µÎ»ê,L 2:4,1,CF,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.324,0.441,0.784,20,-0.54,-0.049,1,,
³ë¼ö±¤,2020,05-28,@µÎ»ê,W 6:1,1,CF,5,2,3,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0.359,0.462,0.837,17,0.35,0.057,1,0.375,1.05
³ë¼ö±¤,2020,05-29,ÇÑÈ­,W 8:6,1,CF,4,2,2,0,0,1,5,2,0,0,1,0,0,2,0,0,0,0.372,0.535,0.935,23,2.04,0.108,1,,
³ë¼ö±¤,2020,05-30,ÇÑÈ­,W 9:3,1,CF,3,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0.348,0.500,0.900,23,-1.20,-0.020,1,0.400,1.10
³ë¼ö±¤,2020,05-31,ÇÑÈ­,W 6:4,9,LF,3,2,2,0,1,0,4,1,1,1,1,0,0,0,0,0,0,0.367,0.551,0.977,14,1.23,0.161,1,,
³ë¼ö±¤,2020,06-02,@NC,W 8:2,1,CF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.500,0.890,26,-1.60,-0.065,1,0.390,0.54
³ë¼ö±¤,2020,06-03,@NC,L 6:8,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.491,0.874,6,-0.12,-0.012,0,,
³ë¼ö±¤,2020,06-04,@NC,L 0:10,1,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.322,0.475,0.850,21,-0.44,-0.019,1,0.375,0.71
³ë¼ö±¤,2020,06-05,»ï¼º,W 4:1,1,LF,2,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0.328,0.475,0.872,17,-0.03,-0.007,1,,
³ë¼ö±¤,2020,06-06,»ï¼º,W 6:4,3,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0.468,0.859,4,-0.18,-0.002,0,0.391,0.08
³ë¼ö±¤,2020,06-07,»ï¼º,L 0:3,1,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.303,0.439,0.809,15,-1.10,-0.117,1,,
³ë¼ö±¤,2020,06-09,@LG,W 5:3,1,LF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290,0.420,0.776,10,-0.69,-0.063,1,0.355,0.79
³ë¼ö±¤,2020,06-11,@LG,L 1:3,1,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.274,0.397,0.735,18,-0.88,-0.100,1,,
³ë¼ö±¤,2020,06-13,KIA,L 1:2,9,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.267,0.387,0.716,12,-0.44,-0.059,1,0.329,1.17
³ë¼ö±¤,2020,06-16,KT,L 5:6,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.387,0.716,0,0.00,0.000,0,,
³ë¼ö±¤,2020,06-17,KT,L 4:6,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.387,0.716,0,0.00,0.000,0,0.329,0.00
³ë¼ö±¤,2020,06-18,LG,L 7:9,1,LF,5,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.288,0.400,0.745,19,0.69,0.012,1,,
³ë¼ö±¤,2020,06-19,@NC,L 1:3,1,LF,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.286,0.405,0.745,19,-0.23,0.001,1,0.341,1.19
