Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
³ëÁøÇõ,2017,09-23,LG,L 9:11,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
³ëÁøÇõ,2017,09-27,@»ï¼º,W 11:1,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
³ëÁøÇõ,2017,09-30,³Ø¼¾,W 11:4,7,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,7,-0.44,0.000,0,0.000,0.00
³ëÁøÇõ,2017,10-03,@ÇÑÈ­,D 8:8,7,3B,5,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.286,0.429,0.714,13,-0.71,-0.141,0,,
³ëÁøÇõ,2017,10-05,SK,W 10:5,6,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
³ëÁøÇõ,2017,10-08,@·Ôµ¥,W 9:2,8,SS,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.000,0.000,0.000,7,1.42,0.040,0,,
³ëÁøÇõ,2017,10-11,·Ôµ¥,W 13:6,6,3B,4,4,4,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0.800,2.000,2.800,10,3.04,0.174,0,0.800,0.33
³ëÁøÇõ,2017,10-13,·Ôµ¥,L 1:7,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.444,1.111,1.556,12,-1.08,-0.068,1,,
³ëÁøÇõ,2017,10-15,@·Ôµ¥,W 9:0,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,1.111,1.556,0,0.00,0.000,0,0.444,0.00
³ëÁøÇõ,2017,10-17,@µÎ»ê,W 13:5,7,3B,2,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.500,1.000,1.500,10,1.17,-0.043,0,,
³ëÁøÇõ,2017,10-18,@µÎ»ê,L 7:17,7,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,1.000,1.500,0,0.00,0.000,0,0.500,0.00
³ëÁøÇõ,2017,10-20,µÎ»ê,L 3:14,2,3B,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.167,0.333,0.619,18,-1.67,-0.063,1,,
