Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
러프,2017,03-31,KIA,L 2:7,4,DH,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.250,1.000,1.250,16,0.05,-0.121,1,0.250,1.41
러프,2017,04-01,KIA,L 7:9,4,DH,3,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0.143,0.571,0.905,15,-0.09,0.005,1,,
러프,2017,04-02,KIA,W 16:3,4,1B,4,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.182,0.455,0.812,21,0.18,-0.024,1,0.357,0.30
러프,2017,04-04,@LG,L 0:11,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.133,0.333,0.611,18,-1.72,-0.059,1,,
러프,2017,04-06,@LG,L 0:4,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.105,0.263,0.490,16,-1.05,-0.086,1,0.227,0.88
러프,2017,04-07,@kt,L 2:3,4,DH,3,1,1,0,0,1,4,2,0,0,1,0,0,1,0,0,0,0.136,0.409,0.678,17,1.69,0.153,1,,
러프,2017,04-08,@kt,L 0:1,4,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.120,0.360,0.627,14,-1.94,-0.250,1,0.267,1.96
러프,2017,04-09,@kt,L 0:3,4,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.107,0.321,0.564,17,-0.77,-0.075,1,,
러프,2017,04-11,한화,L 8:11,4,1B,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.091,0.273,0.503,26,-1.60,-0.162,1,0.231,1.32
러프,2017,04-12,한화,L 3:5,7,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.108,0.270,0.503,18,-0.56,-0.048,1,,
러프,2017,04-13,한화,W 5:1,4,1B,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.100,0.250,0.484,13,-0.58,-0.100,1,0.234,2.01
러프,2017,04-14,@롯데,L 6:9,4,1B,4,2,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0.114,0.250,0.500,21,-0.57,-0.142,1,,
러프,2017,04-15,@롯데,L 4:6,7,DH,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.130,0.261,0.547,18,1.09,0.180,1,0.286,1.35
러프,2017,04-16,@롯데,W 3:0,7,1B,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.160,0.280,0.580,12,0.30,0.017,1,,
러프,2017,04-18,@두산,D 3:3,7,1B,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.157,0.275,0.581,10,-0.12,-0.021,1,0.306,0.83
러프,2017,04-19,@두산,L 1:2,7,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.157,0.275,0.592,6,0.62,0.128,0,,
러프,2017,04-20,@두산,L 2:4,4,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.148,0.259,0.573,14,-0.21,-0.069,1,0.313,1.50
러프,2017,04-21,NC,D 4:4,4,1B,6,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.150,0.250,0.551,20,0.32,-0.126,1,,
러프,2017,05-02,두산,W 6:5,4,1B,4,1,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.172,0.313,0.633,19,1.64,0.532,1,0.321,1.14
러프,2017,05-03,두산,L 4:10,4,1B,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.179,0.313,0.643,14,0.52,0.047,1,,
러프,2017,05-04,두산,L 2:17,4,1B,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.197,0.338,0.675,18,0.47,0.026,1,0.337,0.53
러프,2017,05-05,@NC,L 2:7,4,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.333,0.667,17,-0.48,-0.024,1,,
러프,2017,05-06,@NC,W 12:1,4,1B,2,2,2,1,0,0,3,1,0,0,3,0,0,0,0,0,0,0.221,0.364,0.732,27,3.51,0.186,1,0.368,0.75
