Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
·Î¸Æ,2017,05-11,@µÎ»ê,L 0:7,2,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,14,-0.59,-0.021,1,0.000,0.21
·Î¸Æ,2017,05-12,KIA,W 8:2,5,DH,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.250,13,-0.72,-0.128,1,,
·Î¸Æ,2017,05-13,KIA,L 3:5,5,3B,4,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0.167,0.417,0.647,12,2.16,0.129,1,0.231,1.41
·Î¸Æ,2017,05-14,KIA,W 4:3,4,1B,3,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.200,0.400,0.694,30,0.08,0.037,1,,
·Î¸Æ,2017,05-16,»ï¼º,L 2:8,4,3B,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.211,0.526,0.812,17,1.18,0.032,1,0.286,0.46
·Î¸Æ,2017,05-17,»ï¼º,L 2:5,3,3B,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.238,0.524,0.884,16,0.48,0.079,1,,
·Î¸Æ,2017,05-18,»ï¼º,W 4:1,4,1B,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.208,0.458,0.803,22,-1.38,-0.114,1,0.345,1.75
·Î¸Æ,2017,05-19,@NC,W 11:1,4,DH,3,3,2,0,0,1,5,2,0,0,2,0,0,0,0,0,1,0.259,0.593,0.993,26,1.81,0.027,1,,
·Î¸Æ,2017,05-20,@NC,L 0:1,5,DH,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0.241,0.552,0.962,24,0.39,0.101,1,0.410,1.81
·Î¸Æ,2017,05-21,@NC,W 9:4,5,RF,5,0,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0.235,0.500,0.900,20,-0.87,0.000,1,,
·Î¸Æ,2017,05-23,@·Ôµ¥,L 6:7,5,RF,5,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.231,0.487,0.867,20,-1.81,-0.322,1,0.380,2.57
·Î¸Æ,2017,05-24,@·Ôµ¥,L 5:7,5,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.209,0.442,0.794,16,-0.66,-0.084,1,,
·Î¸Æ,2017,05-25,@·Ôµ¥,L 6:17,6,RF,3,3,3,1,0,2,10,3,0,0,1,0,0,0,0,0,0,0.261,0.630,1.027,12,3.90,0.252,1,0.397,0.45
·Î¸Æ,2017,05-26,LG,W 6:1,5,1B,2,1,1,1,0,0,2,0,0,0,2,0,1,1,0,0,0,0.271,0.646,1.065,20,0.63,0.028,1,,
·Î¸Æ,2017,05-27,LG,W 4:3,5,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.250,0.596,0.990,18,-1.28,-0.104,1,0.394,0.86
·Î¸Æ,2017,05-28,LG,W 5:2,5,RF,4,2,2,0,0,2,8,2,0,0,0,0,0,2,0,0,0,0.268,0.696,1.096,18,1.07,0.119,1,,
·Î¸Æ,2017,05-30,@kt,W 8:3,4,1B,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.254,0.661,1.061,20,-0.08,-0.050,1,0.400,0.52
·Î¸Æ,2017,05-31,@kt,W 8:2,4,DH,3,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0.242,0.629,1.029,29,-0.46,0.033,1,,
·Î¸Æ,2017,06-01,@kt,W 10:4,5,RF,4,2,3,1,0,1,7,3,0,1,0,0,0,0,0,0,0,0.273,0.697,1.114,19,2.60,0.175,1,0.417,0.43
·Î¸Æ,2017,06-02,@ÇÑÈ­,L 4:5,5,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.257,0.657,1.055,11,-0.95,-0.100,1,,
·Î¸Æ,2017,06-03,@ÇÑÈ­,W 5:2,5,RF,3,2,2,0,0,2,8,4,0,0,1,0,0,1,0,0,0,0.274,0.740,1.153,16,3.80,0.340,1,0.413,0.71
