Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
로하스,2020,05-05,롯데,L 2:7,5,RF,3,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0.333,0.667,1.167,22,0.86,0.103,1,0.500,0.64
로하스,2020,05-06,롯데,L 4:9,5,RF,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.286,0.571,0.946,20,0.66,0.044,1,,
로하스,2020,05-07,롯데,L 3:7,5,RF,4,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.455,0.727,1.227,10,1.97,0.167,1,0.500,1.09
로하스,2020,05-08,@두산,W 12:3,5,DH,5,2,4,1,0,1,8,2,0,0,1,0,0,1,0,0,0,0.563,1.000,1.611,25,3.16,0.225,1,,
로하스,2020,05-10,@두산,L 12:13,5,RF,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.455,0.773,1.273,18,-0.78,-0.165,1,0.500,1.21
로하스,2020,05-12,@NC,L 6:7,5,DH,5,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0.444,0.704,1.186,14,-0.07,0.003,1,,
로하스,2020,05-13,@NC,L 4:5,5,RF,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.452,0.677,1.162,12,0.31,0.027,1,0.485,1.61
로하스,2020,05-14,@NC,L 0:1,3,RF,4,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.457,0.657,1.144,11,-0.16,0.038,1,,
로하스,2020,05-15,삼성,W 14:6,5,RF,4,2,2,1,0,1,6,1,0,0,1,0,1,1,0,0,0,0.462,0.744,1.244,14,1.18,0.143,1,0.500,0.85
로하스,2020,05-16,삼성,W 10:4,5,RF,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.465,0.721,1.221,10,0.88,0.088,1,,
로하스,2020,05-17,삼성,W 9:2,5,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.426,0.660,1.120,18,-1.51,-0.060,1,0.460,0.61
로하스,2020,05-19,한화,W 13:11,5,RF,3,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.420,0.640,1.103,18,1.07,0.020,1,,
로하스,2020,05-20,한화,W 8:1,5,RF,5,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0.436,0.655,1.129,26,0.66,-0.002,1,0.475,0.27
로하스,2020,05-21,한화,L 4:9,5,DH,2,0,2,1,0,0,3,1,0,0,1,1,0,0,0,0,1,0.456,0.684,1.184,15,1.38,0.097,1,,
로하스,2020,05-22,@LG,L 5:6,4,RF,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.452,0.661,1.154,18,-0.03,0.043,1,0.493,0.77
로하스,2020,05-23,@LG,W 6:2,4,RF,4,2,2,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0.455,0.742,1.236,14,2.50,0.165,1,,
로하스,2020,05-24,@LG,L 7:9,4,RF,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.423,0.690,1.152,17,-2.26,-0.192,1,0.462,1.37
로하스,2020,05-26,KIA,L 1:4,4,RF,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.427,0.680,1.143,18,1.66,0.062,1,,
로하스,2020,05-27,KIA,W 5:0,4,RF,3,2,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0.423,0.679,1.145,14,1.01,0.083,1,0.465,0.72
로하스,2020,05-28,KIA,W 6:5,4,DH,4,1,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0.415,0.659,1.114,16,0.37,0.075,1,,
로하스,2020,05-29,@키움,L 1:5,4,RF,3,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.412,0.647,1.105,19,0.16,0.053,1,0.457,1.44
로하스,2020,05-30,@키움,L 3:14,4,RF,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.409,0.636,1.090,16,0.02,-0.005,1,,
로하스,2020,05-31,@키움,W 12:8,4,RF,5,3,2,0,0,2,8,5,0,0,1,0,0,1,0,0,0,0.409,0.688,1.144,22,3.79,0.309,1,0.456,0.62
로하스,2020,06-02,두산,L 8:11,4,RF,5,1,2,1,0,1,6,3,0,0,0,0,0,0,0,0,0,0.408,0.714,1.168,14,1.64,0.081,1,,
로하스,2020,06-03,두산,W 7:2,4,RF,5,1,3,0,0,1,6,3,0,0,0,0,0,1,0,0,0,0.417,0.738,1.198,17,1.86,0.149,1,0.460,0.45
로하스,2020,06-04,두산,L 8:14,4,RF,2,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.419,0.743,1.204,11,0.91,0.106,1,,
로하스,2020,06-05,@롯데,L 4:6,4,RF,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.413,0.752,1.206,17,0.83,0.057,1,0.454,1.34
로하스,2020,06-06,@롯데,L 0:1,4,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398,0.726,1.165,12,-0.90,-0.129,1,,
로하스,2020,06-07,@롯데,L 2:5,4,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.385,0.701,1.126,17,-1.59,-0.191,1,0.425,1.96
로하스,2020,06-09,KIA,L 2:3,5,RF,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.380,0.686,1.106,14,-0.27,-0.044,1,,
로하스,2020,06-10,KIA,L 0:10,5,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.374,0.675,1.088,6,-0.65,-0.006,1,0.414,0.12
로하스,2020,06-11,KIA,W 13:8,5,RF,5,2,4,0,0,1,7,3,0,0,0,0,0,1,0,0,0,0.391,0.703,1.131,13,3.93,0.146,1,,
로하스,2020,06-13,@삼성,L 3:5,5,RF,4,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.386,0.712,1.135,26,0.45,0.001,1,0.423,0.79
로하스,2020,06-13,@삼성,W 7:4,5,RF,5,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.387,0.723,1.144,19,1.75,0.136,1,,
로하스,2020,06-14,@삼성,L 0:12,4,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.383,0.709,1.126,16,-0.97,-0.044,1,0.417,0.71
로하스,2020,06-16,@SK,W 6:5,5,RF,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.379,0.703,1.120,19,0.60,0.099,1,,
로하스,2020,06-17,@SK,W 6:4,5,RF,4,2,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0.376,0.698,1.114,23,0.51,0.169,1,0.416,1.77
로하스,2020,06-18,@SK,W 5:3,5,DH,5,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.377,0.695,1.110,23,0.70,0.064,1,,
로하스,2020,06-19,롯데,W 9:8,3,RF,5,2,3,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.384,0.711,1.132,17,1.44,0.099,1,0.421,0.99
로하스,2020,06-20,롯데,L 0:8,3,RF,3,0,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.389,0.716,1.145,18,1.11,0.079,1,,
로하스,2020,06-21,롯데,W 3:2,3,RF,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382,0.703,1.124,9,-0.76,-0.052,1,0.421,0.71
로하스,2020,06-23,NC,L 3:4,3,RF,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.385,0.716,1.139,10,0.40,-0.043,1,,
로하스,2020,06-25,NC,W 19:6,3,RF,6,2,3,0,0,1,6,3,0,0,0,0,0,1,0,0,0,0.384,0.718,1.145,19,2.81,0.156,1,,
로하스,2020,06-25,NC,L 1:3,3,RF,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0.380,0.708,1.132,18,-0.83,-0.082,1,0.425,1.57
로하스,2020,06-26,@한화,L 4:7,3,RF,3,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.383,0.728,1.156,27,0.44,0.100,1,0.429,0.69
로하스,2020,06-27,@한화,W 7:2,3,DH,5,1,1,0,0,1,4,1,0,0,0,0,0,3,0,0,0,0.378,0.730,1.153,24,-0.20,-0.075,1,,
로하스,2020,06-28,@한화,W 8:4,3,RF,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.370,0.714,1.132,16,-0.97,-0.068,1,0.417,0.67
로하스,2020,06-30,@LG,L 3:4,3,RF,5,1,3,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0.376,0.716,1.141,26,1.10,0.118,1,,
로하스,2020,07-01,@LG,W 11:5,3,RF,5,2,3,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0.382,0.719,1.147,18,1.43,0.075,1,0.429,0.45
로하스,2020,07-02,@LG,W 4:3,3,RF,4,2,2,1,0,1,6,1,0,0,1,0,0,1,1,0,0,0.384,0.734,1.166,13,1.32,0.174,1,,
로하스,2020,07-03,키움,W 3:2,3,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.377,0.720,1.145,17,-1.68,-0.243,1,0.425,1.81
로하스,2020,07-04,키움,L 6:10,3,RF,4,1,1,0,0,1,4,2,0,0,1,0,0,1,0,0,0,0.374,0.725,1.149,27,0.20,0.056,1,,
로하스,2020,07-05,키움,W 10:5,3,RF,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.374,0.720,1.145,17,0.74,0.022,1,0.426,0.34
로하스,2020,07-07,@KIA,W 8:2,3,RF,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.370,0.708,1.129,20,1.09,0.125,1,,
로하스,2020,07-08,@KIA,W 7:4,3,RF,3,0,2,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0.374,0.707,1.133,20,2.03,0.197,1,0.426,0.81
로하스,2020,07-09,@KIA,L 4:10,3,RF,5,2,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.374,0.705,1.131,20,-0.45,-0.015,1,,
로하스,2020,07-10,삼성,W 8:3,3,RF,4,1,2,0,0,1,5,1,0,0,0,0,0,2,0,0,0,0.377,0.714,1.141,18,0.78,0.024,1,0.427,0.47
로하스,2020,07-11,삼성,W 10:7,3,RF,4,3,3,0,0,1,6,1,0,0,1,0,0,1,0,0,0,0.383,0.728,1.162,30,2.28,0.208,1,,
로하스,2020,07-14,한화,W 7:2,3,RF,3,1,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0.382,0.727,1.162,15,1.49,0.131,1,0.435,0.47
로하스,2020,07-15,한화,L 3:7,3,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.380,0.719,1.151,16,-0.81,-0.013,1,,
로하스,2020,07-16,한화,W 4:1,3,RF,3,1,2,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0.384,0.727,1.164,16,1.19,0.087,1,0.437,0.57
로하스,2020,07-17,@NC,D 3:3,3,RF,5,0,3,1,0,0,4,2,0,0,0,0,0,2,0,0,0,0.388,0.728,1.168,19,2.24,0.245,1,,
로하스,2020,07-18,@NC,L 1:6,3,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.383,0.719,1.155,9,-0.75,-0.051,1,0.435,0.68
로하스,2020,07-19,@NC,L 2:8,3,RF,3,1,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.387,0.730,1.170,23,2.02,0.081,1,,
로하스,2020,07-21,LG,W 10:9,3,RF,5,2,4,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0.395,0.755,1.201,24,2.83,0.658,1,0.446,1.13
로하스,2020,07-24,NC,L 2:3,3,RF,4,0,1,1,0,0,2,0,0,0,1,0,0,3,0,0,0,0.392,0.751,1.196,19,0.31,0.007,1,,
로하스,2020,07-25,NC,W 6:2,3,RF,2,2,1,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0.393,0.753,1.202,20,0.69,0.020,1,0.449,1.28
로하스,2020,07-26,NC,W 5:4,3,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.389,0.744,1.191,20,-0.11,-0.069,1,,
