Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¸ðÃ¢¹Î,2020,05-05,@»ï¼º,W 4:0,6,1B,4,1,3,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0.750,1.750,2.500,14,2.22,0.159,1,0.750,0.54
¸ðÃ¢¹Î,2020,05-06,@»ï¼º,W 4:3,6,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.875,1.250,13,-1.41,-0.083,1,,
¸ðÃ¢¹Î,2020,05-07,@»ï¼º,W 8:2,5,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.636,0.909,9,-0.90,-0.039,1,0.273,0.51
¸ðÃ¢¹Î,2020,05-08,LG,W 13:5,5,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.636,0.909,0,0.00,0.000,1,,
¸ðÃ¢¹Î,2020,06-10,µÎ»ê,L 1:9,1,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.667,1.000,2,0.40,0.004,0,0.333,0.08
¸ðÃ¢¹Î,2020,06-13,Å°¿ò,L 5:18,5,1B,5,0,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0.353,0.588,0.941,14,-0.39,0.020,1,,
¸ðÃ¢¹Î,2020,06-14,Å°¿ò,W 9:5,3,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.389,0.611,1.000,4,0.40,0.001,0,0.389,0.02
¸ðÃ¢¹Î,2020,06-16,@KIA,L 4:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.368,0.579,0.947,3,-0.26,-0.019,0,,
¸ðÃ¢¹Î,2020,06-17,@KIA,L 6:7,6,DH,3,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.364,0.591,0.982,15,0.71,0.069,1,0.391,1.04
¸ðÃ¢¹Î,2020,06-20,ÇÑÈ­,L 3:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.565,0.940,5,0.68,0.090,0,,
