Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹Îº´Çå,2017,03-31,ÇÑÈ­,W 3:0,1,RF,3,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0.333,0.333,0.583,18,-0.44,-0.050,1,0.250,0.88
¹Îº´Çå,2017,04-01,ÇÑÈ­,L 5:6,1,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.143,0.143,0.268,22,-1.30,-0.146,1,,
¹Îº´Çå,2017,04-02,ÇÑÈ­,W 5:4,1,RF,6,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.231,0.231,0.445,24,0.35,0.186,1,0.214,1.81
¹Îº´Çå,2017,04-04,@kt,W 2:0,1,RF,5,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.278,0.333,0.596,11,0.73,0.081,1,,
¹Îº´Çå,2017,04-06,@kt,L 1:5,1,RF,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.318,0.364,0.668,12,-0.02,0.027,1,0.304,0.95
¹Îº´Çå,2017,04-07,³Ø¼¾,L 3:7,3,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.269,0.308,0.567,14,-1.28,-0.069,1,,
¹Îº´Çå,2017,04-08,³Ø¼¾,L 10:13,1,RF,5,2,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.290,0.355,0.658,18,1.15,0.106,1,0.303,1.21
¹Îº´Çå,2017,04-09,³Ø¼¾,L 2:13,1,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.265,0.324,0.601,11,-0.75,-0.024,1,,
¹Îº´Çå,2017,04-11,KIA,W 16:4,1,RF,4,1,4,1,0,0,5,3,0,0,1,0,0,0,0,0,0,0.342,0.421,0.787,22,3.59,0.193,1,0.366,0.59
¹Îº´Çå,2017,04-12,KIA,L 4:8,1,RF,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.302,0.372,0.698,22,-1.70,-0.139,1,,
