Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
박건우,2020,05-05,@LG,L 2:8,1,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.250,20,-0.08,-0.019,1,0.250,0.76
박건우,2020,05-06,@LG,W 5:2,1,RF,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.347,15,-0.19,0.024,1,,
박건우,2020,05-07,@LG,W 9:3,1,RF,5,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.154,0.385,0.599,18,0.93,0.163,1,0.214,0.74
박건우,2020,05-08,KT,L 3:12,1,RF,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.118,0.294,0.505,20,-0.59,-0.047,1,,
박건우,2020,05-10,KT,W 13:12,1,RF,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.158,0.316,0.554,4,0.36,0.041,1,0.238,1.23
박건우,2020,05-12,@롯데,W 11:6,1,RF,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.217,0.391,0.671,15,0.07,-0.013,1,,
박건우,2020,05-13,@롯데,L 9:10,1,RF,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.214,0.357,0.624,16,-0.89,-0.083,1,0.267,0.82
박건우,2020,05-14,@롯데,W 7:4,1,RF,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.219,0.375,0.640,15,-0.72,-0.056,1,,
박건우,2020,05-15,@KIA,W 13:4,1,RF,4,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.222,0.361,0.643,18,0.10,0.114,1,0.282,1.19
박건우,2020,05-16,@KIA,L 4:13,1,RF,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.243,0.405,0.722,6,0.91,0.079,1,,
박건우,2020,05-17,@KIA,W 6:4,1,RF,4,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.244,0.390,0.701,18,-0.75,-0.034,1,0.311,0.95
박건우,2020,05-19,NC,L 4:5,1,RF,5,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.239,0.370,0.683,25,-0.51,-0.070,1,,
박건우,2020,05-20,NC,W 2:1,1,RF,4,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.220,0.340,0.644,14,-0.71,-0.118,1,0.304,1.64
박건우,2020,05-21,NC,L 6:12,1,RF,3,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.226,0.340,0.667,25,1.31,0.032,1,,
박건우,2020,05-22,@삼성,W 12:7,1,RF,3,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0.214,0.321,0.655,23,-0.78,0.045,1,0.333,1.01
박건우,2020,05-23,@삼성,W 10:6,1,RF,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.213,0.328,0.652,20,-0.40,-0.063,1,,
