Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
박경수,2019,03-23,@SK,L 4:7,2,2B,4,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.250,0.250,0.650,15,-0.43,-0.079,1,0.400,1.42
박경수,2019,03-24,@SK,L 3:6,2,2B,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.143,0.143,0.476,16,-0.55,-0.046,1,,
박경수,2019,03-26,@NC,L 8:9,5,2B,5,1,3,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0.333,0.333,0.800,26,1.88,0.392,1,0.467,1.65
박경수,2019,03-27,@NC,L 1:4,5,2B,4,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0.313,0.375,0.796,15,-0.67,-0.015,1,,
박경수,2019,03-28,@NC,L 2:6,5,2B,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.286,0.333,0.708,22,-1.45,-0.108,1,0.375,1.72
박경수,2019,03-29,KIA,W 6:3,1,2B,4,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1,0,0.320,0.480,0.873,13,0.53,0.107,1,,
박경수,2019,03-30,KIA,W 6:2,1,2B,3,1,2,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0.357,0.500,0.955,26,1.81,0.134,1,0.455,1.04
박경수,2019,03-31,KIA,L 2:4,1,2B,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.367,0.500,0.957,8,-0.12,-0.007,1,,
박경수,2019,04-02,@두산,L 0:9,1,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.364,0.485,0.932,15,-0.95,-0.085,1,0.447,0.85
박경수,2019,04-03,@두산,L 1:5,1,2B,5,0,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0.368,0.474,0.916,15,-1.08,-0.037,1,,
박경수,2019,04-04,@두산,L 4:5,6,2B,3,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0.366,0.463,0.910,16,0.35,0.028,1,0.447,1.11
박경수,2019,04-06,LG,W 2:1,2,2B,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.341,0.432,0.863,17,-0.36,-0.005,1,,
박경수,2019,04-07,LG,W 4:3,2,2B,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.333,0.479,0.897,18,0.33,0.160,1,0.418,1.76
박경수,2019,04-09,@키움,L 3:7,2,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.327,0.462,0.868,20,-0.85,-0.061,1,,
박경수,2019,04-10,@키움,L 2:4,2,2B,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.298,0.421,0.796,20,-1.83,-0.178,1,0.375,1.43
박경수,2019,04-11,@키움,W 8:1,6,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.295,0.410,0.777,15,-0.94,-0.024,1,,
박경수,2019,04-12,@삼성,L 0:5,6,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.281,0.391,0.743,8,-0.75,-0.086,1,0.352,1.29
박경수,2019,04-13,@삼성,W 5:3,6,2B,3,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0.284,0.433,0.793,21,0.20,0.085,1,,
박경수,2019,04-14,@삼성,L 12:14,6,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.271,0.414,0.760,13,-0.41,-0.039,1,0.346,0.52
박경수,2019,04-16,한화,W 4:2,6,2B,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.264,0.403,0.748,16,0.02,0.008,1,,
박경수,2019,04-17,한화,L 5:8,6,2B,4,0,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.263,0.408,0.749,20,0.19,0.072,1,0.341,1.72
박경수,2019,04-18,한화,W 6:5,6,2B,3,2,2,1,0,1,6,1,0,0,1,0,0,1,0,0,0,0.278,0.468,0.828,16,1.92,0.354,1,,
박경수,2019,04-19,@롯데,W 6:5,6,2B,3,0,1,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0.280,0.463,0.829,20,0.41,0.124,1,0.366,1.40
박경수,2019,04-20,@롯데,L 4:5,6,2B,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.267,0.442,0.799,18,-0.99,-0.091,1,,
박경수,2019,04-21,@롯데,W 6:3,6,2B,4,1,2,1,0,1,6,2,0,0,1,0,0,0,0,0,0,0.278,0.489,0.858,16,1.91,0.185,1,0.369,1.11
박경수,2019,04-23,NC,L 3:4,6,2B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.280,0.484,0.858,18,0.32,0.038,1,,
박경수,2019,04-24,NC,L 2:10,6,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.479,0.849,5,-0.26,-0.025,1,0.370,0.99
박경수,2019,04-26,SK,L 0:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.274,0.474,0.841,4,-0.26,-0.043,0,,
박경수,2019,04-27,SK,L 1:2,5,2B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.465,0.827,18,-1.06,-0.157,1,0.363,1.78
박경수,2019,04-28,SK,L 0:3,6,2B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.275,0.461,0.823,14,-0.13,-0.034,1,,
박경수,2019,04-30,@LG,L 9:10,6,2B,5,1,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.280,0.486,0.855,27,0.62,-0.022,1,0.369,1.32
박경수,2019,05-01,@LG,L 2:3,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.278,0.481,0.847,2,-0.57,-0.171,0,,
