Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
박계범,2020,05-14,@키움,W 8:5,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
박계범,2020,05-15,@KT,L 6:14,6,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
박계범,2020,05-16,@KT,L 4:10,6,3B,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.250,18,-0.36,-0.004,1,0.250,0.26
박계범,2020,05-17,@KT,L 2:9,5,3B,4,0,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0.286,0.286,0.661,14,-0.45,0.036,1,,
박계범,2020,05-19,LG,L 6:10,7,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.473,18,-0.56,-0.009,1,0.273,0.11
박계범,2020,05-20,LG,W 3:1,4,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.473,0,0.00,0.000,0,,
박계범,2020,05-23,두산,L 6:10,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.432,6,-0.46,-0.023,0,0.250,0.92
박계범,2020,05-24,두산,W 13:0,1,PH,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.250,0.333,0.641,3,1.05,0.000,0,,
박계범,2020,05-26,@롯데,L 0:1,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.641,0,0.00,0.000,0,0.308,0.00
박계범,2020,05-27,@롯데,W 11:1,2,SS,5,3,3,1,0,1,7,2,0,0,1,0,0,1,0,0,0,0.353,0.647,1.068,27,1.73,0.045,1,,
박계범,2020,05-28,@롯데,W 3:1,2,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.286,0.524,0.872,21,-1.01,-0.068,1,0.348,0.71
박계범,2020,05-29,NC,W 5:4,8,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.318,0.545,0.920,2,0.68,0.121,0,,
박계범,2020,05-30,NC,W 9:1,3,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.348,0.565,0.965,5,0.86,0.001,0,0.400,0.01
박계범,2020,05-31,NC,L 7:18,2,3B,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.296,0.481,0.848,22,0.07,-0.023,1,,
박계범,2020,06-13,KT,L 4:7,5,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.267,0.433,0.767,13,-1.00,-0.100,1,0.333,1.05
