Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
박병호,2019,03-23,@롯데,W 7:4,3,1B,5,2,3,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0.600,1.200,1.800,16,1.48,0.076,1,0.600,1.18
박병호,2019,03-24,@롯데,L 2:6,3,1B,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.556,1.000,1.556,12,0.54,0.104,1,,
박병호,2019,03-26,@두산,L 2:7,3,1B,4,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.462,0.846,1.346,24,-0.85,-0.053,1,0.500,1.45
박병호,2019,03-27,@두산,L 2:3,3,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.353,0.647,1.036,16,-0.96,-0.114,1,,
박병호,2019,03-28,@두산,W 5:4,3,1B,3,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.350,0.600,1.035,14,0.73,0.110,1,0.435,1.60
박병호,2019,03-29,SK,L 2:5,3,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.292,0.500,0.870,15,-1.15,-0.099,1,,
박병호,2019,03-30,SK,W 3:1,4,1B,4,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0.286,0.464,0.819,15,0.21,0.022,1,0.355,1.03
박병호,2019,03-31,SK,L 7:8,4,1B,4,2,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0.281,0.531,0.892,19,0.78,0.024,1,,
박병호,2019,04-02,@NC,W 8:6,7,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.303,0.545,0.924,4,1.27,0.248,0,0.378,3.79
박병호,2019,04-04,@NC,W 6:5,3,1B,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.270,0.486,0.844,26,0.45,0.088,1,,
박병호,2019,04-05,@KIA,L 4:6,3,1B,3,1,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0.300,0.525,0.929,18,1.47,0.164,1,0.404,1.01
