Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹Ú¼¼Çõ,2020,05-05,@LG,L 2:8,7,C,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.833,19,0.16,0.061,1,0.500,0.67
¹Ú¼¼Çõ,2020,05-06,@LG,W 5:2,7,C,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.286,0.286,0.661,13,-0.78,-0.074,1,,
¹Ú¼¼Çõ,2020,05-07,@LG,W 9:3,7,C,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.300,0.300,0.633,11,-1.48,-0.023,1,0.333,0.80
¹Ú¼¼Çõ,2020,05-08,KT,L 3:12,7,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.231,0.497,8,-1.24,-0.059,1,,
¹Ú¼¼Çõ,2020,05-10,KT,W 13:12,7,C,4,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.294,0.294,0.675,23,0.21,-0.019,1,0.381,0.71
¹Ú¼¼Çõ,2020,05-12,@·Ôµ¥,W 11:6,7,C,4,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.333,0.333,0.733,14,-0.22,0.021,1,,
¹Ú¼¼Çõ,2020,05-13,@·Ôµ¥,L 9:10,7,C,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.292,0.292,0.671,24,-0.26,-0.018,1,0.379,1.18
¹Ú¼¼Çõ,2020,05-15,@KIA,W 13:4,7,C,4,2,3,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0.357,0.357,0.798,22,2.70,0.176,1,,
¹Ú¼¼Çõ,2020,05-16,@KIA,L 4:13,8,C,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.367,0.367,0.811,7,0.74,-0.001,0,0.444,0.03
¹Ú¼¼Çõ,2020,05-19,NC,L 4:5,7,C,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.353,0.353,0.792,19,-0.65,-0.108,1,,
¹Ú¼¼Çõ,2020,05-20,NC,W 2:1,2,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.371,0.371,0.824,1,1.00,0.292,0,0.452,4.30
¹Ú¼¼Çõ,2020,05-21,NC,L 6:12,7,C,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.359,0.359,0.794,13,-0.67,-0.032,1,,
¹Ú¼¼Çõ,2020,05-22,@»ï¼º,W 12:7,7,C,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0.341,0.341,0.792,30,1.50,0.072,1,0.451,0.57
¹Ú¼¼Çõ,2020,05-24,@»ï¼º,L 0:13,9,C,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.349,0.349,0.802,3,-0.12,0.002,0,,
¹Ú¼¼Çõ,2020,05-26,SK,W 6:4,9,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.349,0.349,0.812,6,0.37,0.027,0,0.463,3.50
¹Ú¼¼Çõ,2020,05-27,SK,W 4:2,7,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319,0.319,0.750,16,-1.02,-0.077,1,,
¹Ú¼¼Çõ,2020,05-28,SK,L 1:6,7,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.313,0.313,0.746,7,-0.14,-0.012,1,0.433,1.11
¹Ú¼¼Çõ,2020,05-29,·Ôµ¥,W 4:2,6,C,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.294,0.294,0.707,9,-0.74,-0.063,1,,
¹Ú¼¼Çõ,2020,05-30,·Ôµ¥,W 5:4,7,C,5,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.286,0.286,0.683,17,-1.15,0.062,1,0.397,2.15
¹Ú¼¼Çõ,2020,05-31,·Ôµ¥,L 3:8,9,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.276,0.662,6,-0.51,-0.059,0,,
¹Ú¼¼Çõ,2020,06-02,@KT,W 11:8,8,C,4,2,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.306,0.306,0.712,15,1.70,0.061,1,0.405,0.32
¹Ú¼¼Çõ,2020,06-03,@KT,L 2:7,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0.297,0.692,7,-0.52,-0.048,1,,
¹Ú¼¼Çõ,2020,06-04,@KT,W 14:8,8,C,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.279,0.279,0.654,14,-1.65,-0.018,1,0.375,0.15
¹Ú¼¼Çõ,2020,06-05,KIA,W 5:1,8,C,3,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.282,0.296,0.669,11,1.30,0.105,1,,
¹Ú¼¼Çõ,2020,06-06,KIA,W 4:3,6,C,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.280,0.307,0.674,12,0.26,0.058,1,0.368,1.98
¹Ú¼¼Çõ,2020,06-07,KIA,W 3:2,6,C,4,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.304,0.342,0.726,12,1.52,0.243,1,,
