Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹Ú½Â±Ô,2020,05-10,KIA,L 3:12,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
¹Ú½Â±Ô,2020,05-15,@KT,L 6:14,2,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,4,0.40,0.000,0,,
¹Ú½Â±Ô,2020,05-16,@KT,L 4:10,9,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,3,-0.12,-0.003,1,0.500,0.13
¹Ú½Â±Ô,2020,05-17,@KT,L 2:9,9,RF,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.800,7,0.59,0.051,1,,
¹Ú½Â±Ô,2020,05-19,LG,L 6:10,7,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.800,0,0.00,0.000,0,0.400,0.00
¹Ú½Â±Ô,2020,05-23,µÎ»ê,L 6:10,3,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,4,-0.38,-0.015,0,,
¹Ú½Â±Ô,2020,05-24,µÎ»ê,W 13:0,5,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.429,0.429,0.857,5,0.85,0.000,0,0.429,0.00
¹Ú½Â±Ô,2020,05-27,@·Ôµ¥,W 11:1,9,CF,5,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,17,-1.12,0.028,1,,
¹Ú½Â±Ô,2020,05-28,@·Ôµ¥,W 3:1,9,CF,4,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0.375,0.438,0.813,11,0.18,0.014,1,0.375,0.52
¹Ú½Â±Ô,2020,05-29,NC,W 5:4,9,CF,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.350,0.400,0.750,17,-0.33,0.192,1,,
¹Ú½Â±Ô,2020,05-30,NC,W 9:1,9,CF,3,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.348,0.435,0.810,18,0.44,-0.041,1,0.375,0.55
¹Ú½Â±Ô,2020,05-31,NC,L 7:18,9,CF,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.370,0.444,0.837,13,0.11,-0.013,1,,
¹Ú½Â±Ô,2020,06-02,@LG,W 2:0,7,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370,0.444,0.837,0,0.00,0.000,0,0.393,0.00
¹Ú½Â±Ô,2020,06-03,@LG,W 12:6,9,CF,4,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0.387,0.452,0.858,8,-0.41,0.014,1,,
¹Ú½Â±Ô,2020,06-04,@LG,L 0:11,9,CF,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.382,0.471,0.871,9,-0.08,0.029,1,0.400,0.56
¹Ú½Â±Ô,2020,06-05,@SK,L 1:4,7,RF,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.378,0.459,0.854,8,-0.45,-0.067,1,,
¹Ú½Â±Ô,2020,06-06,@SK,L 4:6,9,RF,3,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.375,0.450,0.855,18,0.28,-0.037,1,0.405,0.91
¹Ú½Â±Ô,2020,06-07,@SK,W 3:0,7,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.341,0.409,0.779,15,-0.98,-0.045,1,,
¹Ú½Â±Ô,2020,06-09,Å°¿ò,L 3:5,7,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.409,0.779,0,0.00,0.000,0,0.370,0.00
¹Ú½Â±Ô,2020,06-10,Å°¿ò,W 4:1,2,RF,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.333,0.458,0.818,14,-0.22,0.029,1,,
¹Ú½Â±Ô,2020,06-11,Å°¿ò,W 6:3,2,RF,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.308,0.423,0.756,16,-0.11,0.001,1,0.333,0.60
¹Ú½Â±Ô,2020,06-13,KT,W 5:3,7,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.296,0.407,0.729,11,-0.74,-0.064,1,,
¹Ú½Â±Ô,2020,06-13,KT,L 4:7,7,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.386,0.691,15,-0.70,-0.075,1,0.305,1.03
¹Ú½Â±Ô,2020,06-14,KT,W 12:0,2,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.379,0.679,3,-0.25,0.000,0,,
¹Ú½Â±Ô,2020,06-16,@µÎ»ê,W 4:3,7,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.367,0.657,7,-0.97,-0.089,1,0.290,1.73
¹Ú½Â±Ô,2020,06-17,@µÎ»ê,W 6:3,7,RF,3,2,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0.286,0.397,0.715,16,1.79,0.191,1,,
¹Ú½Â±Ô,2020,06-18,@µÎ»ê,L 3:7,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.391,0.704,6,-0.12,-0.001,0,0.313,0.04
¹Ú½Â±Ô,2020,06-20,@KIA,L 3:6,7,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.368,0.663,19,-1.01,-0.067,1,,
¹Ú½Â±Ô,2020,06-21,@KIA,W 12:5,2,CF,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.264,0.361,0.654,14,-0.22,-0.027,1,0.293,0.57
¹Ú½Â±Ô,2020,06-23,ÇÑÈ­,W 11:4,7,CF,4,2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.263,0.355,0.655,19,0.03,0.083,1,,
¹Ú½Â±Ô,2020,06-24,ÇÑÈ­,W 3:2,8,PR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.263,0.355,0.655,0,-0.25,-0.042,0,0.300,1.49
¹Ú½Â±Ô,2020,06-25,ÇÑÈ­,L 2:9,7,RF,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.253,0.342,0.639,13,0.03,0.029,1,,
¹Ú½Â±Ô,2020,06-26,@·Ôµ¥,W 6:4,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0.342,0.639,0,0.00,0.000,0,0.298,0.00
¹Ú½Â±Ô,2020,06-27,@·Ôµ¥,W 6:1,7,PR,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.253,0.342,0.639,0,0.15,0.002,0,,
¹Ú½Â±Ô,2020,06-28,@·Ôµ¥,L 3:7,5,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.338,0.632,5,-0.12,-0.001,0,0.294,0.04
¹Ú½Â±Ô,2020,06-30,SK,W 4:1,8,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.244,0.329,0.617,12,-0.73,-0.052,1,,
¹Ú½Â±Ô,2020,07-01,SK,W 7:1,2,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.241,0.325,0.609,6,-0.12,0.000,0,0.284,0.02
¹Ú½Â±Ô,2020,07-02,SK,W 6:2,7,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.321,0.602,2,-0.25,-0.003,0,,
¹Ú½Â±Ô,2020,07-03,LG,W 9:7,7,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.321,0.602,0,0.00,0.000,0,0.281,0.00
¹Ú½Â±Ô,2020,07-04,LG,W 7:6,7,PR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233,0.314,0.589,6,-0.36,-0.049,0,,
¹Ú½Â±Ô,2020,07-05,LG,L 3:7,6,LF,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.241,0.333,0.616,3,1.00,0.025,0,0.283,0.40
¹Ú½Â±Ô,2020,07-07,@Å°¿ò,W 13:2,9,RF,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.242,0.330,0.618,19,0.15,-0.051,1,,
¹Ú½Â±Ô,2020,07-09,@Å°¿ò,L 2:4,8,RF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.242,0.326,0.613,15,-0.54,-0.069,1,0.287,1.14
¹Ú½Â±Ô,2020,07-10,@KT,L 3:8,9,CF,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.627,4,0.67,0.002,0,,
¹Ú½Â±Ô,2020,07-11,@KT,L 7:10,7,RF,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.245,0.327,0.622,5,-0.20,-0.019,1,0.295,0.76
¹Ú½Â±Ô,2020,07-14,KIA,W 5:0,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.327,0.622,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,07-16,KIA,W 8:7,7,RF,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.255,0.343,0.646,15,0.45,0.004,1,0.303,1.12
¹Ú½Â±Ô,2020,07-17,·Ôµ¥,W 15:10,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.340,0.640,2,-0.34,0.000,0,,
¹Ú½Â±Ô,2020,07-18,·Ôµ¥,W 5:2,9,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0.333,0.628,11,-0.44,-0.030,0,0.295,0.45
¹Ú½Â±Ô,2020,07-19,·Ôµ¥,L 1:2,9,RF,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.259,0.343,0.647,12,0.03,0.060,1,,
¹Ú½Â±Ô,2020,07-21,@NC,L 5:6,7,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.255,0.336,0.636,5,-1.09,-0.118,1,0.299,1.41
¹Ú½Â±Ô,2020,07-29,ÇÑÈ­,L 7:12,2,RF,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.257,0.345,0.645,14,0.58,0.077,1,,
¹Ú½Â±Ô,2020,07-30,ÇÑÈ­,W 2:1,8,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.257,0.345,0.651,8,0.17,0.060,0,0.306,3.06
¹Ú½Â±Ô,2020,07-31,Å°¿ò,L 3:10,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.342,0.645,3,-0.12,-0.008,0,,
¹Ú½Â±Ô,2020,08-01,Å°¿ò,L 7:22,9,RF,4,0,1,1,0,0,2,3,0,0,0,0,0,2,0,0,0,0.254,0.347,0.649,19,1.90,0.251,1,0.302,1.28
¹Ú½Â±Ô,2020,08-02,Å°¿ò,L 2:4,1,CF,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.252,0.341,0.639,13,-0.59,-0.087,1,,
¹Ú½Â±Ô,2020,08-04,@µÎ»ê,W 6:3,2,RF,4,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.252,0.339,0.640,17,-0.12,-0.020,1,0.301,0.62
¹Ú½Â±Ô,2020,08-05,@µÎ»ê,D 2:2,9,RF,3,1,2,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0.262,0.346,0.656,16,-0.32,0.072,1,,
¹Ú½Â±Ô,2020,08-06,@µÎ»ê,L 2:5,2,RF,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.259,0.341,0.646,20,-0.63,-0.064,1,0.306,1.45
¹Ú½Â±Ô,2020,08-07,@SK,W 2:0,2,RF,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.266,0.353,0.663,15,0.46,0.055,1,,
¹Ú½Â±Ô,2020,08-08,@SK,L 2:4,2,CF,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.262,0.348,0.654,4,-1.01,-0.096,1,0.307,1.33
¹Ú½Â±Ô,2020,08-11,µÎ»ê,L 1:6,2,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.262,0.345,0.650,15,-1.45,-0.143,1,,
¹Ú½Â±Ô,2020,08-12,µÎ»ê,L 8:15,2,CF,5,1,3,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0.273,0.360,0.674,15,0.06,-0.044,1,0.314,0.56
¹Ú½Â±Ô,2020,08-13,µÎ»ê,W 3:2,2,RF,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.271,0.355,0.666,14,-0.99,-0.072,1,,
¹Ú½Â±Ô,2020,08-14,@ÇÑÈ­,W 10:1,9,RF,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.270,0.358,0.668,17,-0.26,-0.067,1,0.310,0.61
¹Ú½Â±Ô,2020,08-15,@ÇÑÈ­,W 2:0,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.354,0.660,9,-0.56,-0.064,1,,
¹Ú½Â±Ô,2020,08-16,@ÇÑÈ­,L 2:3,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.354,0.660,0,0.00,0.000,0,0.306,0.00
¹Ú½Â±Ô,2020,08-19,KT,L 4:6,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.352,0.656,4,-0.18,-0.030,0,,
¹Ú½Â±Ô,2020,08-20,@SK,W 8:3,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.350,0.652,2,-0.18,-0.001,0,0.302,0.05
¹Ú½Â±Ô,2020,08-23,·Ôµ¥,L 0:11,3,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.348,0.648,5,-0.18,0.000,0,,
¹Ú½Â±Ô,2020,08-26,LG,L 5:8,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.348,0.648,0,0.00,0.000,0,0.301,0.00
¹Ú½Â±Ô,2020,08-27,@ÇÑÈ­,L 0:7,2,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.262,0.345,0.645,19,-1.19,-0.034,1,,
¹Ú½Â±Ô,2020,08-29,@Å°¿ò,W 5:4,4,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.345,0.645,0,0.00,0.000,0,0.299,0.00
¹Ú½Â±Ô,2020,08-30,@Å°¿ò,L 2:3,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.345,0.645,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,09-03,µÎ»ê,W 11:10,8,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.345,0.645,0,0.00,0.000,0,0.299,0.00
¹Ú½Â±Ô,2020,10-02,@NC,W 8:2,1,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.345,0.645,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,10-03,@NC,D 6:6,2,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.345,0.645,0,0.00,0.000,0,0.299,0.00
¹Ú½Â±Ô,2020,10-03,@NC,L 2:12,1,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.257,0.339,0.634,15,-0.70,-0.063,1,,
¹Ú½Â±Ô,2020,10-04,@NC,L 1:4,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0.339,0.634,0,0.00,0.000,0,0.294,0.00
¹Ú½Â±Ô,2020,10-06,@LG,W 3:2,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0.339,0.634,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,10-10,·Ôµ¥,L 0:1,2,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.253,0.333,0.623,13,-0.56,-0.062,1,0.290,0.77
¹Ú½Â±Ô,2020,10-11,·Ôµ¥,W 8:4,2,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.331,0.619,6,-0.23,-0.001,0,,
¹Ú½Â±Ô,2020,10-15,SK,L 3:10,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.331,0.619,0,0.00,0.000,0,0.288,0.00
¹Ú½Â±Ô,2020,10-16,@ÇÑÈ­,W 6:2,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.331,0.619,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,10-17,@ÇÑÈ­,W 4:2,5,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.331,0.619,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,10-17,@ÇÑÈ­,D 4:4,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.331,0.619,0,0.00,0.000,0,0.288,0.00
¹Ú½Â±Ô,2020,10-18,@ÇÑÈ­,W 5:4,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.330,0.616,4,-0.54,-0.038,0,0.286,1.37
¹Ú½Â±Ô,2020,10-20,@SK,W 12:2,3,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.330,0.616,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,10-24,@KIA,W 11:7,9,RF,4,2,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0.256,0.333,0.628,18,1.29,0.126,1,0.295,0.90
¹Ú½Â±Ô,2020,10-25,@KIA,L 1:10,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.333,0.628,0,0.00,0.000,0,,
¹Ú½Â±Ô,2020,10-27,@NC,W 12:2,1,PH,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.258,0.335,0.632,4,0.02,0.000,0,0.297,0.01
