Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹Ú½Â¿í,2019,03-24,KT,W 6:3,3,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
¹Ú½Â¿í,2019,04-16,@µÎ»ê,L 3:8,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,11,-1.21,-0.171,1,,
¹Ú½Â¿í,2019,04-17,@µÎ»ê,L 3:12,8,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.35,-0.016,1,0.000,0.42
¹Ú½Â¿í,2019,04-18,@µÎ»ê,W 4:3,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
¹Ú½Â¿í,2019,04-19,NC,L 11:14,8,2B,3,2,1,0,0,1,4,2,0,0,2,0,0,2,0,0,0,0.125,0.500,0.800,25,1.83,0.022,1,0.300,0.61
¹Ú½Â¿í,2019,04-24,@»ï¼º,W 9:8,8,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.444,0.717,1,-0.38,-0.081,0,,
¹Ú½Â¿í,2019,05-17,µÎ»ê,L 1:3,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.083,0.333,0.548,9,-0.63,-0.082,1,0.214,1.08
¹Ú½Â¿í,2019,05-18,µÎ»ê,L 5:10,6,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.308,0.508,2,-0.26,-0.058,0,,
¹Ú½Â¿í,2019,05-21,µÎ»ê,W 12:7,9,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.267,0.443,8,-0.37,-0.021,0,0.176,0.42
¹Ú½Â¿í,2019,05-22,µÎ»ê,W 3:1,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.059,0.235,0.393,7,-0.23,-0.022,1,,
¹Ú½Â¿í,2019,05-23,µÎ»ê,W 3:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.222,0.372,4,-0.47,-0.112,0,0.150,4.37
¹Ú½Â¿í,2019,05-24,@KIA,L 5:7,2,PH,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.048,0.190,0.321,13,-0.95,-0.094,0,,
¹Ú½Â¿í,2019,05-25,@KIA,L 3:10,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.043,0.174,0.294,6,-0.44,-0.007,0,0.120,0.14
