Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
박용택,2017,03-31,@넥센,W 2:1,3,DH,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.500,0.500,1.000,16,-0.16,-0.006,1,0.500,0.51
박용택,2017,04-01,@넥센,W 8:3,3,DH,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,18,-0.11,0.058,1,,
박용택,2017,04-02,@넥센,W 9:2,3,DH,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.214,0.214,0.429,18,-1.40,-0.074,1,0.214,0.58
박용택,2017,04-04,삼성,W 11:0,3,DH,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.222,0.222,0.444,11,-0.40,0.033,1,,
박용택,2017,04-06,삼성,W 4:0,3,DH,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.238,0.238,0.511,16,0.84,0.031,1,0.273,0.58
박용택,2017,04-07,@롯데,W 6:4,3,DH,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.240,0.240,0.509,17,-0.45,-0.052,1,,
박용택,2017,04-08,@롯데,L 6:8,3,DH,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.233,0.233,0.491,17,-1.24,-0.159,1,0.258,1.42
박용택,2017,04-11,@NC,L 3:4,3,DH,3,1,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0.242,0.242,0.548,24,1.58,0.264,1,,
박용택,2017,04-12,@NC,L 0:5,3,DH,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.250,0.250,0.575,20,-0.11,-0.043,1,0.325,1.76
박용택,2017,04-13,@NC,L 1:3,3,LF,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.237,0.237,0.578,20,0.39,0.058,1,,
박용택,2017,04-14,kt,W 5:2,3,DH,4,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.310,0.310,0.705,18,1.70,0.151,1,0.396,1.10
박용택,2017,04-15,kt,L 0:1,3,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.283,0.283,0.648,9,-1.03,-0.139,1,,
박용택,2017,04-16,kt,W 12:5,3,DH,3,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.306,0.306,0.699,21,1.18,0.101,1,0.393,0.75
박용택,2017,04-18,@한화,L 2:3,3,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.283,0.283,0.650,16,-1.29,-0.150,1,,
박용택,2017,04-19,@한화,L 0:3,3,DH,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.298,0.298,0.673,10,0.18,0.006,1,0.375,0.74
박용택,2017,04-20,@한화,W 4:3,3,DH,3,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.300,0.317,0.699,15,-0.01,0.004,1,,
박용택,2017,04-21,KIA,W 6:2,3,DH,4,2,3,0,0,1,6,1,0,0,0,0,0,1,0,0,0,0.328,0.391,0.793,15,0.96,0.157,1,0.403,0.93
박용택,2017,04-22,KIA,L 4:5,3,DH,4,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.309,0.368,0.749,11,-0.80,-0.079,1,,
