Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
박정권,2019,06-14,NC,W 7:3,6,1B,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,13,0.69,0.061,1,0.500,1.14
박정권,2019,06-16,NC,W 9:2,5,1B,3,3,2,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0.571,0.571,1.238,23,2.09,0.096,1,,
박정권,2019,06-18,@KIA,L 2:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.100,3,-0.38,-0.059,0,0.600,2.61
박정권,2019,06-20,@KIA,L 5:8,5,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.364,0.364,0.864,28,-0.43,-0.078,1,,
박정권,2019,06-21,두산,W 14:1,3,PH,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.364,0.364,0.897,4,1.00,0.001,0,0.533,0.01
박정권,2019,06-23,두산,W 3:2,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.833,5,-0.63,-0.026,0,,
박정권,2019,06-26,@LG,W 7:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.308,0.308,0.778,4,-0.83,-0.042,0,0.471,0.80
박정권,2019,06-27,@LG,L 4:6,3,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.250,0.250,0.650,13,-1.32,-0.180,0,,
박정권,2019,06-30,@삼성,W 14:7,2,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.250,0.679,6,0.84,0.000,0,0.429,0.01
박정권,2019,07-02,롯데,W 10:1,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.235,0.644,2,-0.12,0.000,0,,
박정권,2019,09-03,NC,W 8:1,8,PH,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.278,0.333,0.768,2,1.00,0.061,0,0.435,0.71
박정권,2019,09-08,@KT,L 0:5,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.316,0.732,2,-0.26,-0.007,0,,
박정권,2019,09-11,키움,L 2:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.300,0.700,2,-0.38,-0.069,0,0.400,3.05
박정권,2019,09-12,@롯데,W 2:1,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.286,0.670,2,-0.54,-0.056,0,,
박정권,2019,09-13,@롯데,L 0:1,6,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.240,0.573,10,-1.11,-0.164,1,0.333,1.56
박정권,2019,09-14,두산,W 7:6,4,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.192,0.231,0.553,5,-0.82,-0.198,0,,
박정권,2019,09-19,두산,L 4:6,6,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.167,0.200,0.486,11,-1.18,-0.156,1,0.286,1.31
박정권,2019,09-28,@삼성,L 7:9,9,PH,2,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.188,0.313,0.610,8,0.19,0.181,0,,
박정권,2019,10-14,키움,L 0:3,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.34,-0.016,0,0.000,0.56
박정권,2019,10-17,@키움,L 1:10,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,8,-0.38,0.000,0,,
