Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
박준태,2020,05-05,@KIA,W 11:2,9,LF,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.000,0.750,20,0.40,0.039,1,0.750,0.28
박준태,2020,05-06,@KIA,W 3:2,9,LF,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,1.000,10,0.83,0.091,1,,
박준태,2020,05-07,@KIA,L 5:8,9,LF,4,0,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.429,0.571,1.171,12,-0.76,-0.039,1,0.600,0.86
박준태,2020,05-08,한화,W 5:3,6,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.571,1.171,0,0.00,0.000,0,,
박준태,2020,05-09,한화,W 5:3,9,LF,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0.375,0.500,1.143,20,0.86,0.132,1,0.643,1.49
박준태,2020,05-10,한화,W 6:3,9,LF,3,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.364,0.455,1.043,10,0.94,0.168,1,,
박준태,2020,05-12,삼성,W 3:2,9,LF,3,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.357,0.429,0.979,13,-0.13,-0.022,1,0.550,1.01
박준태,2020,05-13,삼성,L 0:5,9,LF,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.353,0.412,0.934,9,-0.04,0.027,1,,
박준태,2020,05-16,@LG,L 3:5,9,LF,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.286,0.333,0.816,10,0.33,0.057,1,,
박준태,2020,05-16,@LG,L 1:3,9,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.316,0.368,0.848,8,-0.50,-0.053,1,0.480,0.98
박준태,2020,05-17,@LG,W 9:4,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.261,0.304,0.756,10,-1.15,-0.070,1,0.452,0.89
박준태,2020,05-19,SK,W 11:6,9,RF,3,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.269,0.308,0.765,12,0.57,0.033,1,,
박준태,2020,05-20,SK,L 3:5,9,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.276,0.697,16,-0.81,-0.098,1,0.421,1.26
박준태,2020,05-21,SK,W 9:8,9,RF,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.212,0.242,0.623,21,-0.29,-0.053,1,,
박준태,2020,05-22,@롯데,L 7:9,8,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0.242,0.623,0,0.00,0.000,0,0.381,0.00
박준태,2020,05-23,@롯데,W 12:4,7,PR,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.200,0.229,0.592,9,-0.62,-0.005,0,,
박준태,2020,05-24,@롯데,L 0:2,7,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.229,0.592,0,0.00,0.000,0,0.364,0.00
박준태,2020,05-26,@NC,L 2:7,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.229,0.592,0,0.00,0.000,0,,
박준태,2020,05-27,@NC,L 3:10,4,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.194,0.222,0.578,6,-1.65,-0.004,0,0.356,0.18
박준태,2020,05-29,KT,W 5:1,9,LF,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.179,0.205,0.552,13,-0.80,-0.018,1,,
박준태,2020,05-30,KT,W 14:3,9,CF,3,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0.214,0.238,0.608,19,0.82,0.038,1,0.370,0.39
박준태,2020,05-31,KT,L 8:12,9,CF,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.205,0.227,0.578,6,0.21,0.001,1,,
박준태,2020,06-02,@한화,W 15:3,9,CF,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0.196,0.217,0.567,15,-0.67,-0.032,1,0.350,0.63
박준태,2020,06-03,@한화,W 6:2,9,CF,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.220,0.564,9,-0.30,0.014,1,,
박준태,2020,06-04,@한화,W 7:3,9,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.204,0.222,0.560,16,-0.42,-0.028,1,0.338,0.31
박준태,2020,06-05,LG,W 6:3,9,CF,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.211,0.228,0.575,18,-0.16,0.004,1,,
박준태,2020,06-06,LG,W 5:4,9,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.203,0.220,0.558,9,-0.50,-0.051,1,0.338,1.10
박준태,2020,06-07,LG,L 1:8,9,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.200,0.217,0.550,6,-0.49,-0.045,1,,
박준태,2020,06-09,@삼성,W 5:3,7,RF,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.213,0.246,0.588,1,0.63,0.064,0,0.342,0.90
박준태,2020,06-10,@삼성,L 1:4,9,LF,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.206,0.238,0.580,16,-0.29,-0.035,1,,
박준태,2020,06-11,@삼성,L 3:6,9,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.194,0.224,0.549,11,-0.61,-0.051,1,0.325,0.50
박준태,2020,06-12,@NC,W 3:2,7,PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.194,0.224,0.549,2,-0.21,0.000,0,,
박준태,2020,06-13,@NC,W 18:5,9,LF,4,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.183,0.211,0.529,30,-0.61,-0.018,1,0.318,0.16
박준태,2020,06-14,@NC,L 5:9,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.178,0.205,0.517,9,-0.51,-0.055,1,,
박준태,2020,06-16,롯데,L 5:7,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.200,0.504,9,-0.30,-0.036,1,0.304,0.71
박준태,2020,06-17,롯데,W 4:3,9,CF,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.182,0.208,0.531,19,1.01,0.189,1,,
박준태,2020,06-18,롯데,W 3:2,9,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.175,0.200,0.513,9,-0.86,-0.059,1,0.313,0.75
박준태,2020,06-19,SK,W 2:1,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.173,0.198,0.508,6,-0.18,-0.046,0,,
박준태,2020,06-20,SK,W 9:3,9,CF,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.176,0.212,0.519,14,-0.26,-0.054,1,0.308,0.58
박준태,2020,06-21,SK,W 7:2,9,LF,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.172,0.207,0.522,10,0.26,-0.004,1,,
박준태,2020,06-23,@LG,W 8:3,9,LF,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.176,0.209,0.527,14,0.42,0.090,1,0.319,0.61
박준태,2020,06-25,@LG,W 8:5,9,CF,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.174,0.207,0.540,12,0.41,0.043,1,0.333,0.57
박준태,2020,06-25,@LG,W 5:2,5,PH,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.174,0.207,0.528,10,-0.00,0.003,0,,
박준태,2020,06-26,KIA,L 6:8,9,CF,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.165,0.196,0.516,18,-0.46,-0.028,1,,
박준태,2020,06-27,KIA,W 2:0,9,CF,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.170,0.200,0.520,15,-0.62,-0.023,1,0.320,0.82
