Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹ÚÇØ¹Î,2018,03-24,@µÎ»ê,W 6:3,1,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0.250,0.250,0.500,16,-0.78,-0.036,1,0.250,0.75
¹ÚÇØ¹Î,2018,03-25,@µÎ»ê,L 4:5,1,CF,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.750,13,0.37,-0.006,1,,
¹ÚÇØ¹Î,2018,03-27,@KIA,L 0:17,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333,0.333,0.667,4,-0.84,0.000,0,0.333,0.04
¹ÚÇØ¹Î,2018,03-28,@KIA,W 6:0,1,CF,5,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.286,0.286,0.571,19,-1.37,-0.026,1,,
¹ÚÇØ¹Î,2018,03-29,@KIA,L 0:7,1,CF,3,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.294,0.294,0.627,18,0.03,0.022,1,0.333,0.98
¹ÚÇØ¹Î,2018,03-30,³Ø¼¾,L 8:10,1,CF,6,2,2,0,1,0,4,1,1,0,0,1,0,1,0,0,0,0.304,0.391,0.751,29,2.67,0.239,1,,
¹ÚÇØ¹Î,2018,03-31,³Ø¼¾,L 2:4,1,CF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.296,0.370,0.715,15,-0.09,0.007,1,0.345,0.85
¹ÚÇØ¹Î,2018,04-01,³Ø¼¾,W 6:5,1,CF,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.250,0.313,0.607,21,-1.86,-0.143,1,,
¹ÚÇØ¹Î,2018,04-03,@NC,L 3:4,1,CF,6,1,1,0,1,0,3,0,0,0,0,0,0,3,1,0,0,0.237,0.342,0.617,21,-1.49,-0.139,1,0.275,1.80
¹ÚÇØ¹Î,2018,04-04,@NC,L 1:4,1,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.220,0.317,0.573,12,-0.97,-0.121,1,,
¹ÚÇØ¹Î,2018,04-05,@NC,W 4:1,5,PR,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.220,0.317,0.573,0,0.24,0.090,0,0.256,3.44
¹ÚÇØ¹Î,2018,04-07,@SK,L 3:4,2,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.205,0.295,0.535,9,-0.67,-0.063,1,,
¹ÚÇØ¹Î,2018,04-08,@SK,W 12:4,6,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.283,0.512,10,-0.51,0.000,0,0.229,0.01
¹ÚÇØ¹Î,2018,04-10,µÎ»ê,L 1:8,2,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.180,0.260,0.472,12,-0.80,-0.040,1,,
