Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
배성근,2019,04-21,KT,L 3:6,8,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,1.000,6,0.40,0.057,0,1.000,1.18
배성근,2019,04-26,@두산,L 8:11,7,3B,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,6,0.91,0.007,0,,
배성근,2019,04-28,@두산,L 2:9,7,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.100,10,-0.30,-0.023,1,0.600,0.39
배성근,2019,05-01,NC,L 5:9,6,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.100,0,0.00,0.000,0,,
배성근,2019,05-03,SK,L 7:11,9,3B,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.071,8,0.08,0.027,1,0.571,0.77
배성근,2019,05-05,SK,L 3:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.429,0.429,0.929,4,-0.25,-0.098,0,,
배성근,2019,05-07,@KT,L 2:7,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.929,0,0.00,0.000,0,0.500,0.00
배성근,2019,05-09,@KT,W 13:6,9,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.929,0,0.00,0.000,0,,
배성근,2019,05-10,@삼성,W 12:5,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.929,0,0.00,0.000,0,0.500,0.00
배성근,2019,06-01,삼성,W 5:2,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.929,0,0.00,0.000,0,,
배성근,2019,06-04,한화,W 3:2,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.929,0,0.09,0.023,0,0.500,1.83
배성근,2019,06-05,한화,L 3:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.819,1,0.13,0.010,0,,
배성근,2019,06-06,한화,L 3:4,6,2B,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.400,0.400,0.855,7,0.41,0.016,0,0.455,2.74
배성근,2019,06-07,@KT,L 1:2,7,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.364,0.780,3,-0.18,-0.035,0,,
배성근,2019,06-09,@KT,L 0:2,7,2B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.762,7,-0.05,-0.009,1,0.429,0.65
배성근,2019,06-11,@LG,D 1:1,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.661,5,-0.77,-0.087,1,,
배성근,2019,06-12,@LG,L 3:4,7,2B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.294,0.294,0.694,20,-0.08,-0.090,1,0.400,1.65
배성근,2019,06-13,@LG,L 3:4,7,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.661,12,0.29,0.105,1,,
배성근,2019,06-15,KIA,W 7:0,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.583,11,-0.63,-0.037,1,0.333,0.47
배성근,2019,06-16,KIA,W 10:5,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.231,0.541,11,-1.17,-0.004,0,,
배성근,2019,06-18,@한화,W 11:3,6,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.522,5,-0.12,0.000,0,0.300,0.00
배성근,2019,06-21,키움,L 4:7,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.214,0.214,0.505,4,-0.26,-0.023,0,,
배성근,2019,06-22,키움,W 4:1,9,SS,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.219,0.219,0.504,22,-0.84,0.006,1,0.286,0.54
배성근,2019,06-23,키움,W 2:1,9,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.463,9,-0.67,-0.060,1,,
배성근,2019,06-25,KT,D 8:8,7,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.189,0.189,0.439,8,-0.38,-0.061,0,0.250,0.83
배성근,2019,07-11,NC,L 0:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.184,0.184,0.428,6,-0.38,-0.027,0,,
배성근,2019,07-13,두산,L 3:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.179,0.418,3,1.50,0.344,0,0.238,4.70
배성근,2019,07-17,@KIA,L 1:3,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.179,0.418,0,0.00,0.000,0,,
배성근,2019,07-18,@KIA,W 6:3,9,2B,3,1,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0.214,0.238,0.521,16,0.79,0.023,1,0.283,0.55
배성근,2019,07-26,SK,L 6:8,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.238,0.521,0,0.00,0.000,0,,
배성근,2019,07-27,SK,L 0:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.209,0.233,0.509,4,-0.12,-0.002,0,0.277,0.06
배성근,2019,08-31,@KIA,L 2:4,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0.233,0.509,0,0.00,0.000,0,,
배성근,2019,09-01,@KIA,L 2:4,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0.233,0.509,0,0.00,0.000,0,0.277,0.00
배성근,2019,09-04,삼성,L 0:8,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.227,0.498,5,-0.26,-0.001,0,,
배성근,2019,09-06,@LG,L 2:5,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.227,0.498,0,0.00,0.000,0,0.271,0.00
배성근,2019,09-08,@한화,W 12:0,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.227,0.498,0,0.00,0.000,0,,
