Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹è¿µ¼·,2017,03-31,KIA,L 2:7,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,4,-0.26,-0.008,0,0.000,0.33
¹è¿µ¼·,2017,04-01,KIA,L 7:9,1,PH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,8,0.49,0.004,0,,
¹è¿µ¼·,2017,04-04,@LG,L 0:11,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,4,-0.25,0.000,0,0.250,0.00
¹è¿µ¼·,2017,04-06,@LG,L 0:4,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.400,2,-0.26,-0.009,0,,
¹è¿µ¼·,2017,04-08,@kt,L 0:1,9,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.200,0.200,0.533,6,0.15,0.024,0,0.333,2.63
¹è¿µ¼·,2017,04-09,@kt,L 0:3,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.452,4,-0.26,-0.019,0,,
¹è¿µ¼·,2017,04-12,ÇÑÈ­,L 3:5,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.393,12,-0.26,-0.011,0,0.250,0.44
¹è¿µ¼·,2017,04-13,ÇÑÈ­,W 5:1,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.347,1,-0.54,-0.088,0,,
¹è¿µ¼·,2017,04-14,@·Ôµ¥,L 6:9,7,LF,3,2,1,0,0,1,4,3,0,0,1,0,0,1,0,0,0,0.182,0.455,0.762,20,1.56,0.156,1,0.308,1.66
¹è¿µ¼·,2017,04-15,@·Ôµ¥,L 4:6,2,LF,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.214,0.429,0.741,14,0.10,0.013,1,,
¹è¿µ¼·,2017,04-16,@·Ôµ¥,W 3:0,2,LF,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.235,0.412,0.728,9,0.25,0.009,1,0.316,1.08
¹è¿µ¼·,2017,04-19,@µÎ»ê,L 1:2,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.389,0.689,3,-0.43,-0.090,0,,
¹è¿µ¼·,2017,04-20,@µÎ»ê,L 2:4,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.368,0.654,3,-0.26,-0.039,0,0.286,1.54
¹è¿µ¼·,2017,04-21,NC,D 4:4,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.350,0.623,6,-0.39,-0.127,0,,
¹è¿µ¼·,2017,04-22,NC,L 6:14,6,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.190,0.333,0.594,6,-0.18,-0.001,0,0.261,0.02
¹è¿µ¼·,2017,04-23,NC,L 3:6,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.182,0.318,0.568,5,-0.26,-0.023,0,,
¹è¿µ¼·,2017,04-25,@KIA,L 3:11,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.304,0.544,5,-0.18,-0.001,0,0.240,0.03
¹è¿µ¼·,2017,04-26,@KIA,L 0:7,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.292,0.522,3,-0.26,-0.004,0,,
¹è¿µ¼·,2017,04-27,@KIA,L 9:16,1,LF,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.207,0.345,0.603,20,-0.47,0.033,1,0.258,0.44
¹è¿µ¼·,2017,04-28,SK,L 5:7,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.200,0.333,0.583,2,-0.84,-0.168,0,,
¹è¿µ¼·,2017,04-29,SK,W 12:5,8,PH,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.200,0.333,0.606,1,0.26,0.012,0,0.273,1.42
¹è¿µ¼·,2017,04-30,SK,L 2:13,2,LF,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.314,0.577,20,-0.88,-0.033,1,,
¹è¿µ¼·,2017,05-02,µÎ»ê,W 6:5,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.306,0.562,2,-0.51,-0.059,0,0.256,2.70
¹è¿µ¼·,2017,05-03,µÎ»ê,L 4:10,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0.297,0.547,6,-0.26,-0.002,0,,
¹è¿µ¼·,2017,05-06,@NC,W 12:1,3,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0.289,0.533,4,-0.26,0.000,0,0.244,0.00
¹è¿µ¼·,2017,05-11,LG,L 5:8,9,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.205,0.308,0.570,1,0.28,0.027,0,,
¹è¿µ¼·,2017,05-12,³Ø¼¾,W 4:1,9,LF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.195,0.293,0.543,5,-0.90,-0.060,1,0.250,0.92
¹è¿µ¼·,2017,05-13,³Ø¼¾,L 4:5,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.286,0.530,5,-0.18,-0.065,0,,
¹è¿µ¼·,2017,05-17,@SK,W 5:2,5,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.279,0.518,7,-0.12,-0.002,0,0.239,1.01
¹è¿µ¼·,2017,05-23,kt,L 3:12,6,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.205,0.295,0.551,7,0.13,0.000,0,,
¹è¿µ¼·,2017,05-24,kt,L 8:9,2,PH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.222,0.311,0.582,7,0.68,0.064,0,0.271,1.24
