Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
배정대,2019,03-23,@SK,L 4:7,9,LF,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,11,0.04,0.025,1,0.333,1.79
배정대,2019,03-26,@NC,L 8:9,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,0,0.00,0.000,0,,
배정대,2019,03-28,@NC,L 2:6,3,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,4,-0.32,-0.011,0,0.250,0.41
배정대,2019,03-29,KIA,W 6:3,5,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,0,0.00,0.000,0,,
배정대,2019,03-30,KIA,W 6:2,5,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,0,0.00,0.000,0,0.250,0.00
배정대,2019,03-31,KIA,L 2:4,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,6,-0.47,-0.090,0,,
배정대,2019,04-06,LG,W 2:1,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.400,0,0.00,0.000,0,0.200,0.00
배정대,2019,04-07,LG,W 4:3,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.400,0,0.00,0.000,0,,
배정대,2019,04-09,@키움,L 3:7,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333,3,-0.32,-0.011,0,0.167,0.41
배정대,2019,04-10,@키움,L 2:4,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.333,0,0.00,0.000,0,,
배정대,2019,04-11,@키움,W 8:1,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.286,4,-0.59,-0.001,0,0.143,0.03
배정대,2019,04-12,@삼성,L 0:5,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.286,0,0.00,0.000,0,,
배정대,2019,04-13,@삼성,W 5:3,7,PR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.143,0.143,0.286,0,-0.25,-0.013,0,0.143,0.47
배정대,2019,04-14,@삼성,L 12:14,5,RF,2,2,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0.333,0.444,0.778,3,2.17,0.011,0,,
배정대,2019,04-16,한화,W 4:2,1,LF,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.333,0.444,0.844,6,0.03,0.000,0,0.400,0.21
배정대,2019,04-17,한화,L 5:8,1,LF,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.286,0.357,0.690,18,-0.49,-0.041,1,,
배정대,2019,04-18,한화,W 6:5,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.357,0.690,0,0.00,0.000,0,0.333,0.00
배정대,2019,04-19,@롯데,W 6:5,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.333,0.646,5,-0.23,-0.035,0,,
배정대,2019,04-20,@롯데,L 4:5,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.250,0.313,0.607,6,-0.61,-0.066,0,0.294,4.31
배정대,2019,04-21,@롯데,W 6:3,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.313,0.607,0,0.00,0.000,0,,
배정대,2019,04-23,NC,L 3:4,1,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.278,0.541,9,-0.58,-0.130,0,0.263,2.72
배정대,2019,04-24,NC,L 2:10,5,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.263,0.513,2,-0.12,0.000,0,,
배정대,2019,04-27,SK,L 1:2,1,LF,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.227,0.318,0.579,18,-0.32,-0.030,1,0.261,1.33
배정대,2019,04-28,SK,L 0:3,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.318,0.579,0,0.00,0.000,0,,
배정대,2019,04-30,@LG,L 9:10,7,CF,6,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.286,0.393,0.703,25,0.43,-0.006,1,0.310,1.37
배정대,2019,05-01,@LG,L 2:3,6,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.258,0.355,0.636,10,-0.63,-0.076,1,,
배정대,2019,05-02,@LG,L 4:5,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.355,0.636,0,0.00,0.000,0,0.281,0.00
배정대,2019,05-03,@한화,W 5:4,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.344,0.616,3,-0.12,-0.009,0,,
배정대,2019,05-04,@한화,L 9:10,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.344,0.616,0,0.00,0.000,0,0.273,0.00
배정대,2019,05-05,@한화,L 4:6,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.333,0.598,6,-0.18,-0.024,0,,
배정대,2019,05-07,롯데,W 7:2,1,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.333,0.598,0,0.00,0.000,0,0.265,0.00
배정대,2019,05-08,롯데,W 5:4,1,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.235,0.324,0.581,5,-0.18,-0.010,0,,
배정대,2019,05-09,롯데,L 6:13,1,RF,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.278,0.361,0.658,6,1.40,0.008,0,0.297,0.09
배정대,2019,05-10,키움,W 7:6,4,CF,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.278,0.361,0.677,1,0.40,0.078,0,,
배정대,2019,08-01,한화,L 1:3,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.342,0.642,6,-0.56,-0.064,1,0.300,1.18
배정대,2019,08-03,@키움,W 7:1,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.333,0.626,6,-0.26,0.000,0,,
배정대,2019,08-04,@키움,W 5:3,1,CF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.256,0.326,0.614,8,-0.42,-0.001,1,0.289,0.56
배정대,2019,08-06,@SK,W 3:0,3,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.326,0.614,0,0.00,0.000,0,,
배정대,2019,08-07,@SK,L 2:5,1,CF,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.318,0.616,6,-0.12,-0.012,0,0.298,0.59
배정대,2019,08-09,@두산,L 1:3,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.244,0.311,0.603,5,-0.49,-0.066,0,,
배정대,2019,08-14,@롯데,W 6:0,5,CF,3,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.250,0.333,0.627,7,-1.13,-0.061,0,0.294,0.34
배정대,2019,08-16,삼성,W 9:1,5,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.245,0.327,0.615,4,-0.26,0.000,0,,
배정대,2019,08-17,@KIA,W 4:3,5,PR,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.260,0.340,0.642,2,0.40,0.082,0,0.302,2.32
배정대,2019,08-18,@KIA,W 2:1,3,CF,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.250,0.327,0.630,10,0.02,0.003,0,,
배정대,2019,08-20,키움,W 6:0,5,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.327,0.630,0,0.00,0.000,0,0.304,0.00
배정대,2019,08-21,키움,L 1:8,3,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.327,0.630,0,0.00,0.000,0,,
배정대,2019,08-22,롯데,W 4:2,9,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.232,0.304,0.587,12,-1.56,-0.099,1,0.283,0.96
배정대,2019,08-23,롯데,D 3:3,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0.304,0.587,0,0.00,0.000,0,,
배정대,2019,08-24,@LG,L 8:12,6,CF,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.228,0.298,0.589,8,-0.19,-0.008,0,0.290,0.24
배정대,2019,08-25,@LG,W 7:3,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0.298,0.589,0,0.00,0.000,0,,
배정대,2019,08-28,@NC,W 8:2,1,CF,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.228,0.298,0.600,8,1.00,0.011,0,0.302,0.35
배정대,2019,08-29,두산,W 11:8,1,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0.298,0.600,0,0.00,0.000,0,,
배정대,2019,08-31,@한화,W 6:1,4,PR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.224,0.293,0.590,6,-0.32,0.000,0,0.297,0.02
배정대,2019,09-01,@한화,L 1:6,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.288,0.580,5,-0.18,-0.002,0,,
배정대,2019,09-06,KIA,W 5:2,5,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.288,0.580,0,0.00,0.000,0,0.292,0.00
배정대,2019,09-08,SK,W 5:0,5,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.288,0.580,0,0.00,0.000,0,,
배정대,2019,09-10,@삼성,L 2:3,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.288,0.580,0,0.00,0.000,0,0.292,0.00
배정대,2019,09-14,키움,W 3:2,8,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.210,0.274,0.554,12,-0.76,-0.084,1,,
배정대,2019,09-15,@SK,W 8:6,8,CF,3,1,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0.215,0.277,0.578,20,1.29,0.152,1,0.301,0.96
배정대,2019,09-20,@롯데,W 7:0,8,CF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.203,0.261,0.547,23,-1.45,-0.069,1,,
배정대,2019,09-21,삼성,L 3:6,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.261,0.547,0,0.00,0.000,0,0.286,0.00
배정대,2019,09-23,KIA,W 2:1,5,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.261,0.547,0,0.00,0.000,0,,
배정대,2019,09-24,SK,W 7:3,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.261,0.547,0,0.00,0.000,0,0.286,0.00
배정대,2019,09-26,LG,L 3:4,6,CF,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.211,0.268,0.559,8,-0.07,-0.018,1,,
배정대,2019,09-28,NC,W 5:2,6,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.260,0.544,6,-0.37,-0.033,1,0.284,0.61
배정대,2019,09-29,삼성,W 7:0,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.203,0.257,0.537,2,-0.57,-0.003,0,,
