Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹éµ¿ÈÆ,2019,04-05,NC,L 3:7,2,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,3,-0.43,-0.005,0,0.000,0.22
¹éµ¿ÈÆ,2019,04-07,NC,L 3:5,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,04-10,@·Ôµ¥,W 3:1,7,LF,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.833,15,0.84,0.055,1,0.500,0.84
¹éµ¿ÈÆ,2019,04-11,@·Ôµ¥,W 5:1,3,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.650,4,-0.18,-0.001,0,,
¹éµ¿ÈÆ,2019,04-12,@LG,L 0:3,2,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.650,0,0.00,0.000,0,0.400,0.00
¹éµ¿ÈÆ,2019,04-16,SK,W 8:3,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.650,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,04-17,SK,W 12:3,1,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,4,-0.18,0.000,0,0.333,0.01
¹éµ¿ÈÆ,2019,04-19,@KIA,W 8:6,3,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.533,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,04-20,@KIA,W 10:1,3,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.452,2,-0.26,0.000,0,0.286,0.00
¹éµ¿ÈÆ,2019,04-21,@KIA,W 9:2,7,CF,5,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0.273,0.273,0.606,18,0.05,-0.041,1,,
¹éµ¿ÈÆ,2019,04-23,@Å°¿ò,W 9:3,9,CF,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.267,0.267,0.579,16,-0.71,-0.061,1,0.313,0.63
¹éµ¿ÈÆ,2019,06-14,LG,W 7:4,8,RF,4,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.316,0.368,0.718,6,1.83,0.157,1,,
¹éµ¿ÈÆ,2019,06-15,LG,L 3:4,8,LF,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.304,0.391,0.725,11,-0.08,-0.040,1,0.333,1.71
¹éµ¿ÈÆ,2019,06-16,LG,W 5:3,5,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.375,0.695,2,-0.25,-0.007,0,,
¹éµ¿ÈÆ,2019,06-18,NC,W 10:7,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.375,0.695,0,0.47,0.019,0,0.320,0.48
¹éµ¿ÈÆ,2019,06-20,NC,W 14:2,3,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.292,0.375,0.721,5,0.23,0.000,0,,
¹éµ¿ÈÆ,2019,06-21,@SK,L 1:14,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.280,0.360,0.693,4,-0.60,-0.042,0,0.333,1.76
¹éµ¿ÈÆ,2019,06-23,@SK,L 2:3,3,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280,0.360,0.693,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,06-25,@»ï¼º,L 2:11,9,CF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.321,0.621,10,-0.76,-0.007,1,0.300,0.09
¹éµ¿ÈÆ,2019,06-27,@»ï¼º,W 9:1,2,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.321,0.621,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,06-28,·Ôµ¥,W 3:2,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.321,0.621,0,0.00,0.000,0,0.300,0.00
¹éµ¿ÈÆ,2019,06-30,·Ôµ¥,L 0:4,7,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.250,0.313,0.607,17,-0.82,-0.101,1,,
¹éµ¿ÈÆ,2019,07-03,@Å°¿ò,W 3:1,9,CF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.235,0.294,0.572,4,-0.52,-0.059,1,0.278,1.17
¹éµ¿ÈÆ,2019,07-04,@Å°¿ò,W 4:1,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.294,0.572,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,07-05,SK,L 6:8,2,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.294,0.572,0,0.00,0.000,0,0.278,0.00
¹éµ¿ÈÆ,2019,07-06,SK,L 2:4,9,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.294,0.572,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,07-07,SK,W 5:4,1,RF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.278,0.541,6,-0.69,-0.126,0,0.263,2.70
¹éµ¿ÈÆ,2019,07-09,@LG,W 11:4,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.216,0.270,0.527,3,-0.12,0.000,0,,
¹éµ¿ÈÆ,2019,07-11,@LG,W 8:4,4,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.270,0.527,0,0.00,0.000,0,0.256,0.00
¹éµ¿ÈÆ,2019,07-14,@·Ôµ¥,W 8:2,4,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.270,0.527,0,0.00,0.000,0,,
¹éµ¿ÈÆ,2019,07-16,KT,L 2:7,9,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.270,0.527,0,0.00,0.000,0,0.256,0.00
¹éµ¿ÈÆ,2019,07-17,KT,L 4:6,2,PH,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.205,0.256,0.500,7,-0.75,-0.063,0,,
¹éµ¿ÈÆ,2019,08-29,@KT,L 8:11,5,RF,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.200,0.250,0.506,11,-0.10,-0.038,0,0.256,2.38
¹éµ¿ÈÆ,2019,09-11,NC,L 0:4,9,RF,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.190,0.238,0.499,13,-0.01,0.003,1,,
