Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¹é½ÂÇö,2019,05-12,ÇÑÈ­,W 2:0,9,SS,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.667,1.000,10,0.13,0.019,1,0.333,0.81
¹é½ÂÇö,2019,05-14,@·Ôµ¥,L 0:4,9,3B,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.400,0.600,1.000,6,-0.21,-0.005,1,,
¹é½ÂÇö,2019,05-17,NC,L 2:13,9,PH,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.250,0.375,0.625,10,-0.77,-0.002,0,0.250,0.02
¹é½ÂÇö,2019,05-28,@Å°¿ò,L 0:5,8,2B,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.444,0.778,5,0.40,0.007,0,,
¹é½ÂÇö,2019,05-29,@Å°¿ò,W 4:2,9,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.308,0.538,9,-1.23,-0.091,1,0.231,0.99
¹é½ÂÇö,2019,05-30,@Å°¿ò,W 6:3,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.267,0.467,6,-0.66,-0.061,1,,
¹é½ÂÇö,2019,05-31,NC,W 3:2,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.222,0.389,13,-1.33,-0.142,1,0.167,1.41
¹é½ÂÇö,2019,06-11,·Ôµ¥,D 1:1,7,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.190,0.238,0.429,15,-0.96,-0.105,1,,
¹é½ÂÇö,2019,06-12,·Ôµ¥,W 4:3,9,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.208,0.375,8,-0.49,-0.024,1,0.167,0.32
¹é½ÂÇö,2019,06-13,·Ôµ¥,W 4:3,9,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.160,0.200,0.360,3,-0.12,-0.013,1,,
¹é½ÂÇö,2019,06-14,@µÎ»ê,L 4:7,9,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.148,0.185,0.333,6,-0.72,-0.079,1,0.148,1.53
¹é½ÂÇö,2019,09-28,@KIA,L 1:7,9,SS,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.167,0.200,0.367,8,-0.83,-0.094,1,,
¹é½ÂÇö,2019,09-29,µÎ»ê,L 0:3,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.200,0.367,0,0.00,0.000,0,0.167,0.00
¹é½ÂÇö,2019,09-30,·Ôµ¥,W 2:0,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.200,0.367,0,0.00,0.000,0,,
