Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
백용환,2018,03-25,KT,W 14:1,3,C,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,2,0.28,0.000,0,1.000,0.00
백용환,2018,03-27,삼성,W 17:0,1,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.500,0.500,1.000,3,-0.57,0.000,0,,
백용환,2018,03-29,삼성,W 7:0,8,C,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.600,0.600,1.200,11,1.17,0.112,1,0.600,0.76
백용환,2018,04-03,@SK,L 3:13,9,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0.600,1.200,0,0.00,0.000,0,,
백용환,2018,04-04,@SK,W 9:6,8,C,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333,6,0.40,0.024,0,0.667,0.66
백용환,2018,04-06,넥센,W 11:5,8,PH,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.714,0.714,1.429,4,1.00,0.001,0,,
백용환,2018,04-07,넥센,W 5:1,9,C,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.500,0.500,1.000,8,-0.56,-0.017,1,0.500,0.23
백용환,2018,04-08,넥센,W 4:3,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,0,0.00,0.000,0,,
백용환,2018,04-11,@한화,L 4:6,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.455,0.455,0.909,4,-0.38,-0.064,0,0.455,2.87
백용환,2018,04-12,@한화,L 4:15,8,C,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.462,0.462,0.923,9,0.84,0.000,0,,
백용환,2018,04-17,LG,W 5:4,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0.462,0.923,0,0.00,0.000,0,0.462,0.00
백용환,2018,04-19,LG,W 8:4,8,C,3,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.500,0.500,1.000,7,-0.31,-0.031,1,,
백용환,2018,04-20,@두산,L 4:6,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.444,0.444,0.889,6,-1.82,-0.145,1,0.444,1.27
백용환,2018,04-21,@두산,L 5:10,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.421,0.421,0.842,12,-0.26,-0.004,0,,
백용환,2018,04-22,@두산,W 14:4,5,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.800,6,-0.60,0.000,0,0.400,0.00
백용환,2018,04-27,@KT,W 8:3,8,C,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.409,0.409,0.844,10,1.19,0.128,1,,
백용환,2018,04-28,@KT,L 2:9,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.391,0.391,0.808,5,-0.38,-0.002,0,0.417,0.07
백용환,2018,04-29,@KT,L 3:5,7,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.375,0.775,7,-0.82,-0.176,0,,
백용환,2018,05-03,@롯데,L 4:5,7,C,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.357,0.357,0.736,19,-0.29,-0.037,1,0.379,1.19
백용환,2018,05-05,NC,W 12:4,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.357,0.736,0,0.00,0.000,0,,
백용환,2018,05-06,NC,W 11:3,8,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.345,0.345,0.711,5,-0.25,0.000,0,0.367,0.00
백용환,2018,05-08,두산,W 10:0,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.345,0.711,0,0.00,0.000,0,,
백용환,2018,05-09,두산,L 7:13,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.688,2,-0.12,0.000,0,0.355,0.01
백용환,2018,05-11,@삼성,L 3:8,8,C,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.303,0.303,0.646,18,-0.41,-0.032,1,,
백용환,2018,05-19,SK,W 2:1,8,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.294,0.294,0.645,12,0.01,0.000,1,0.351,0.97
백용환,2018,05-24,KT,L 1:13,8,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.278,0.278,0.611,5,-1.07,0.000,0,,
백용환,2018,06-14,SK,L 2:9,5,PH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.278,0.278,0.628,7,0.68,0.065,0,0.350,1.58
백용환,2018,06-17,@LG,L 6:9,8,C,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.270,0.270,0.657,23,0.98,0.069,1,,
백용환,2018,06-20,NC,W 6:5,4,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270,0.270,0.657,0,0.00,0.000,0,0.386,0.00
백용환,2018,06-23,@넥센,L 4:9,8,C,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.268,0.293,0.668,16,0.41,0.067,1,,
백용환,2018,06-24,@넥센,W 14:10,9,PH,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.262,0.286,0.666,9,0.82,0.148,0,0.380,2.13
백용환,2018,06-27,@SK,L 2:3,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.286,0.666,0,0.00,0.000,0,,
백용환,2018,06-29,@두산,W 7:4,8,C,4,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.261,0.283,0.664,22,-0.16,0.070,1,0.382,1.21
백용환,2018,06-30,@두산,L 2:12,9,C,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.277,0.298,0.691,2,0.40,0.012,1,,
