Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
º£ÅºÄÚÆ®,2019,03-23,»ï¼º,W 7:0,4,RF,3,1,2,0,0,1,5,3,0,0,1,0,0,0,0,0,0,0.667,1.667,2.417,15,2.70,0.219,1,0.750,0.56
º£ÅºÄÚÆ®,2019,03-24,»ï¼º,L 3:4,4,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.714,1.089,15,-1.14,-0.119,1,,
º£ÅºÄÚÆ®,2019,03-26,KT,W 9:8,4,RF,6,1,1,0,0,1,4,3,0,0,0,0,0,2,0,0,0,0.231,0.692,0.978,27,1.13,0.024,1,0.286,1.57
º£ÅºÄÚÆ®,2019,04-13,·Ôµ¥,W 7:5,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.176,0.529,0.752,11,-0.95,-0.118,1,,
º£ÅºÄÚÆ®,2019,04-14,·Ôµ¥,W 8:1,7,1B,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.150,0.450,0.677,15,-0.89,-0.044,1,0.227,0.51
º£ÅºÄÚÆ®,2019,04-16,LG,L 2:7,6,1B,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.120,0.360,0.545,18,-1.47,-0.196,1,,
º£ÅºÄÚÆ®,2019,04-17,LG,L 2:4,6,1B,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.129,0.323,0.504,23,-1.78,-0.321,1,0.182,2.26
º£ÅºÄÚÆ®,2019,04-18,LG,L 1:6,7,1B,3,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.176,0.353,0.575,9,0.72,0.095,1,,
º£ÅºÄÚÆ®,2019,04-19,@SK,W 14:11,8,1B,5,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0.231,0.462,0.730,16,1.87,0.104,1,0.268,0.39
º£ÅºÄÚÆ®,2019,04-20,@SK,L 4:10,4,1B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0.419,0.663,15,-1.23,-0.107,1,,
º£ÅºÄÚÆ®,2019,04-21,@SK,L 1:4,7,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.213,0.404,0.649,15,-0.69,-0.048,1,0.245,0.65
º£ÅºÄÚÆ®,2019,04-23,@KT,W 4:3,5,RF,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.216,0.412,0.657,12,-0.01,-0.052,1,,
º£ÅºÄÚÆ®,2019,04-24,@KT,W 10:2,5,RF,3,2,2,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0.241,0.481,0.775,19,1.54,0.021,1,0.293,0.52
º£ÅºÄÚÆ®,2019,04-27,ÇÑÈ­,W 15:1,5,RF,5,2,4,1,0,1,8,2,0,0,0,0,0,0,0,0,0,0.288,0.576,0.910,14,2.25,0.119,1,,
º£ÅºÄÚÆ®,2019,04-28,ÇÑÈ­,W 10:4,5,RF,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.290,0.565,0.908,16,0.10,-0.018,1,0.343,0.51
º£ÅºÄÚÆ®,2019,04-30,@·Ôµ¥,L 1:6,5,RF,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.281,0.547,0.899,13,0.11,-0.007,1,,
º£ÅºÄÚÆ®,2019,05-01,@·Ôµ¥,W 9:5,5,RF,5,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.290,0.536,0.891,25,-0.34,0.065,1,0.355,1.78
º£ÅºÄÚÆ®,2019,05-02,@·Ôµ¥,W 7:6,5,RF,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.270,0.500,0.833,22,-2.54,-0.256,1,,
º£ÅºÄÚÆ®,2019,05-03,KIA,L 4:8,5,RF,2,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.276,0.500,0.853,15,0.44,0.050,1,0.353,0.92
º£ÅºÄÚÆ®,2019,05-04,KIA,W 4:1,5,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.475,0.812,12,-1.71,-0.166,1,,
º£ÅºÄÚÆ®,2019,05-05,KIA,W 10:3,5,1B,5,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.271,0.471,0.811,14,0.06,-0.046,1,0.340,0.43
º£ÅºÄÚÆ®,2019,05-07,@»ï¼º,L 3:6,5,1B,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.270,0.494,0.831,12,0.02,-0.002,1,,
º£ÅºÄÚÆ®,2019,05-08,@»ï¼º,L 0:2,5,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.261,0.478,0.805,12,-0.74,-0.084,1,0.327,1.00
º£ÅºÄÚÆ®,2019,05-09,@»ï¼º,L 4:6,5,RF,4,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.260,0.479,0.809,22,1.76,0.128,1,,
º£ÅºÄÚÆ®,2019,05-10,µÎ»ê,W 12:11,5,1B,5,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.257,0.475,0.800,19,0.94,-0.007,1,0.324,0.37
º£ÅºÄÚÆ®,2019,05-11,µÎ»ê,L 0:12,5,RF,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.260,0.471,0.802,20,0.94,0.025,1,,
º£ÅºÄÚÆ®,2019,05-12,µÎ»ê,L 2:3,5,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.454,0.773,20,-1.54,-0.234,1,0.319,2.13
º£ÅºÄÚÆ®,2019,05-14,SK,W 8:2,7,1B,4,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.259,0.482,0.807,13,0.90,0.151,1,,
º£ÅºÄÚÆ®,2019,05-15,SK,L 3:7,5,C,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.259,0.474,0.797,11,0.90,0.037,1,0.323,0.71
º£ÅºÄÚÆ®,2019,05-16,SK,W 5:2,5,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.258,0.467,0.787,12,-0.85,0.019,1,,
