Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
서건창,2020,05-05,@KIA,W 11:2,1,2B,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,21,-1.54,-0.066,1,0.000,0.53
서건창,2020,05-06,@KIA,W 3:2,1,2B,3,1,1,0,1,0,3,1,0,0,0,0,0,1,0,0,1,0.125,0.375,0.486,20,0.17,0.188,1,,
서건창,2020,05-07,@KIA,L 5:8,1,DH,5,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0.231,0.462,0.676,19,0.09,0.021,1,0.214,0.83
서건창,2020,05-08,한화,W 5:3,1,2B,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.176,0.353,0.563,11,-0.62,-0.039,1,,
서건창,2020,05-09,한화,W 5:3,1,2B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.190,0.333,0.551,9,0.76,0.036,1,0.217,2.11
서건창,2020,05-10,한화,W 6:3,1,DH,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.208,0.333,0.556,19,0.23,0.057,1,,
서건창,2020,05-12,삼성,W 3:2,1,DH,3,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0.222,0.333,0.591,10,0.62,0.071,1,0.258,0.88
서건창,2020,05-13,삼성,L 0:5,1,DH,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.233,0.333,0.619,15,-0.03,-0.036,1,,
서건창,2020,05-14,삼성,L 5:8,8,PH,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.258,0.452,0.757,3,1.00,0.011,0,0.306,0.21
서건창,2020,05-16,@LG,L 3:5,1,2B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.375,0.658,21,-1.77,-0.220,1,0.283,1.74
서건창,2020,05-16,@LG,L 1:3,1,DH,4,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.257,0.429,0.746,13,-0.24,-0.021,1,,
서건창,2020,05-17,@LG,W 9:4,1,2B,4,2,3,0,0,1,6,3,0,0,1,0,0,0,0,0,0,0.273,0.477,0.811,15,2.56,0.014,1,,
서건창,2020,05-19,SK,W 11:6,1,2B,5,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.286,0.469,0.809,16,1.58,0.090,1,0.339,0.93
서건창,2020,05-20,SK,L 3:5,1,2B,4,1,2,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0.302,0.472,0.832,19,0.89,0.135,1,,
서건창,2020,05-21,SK,W 9:8,1,2B,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.310,0.483,0.846,22,0.94,0.093,1,0.364,1.10
서건창,2020,05-22,@롯데,L 7:9,1,2B,3,2,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0.311,0.475,0.856,25,0.16,0.014,1,,
서건창,2020,05-23,@롯데,W 12:4,1,2B,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.308,0.462,0.843,14,0.99,-0.005,1,0.382,0.39
서건창,2020,05-24,@롯데,L 0:2,1,2B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.309,0.456,0.843,22,-0.30,-0.082,1,,
