Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
서동욱,2017,03-31,@삼성,W 7:2,2,2B,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.200,19,-0.08,0.039,1,0.200,0.69
서동욱,2017,04-01,@삼성,W 9:7,6,2B,5,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.733,17,1.20,0.063,1,,
서동욱,2017,04-02,@삼성,L 3:16,6,2B,3,1,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0.333,0.417,0.845,15,0.76,0.003,1,0.429,0.69
서동욱,2017,04-04,SK,W 6:1,6,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.313,0.646,14,-0.94,-0.057,1,,
서동욱,2017,04-06,SK,W 6:4,6,2B,3,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0.211,0.263,0.581,19,-0.02,-0.094,1,0.318,1.72
서동욱,2017,04-07,한화,W 4:2,6,1B,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.227,0.273,0.593,15,0.03,0.017,1,,
서동욱,2017,04-08,한화,L 3:4,6,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.200,0.240,0.526,8,-0.46,-0.084,1,0.286,1.30
서동욱,2017,04-09,한화,W 3:2,2,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.240,0.526,0,0.00,0.000,0,,
서동욱,2017,04-11,@두산,L 4:16,3,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0.231,0.507,6,-0.26,0.000,0,0.276,0.01
서동욱,2017,04-12,@두산,W 8:4,7,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0.222,0.489,1,-0.18,-0.001,0,,
