Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¼Õ½ÃÇå,2018,03-24,LG,W 4:2,8,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,14,-0.81,-0.063,1,0.000,0.76
¼Õ½ÃÇå,2018,03-25,LG,W 7:1,8,SS,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.000,0.000,0.375,14,0.78,0.022,1,,
¼Õ½ÃÇå,2018,03-27,ÇÑÈ­,W 9:6,6,SS,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.167,0.667,1.111,6,2.65,0.051,0,0.444,0.41
¼Õ½ÃÇå,2018,03-28,ÇÑÈ­,L 2:6,7,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.571,0.971,7,-0.25,-0.005,0,,
¼Õ½ÃÇå,2018,03-29,ÇÑÈ­,W 4:1,8,SS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.143,0.571,1.026,6,0.26,0.020,1,0.455,1.45
¼Õ½ÃÇå,2018,04-10,KT,L 4:5,8,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100,0.400,0.757,14,-0.84,-0.036,1,,
¼Õ½ÃÇå,2018,04-12,KT,L 2:7,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.083,0.333,0.646,8,-0.52,-0.053,1,0.313,1.05
¼Õ½ÃÇå,2018,05-08,SK,W 9:0,7,SS,4,1,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.125,0.375,0.675,12,0.64,-0.039,1,,
¼Õ½ÃÇå,2018,05-09,SK,L 5:6,7,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.333,0.606,7,-0.23,-0.018,1,0.273,0.35
¼Õ½ÃÇå,2018,05-10,SK,L 2:6,8,SS,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.100,0.300,0.580,16,-0.30,-0.026,1,,
¼Õ½ÃÇå,2018,05-11,@ÇÑÈ­,W 4:2,7,SS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080,0.240,0.473,13,-0.93,-0.056,1,0.233,0.44
¼Õ½ÃÇå,2018,05-13,@ÇÑÈ­,L 0:4,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.074,0.222,0.441,10,-0.52,-0.038,1,,
¼Õ½ÃÇå,2018,05-15,·Ôµ¥,L 3:5,8,SS,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.069,0.207,0.435,11,-0.52,-0.026,1,0.229,0.93
¼Õ½ÃÇå,2018,05-17,·Ôµ¥,L 0:7,8,SS,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.067,0.200,0.443,7,-0.42,-0.027,1,,
¼Õ½ÃÇå,2018,05-18,@KT,W 6:1,8,SS,4,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.088,0.235,0.479,13,0.23,0.088,1,0.244,0.77
¼Õ½ÃÇå,2018,05-19,@KT,L 2:3,8,SS,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.108,0.243,0.510,8,0.22,0.099,1,,
¼Õ½ÃÇå,2018,05-20,@KT,L 3:18,8,SS,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0.231,0.486,6,-0.50,-0.029,1,0.255,0.61
¼Õ½ÃÇå,2018,05-23,@LG,L 2:12,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0.231,0.486,0,0.00,0.000,0,,
¼Õ½ÃÇå,2018,05-24,@LG,L 0:4,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.098,0.220,0.464,6,-0.43,-0.032,1,0.245,0.62
¼Õ½ÃÇå,2018,05-25,KIA,L 2:14,8,SS,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.116,0.233,0.487,9,0.04,0.002,1,,
¼Õ½ÃÇå,2018,05-26,KIA,W 5:0,8,SS,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.130,0.239,0.512,15,-0.09,-0.008,1,0.273,0.80
¼Õ½ÃÇå,2018,05-27,KIA,L 1:12,8,SS,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.245,0.521,15,-0.31,0.007,1,,
¼Õ½ÃÇå,2018,05-30,@ÇÑÈ­,L 4:10,7,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.245,0.521,0,0.00,0.000,0,0.276,0.00
¼Õ½ÃÇå,2018,05-31,@ÇÑÈ­,W 5:4,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.235,0.502,6,-0.65,-0.036,0,,
¼Õ½ÃÇå,2018,06-01,»ï¼º,L 3:5,8,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.132,0.226,0.484,7,-0.52,-0.042,1,0.258,0.77
¼Õ½ÃÇå,2018,06-02,»ï¼º,L 4:6,8,SS,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.143,0.250,0.512,13,-0.46,-0.080,1,,
¼Õ½ÃÇå,2018,06-03,»ï¼º,L 7:8,8,SS,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.140,0.246,0.514,11,0.02,0.009,1,0.269,0.96
¼Õ½ÃÇå,2018,06-05,·Ôµ¥,L 6:12,8,SS,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.150,0.250,0.521,8,0.02,-0.029,1,,
¼Õ½ÃÇå,2018,06-06,·Ôµ¥,L 5:10,8,SS,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.148,0.246,0.524,10,-0.25,-0.015,1,0.278,0.61
¼Õ½ÃÇå,2018,06-07,·Ôµ¥,W 5:4,9,SS,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.159,0.254,0.534,8,-1.27,0.000,1,,
¼Õ½ÃÇå,2018,06-08,@µÎ»ê,L 1:6,9,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.152,0.242,0.521,15,-0.61,-0.029,1,0.278,1.00
¼Õ½ÃÇå,2018,06-09,@µÎ»ê,L 0:3,8,SS,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.147,0.235,0.516,13,-0.12,-0.017,1,,
¼Õ½ÃÇå,2018,06-10,@µÎ»ê,L 3:6,9,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.232,0.509,3,-0.26,-0.025,1,0.277,0.97
¼Õ½ÃÇå,2018,06-12,LG,W 8:4,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.232,0.509,0,0.00,0.000,0,,
¼Õ½ÃÇå,2018,06-13,LG,W 6:3,8,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.232,0.509,0,0.00,0.000,0,0.277,0.00
¼Õ½ÃÇå,2018,06-14,LG,W 11:7,2,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.232,0.509,0,0.00,0.000,0,,
¼Õ½ÃÇå,2018,06-15,KT,W 5:4,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.232,0.509,0,0.00,0.000,0,0.277,0.00
¼Õ½ÃÇå,2018,06-16,KT,W 5:1,2,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.232,0.509,0,0.00,0.000,0,,
¼Õ½ÃÇå,2018,06-20,@KIA,L 5:6,2,SS,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.157,0.243,0.529,2,0.23,0.026,0,0.286,0.84
¼Õ½ÃÇå,2018,06-21,@KIA,W 7:4,9,SS,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.162,0.243,0.527,9,-1.49,-0.044,1,,
¼Õ½ÃÇå,2018,06-22,ÇÑÈ­,L 0:5,9,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.237,0.515,8,-0.50,-0.060,1,0.278,1.23
¼Õ½ÃÇå,2018,06-23,ÇÑÈ­,L 1:8,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.156,0.234,0.508,3,-0.38,-0.004,0,,
¼Õ½ÃÇå,2018,06-24,ÇÑÈ­,L 3:5,9,SS,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.148,0.222,0.485,23,-1.82,-0.195,1,0.263,1.86
¼Õ½ÃÇå,2018,06-26,µÎ»ê,W 5:4,9,SS,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.155,0.226,0.499,15,-0.44,-0.017,1,,
