Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¼Õ¾Æ¼·,2019,03-23,Å°¿ò,L 4:7,2,RF,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,18,-1.16,-0.126,1,0.000,1.50
¼Õ¾Æ¼·,2019,03-24,Å°¿ò,W 6:2,2,RF,4,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.250,0.250,0.500,24,1.08,0.035,1,,
¼Õ¾Æ¼·,2019,03-26,»ï¼º,W 7:2,2,RF,4,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,13,1.29,0.058,1,0.333,0.62
¼Õ¾Æ¼·,2019,03-27,»ï¼º,L 4:23,2,RF,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.267,0.267,0.579,16,-0.63,-0.027,1,,
¼Õ¾Æ¼·,2019,03-28,»ï¼º,L 7:12,2,RF,3,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0.222,0.222,0.556,28,-0.20,-0.005,1,0.333,0.66
¼Õ¾Æ¼·,2019,03-29,@LG,L 1:2,2,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.190,0.190,0.510,15,-0.94,-0.116,1,,
¼Õ¾Æ¼·,2019,03-30,@LG,W 7:1,2,RF,5,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.231,0.231,0.564,12,2.34,0.110,1,0.333,0.87
¼Õ¾Æ¼·,2019,03-31,@LG,L 5:6,2,RF,4,2,4,0,0,1,7,2,2,0,1,0,0,0,0,0,0,0.333,0.433,0.862,14,3.48,0.258,1,,
¼Õ¾Æ¼·,2019,04-02,@SK,W 5:0,2,RF,4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.324,0.412,0.837,25,-0.80,-0.078,1,0.425,0.81
¼Õ¾Æ¼·,2019,04-03,@SK,W 3:1,2,RF,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.308,0.385,0.785,19,-0.24,0.006,1,,
¼Õ¾Æ¼·,2019,04-06,ÇÑÈ­,W 9:7,2,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.308,0.385,0.798,5,0.54,0.097,0,0.413,3.08
¼Õ¾Æ¼·,2019,04-07,ÇÑÈ­,L 1:16,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.300,0.375,0.779,3,-0.18,0.000,0,,
¼Õ¾Æ¼·,2019,04-10,µÎ»ê,L 1:3,1,RF,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.267,0.333,0.699,28,-1.77,-0.190,1,0.365,1.48
¼Õ¾Æ¼·,2019,04-11,µÎ»ê,L 1:5,1,RF,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.271,0.333,0.719,18,0.05,0.054,1,,
¼Õ¾Æ¼·,2019,04-12,@NC,L 1:2,1,RF,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.250,0.308,0.668,10,-0.93,-0.095,1,0.361,1.34
¼Õ¾Æ¼·,2019,04-13,@NC,L 5:7,1,RF,5,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.246,0.298,0.647,24,-0.80,-0.065,1,,
¼Õ¾Æ¼·,2019,04-14,@NC,L 1:8,2,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.246,0.295,0.638,16,-0.39,-0.015,1,0.343,0.58
¼Õ¾Æ¼·,2019,04-16,KIA,W 10:9,3,RF,4,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.246,0.308,0.654,15,-0.46,-0.013,1,,
¼Õ¾Æ¼·,2019,04-17,KIA,W 8:6,3,RF,6,3,4,1,0,1,8,3,0,0,0,0,0,0,0,0,0,0.282,0.394,0.765,23,2.63,0.496,1,0.370,1.69
¼Õ¾Æ¼·,2019,04-18,KIA,W 10:9,3,RF,4,1,2,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0.293,0.427,0.810,20,1.32,0.147,1,,
¼Õ¾Æ¼·,2019,04-19,KT,L 5:6,3,RF,2,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0.286,0.416,0.811,25,0.55,-0.030,1,0.396,2.07
¼Õ¾Æ¼·,2019,04-20,KT,W 5:4,3,RF,3,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0.288,0.413,0.819,17,0.35,0.020,1,,
¼Õ¾Æ¼·,2019,04-21,KT,L 3:6,3,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0.393,0.783,15,-1.38,-0.178,1,0.390,1.62
