Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
손주인,2018,04-24,NC,W 7:2,9,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,11,-1.58,-0.042,1,0.000,0.63
손주인,2018,04-25,NC,L 2:9,9,PH,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,4,0.35,0.001,0,,
손주인,2018,04-26,NC,L 2:5,8,2B,4,0,3,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0.500,0.750,1.250,16,2.37,0.118,1,0.500,0.88
손주인,2018,04-27,@LG,L 2:9,6,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.417,0.583,1.000,13,-1.23,-0.043,1,,
손주인,2018,04-28,@LG,L 4:6,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.313,0.438,0.750,12,-1.97,-0.190,1,0.313,1.57
손주인,2018,04-29,@LG,W 8:7,7,DH,5,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.429,0.524,0.952,19,0.68,0.045,1,,
손주인,2018,05-01,SK,L 3:12,7,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.375,0.458,0.833,14,-1.01,-0.010,1,0.375,0.12
손주인,2018,05-02,SK,L 4:7,8,3B,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.321,0.393,0.738,22,-0.93,-0.139,1,,
손주인,2018,05-03,SK,W 8:4,7,2B,4,1,2,2,0,0,4,1,1,0,0,0,0,0,1,0,0,0.344,0.469,0.832,12,1.37,0.144,1,0.364,0.68
손주인,2018,05-04,한화,L 6:9,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.455,0.807,7,-0.18,-0.013,0,,
손주인,2018,05-05,한화,W 8:3,8,2B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0.405,0.721,14,-0.88,-0.032,1,0.316,0.31
손주인,2018,05-08,@KT,W 9:4,4,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.282,0.385,0.685,8,-0.85,-0.020,0,,
손주인,2018,05-09,@KT,W 5:4,8,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.268,0.366,0.652,12,-1.56,-0.137,1,0.286,1.73
손주인,2018,05-11,KIA,W 8:3,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.366,0.652,0,0.00,0.000,0,,
손주인,2018,05-13,KIA,L 7:8,7,3B,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.273,0.364,0.668,16,0.45,0.016,1,0.304,0.92
손주인,2018,05-15,LG,W 4:2,8,2B,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.277,0.383,0.689,12,-0.21,0.011,1,,
손주인,2018,05-16,LG,L 7:8,9,2B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.275,0.373,0.674,19,-0.55,-0.084,1,0.302,1.05
손주인,2018,05-17,LG,L 5:8,9,2B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.264,0.358,0.649,8,-0.38,-0.046,1,,
손주인,2018,05-20,@넥센,W 4:3,7,3B,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.281,0.368,0.674,22,-0.61,-0.114,1,0.305,1.87
손주인,2018,05-22,롯데,W 10:4,6,3B,5,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.274,0.355,0.652,20,-1.05,-0.080,1,,
손주인,2018,05-23,롯데,W 6:4,7,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.277,0.354,0.652,18,-0.29,-0.028,1,0.299,1.15
손주인,2018,05-24,롯데,W 9:2,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.265,0.338,0.624,9,-1.56,-0.079,1,,
손주인,2018,05-25,@두산,W 6:1,8,2B,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.254,0.324,0.608,11,-0.27,-0.024,1,0.284,0.83
손주인,2018,05-26,@두산,L 1:6,8,2B,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.270,0.351,0.650,6,0.52,0.057,1,,
손주인,2018,05-29,KT,L 4:14,9,2B,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.260,0.338,0.634,9,-0.03,0.005,1,0.296,0.06
손주인,2018,05-30,KT,W 4:3,9,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260,0.338,0.634,0,0.00,0.000,0,,
손주인,2018,05-31,KT,W 6:0,9,2B,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.266,0.342,0.643,10,0.38,0.068,1,0.301,0.65
손주인,2018,06-01,@NC,W 5:3,9,3B,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.259,0.333,0.644,17,0.13,0.002,1,,
손주인,2018,06-02,@NC,W 6:4,8,2B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.321,0.621,13,-0.86,-0.066,1,0.300,0.98
손주인,2018,06-03,@NC,W 8:7,9,2B,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.261,0.330,0.638,23,0.56,0.088,1,,
손주인,2018,06-05,@SK,L 2:6,6,PH,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.253,0.319,0.618,10,-0.68,-0.030,0,0.299,0.41
손주인,2018,06-06,@SK,L 2:7,2,3B,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.263,0.326,0.633,10,0.28,0.059,1,,
손주인,2018,06-07,@SK,W 6:2,9,3B,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.273,0.333,0.648,12,0.35,0.064,1,0.314,0.89
손주인,2018,06-08,LG,L 5:9,9,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.272,0.330,0.642,16,-0.61,-0.085,1,,
손주인,2018,06-09,LG,L 0:6,9,2B,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.276,0.333,0.649,9,0.16,0.024,1,0.315,0.73
손주인,2018,06-10,LG,W 12:3,9,2B,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.269,0.324,0.631,12,0.29,0.027,1,,
