Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
¼Û±¤¹Î,2018,03-24,@³Ø¼¾,L 3:6,3,1B,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,16,-0.11,-0.008,1,0.500,0.61
¼Û±¤¹Î,2018,03-25,@³Ø¼¾,W 4:1,3,1B,5,1,3,1,0,0,4,2,0,1,0,0,0,0,0,0,0,0.556,0.667,1.222,16,1.28,0.194,1,,
¼Û±¤¹Î,2018,03-27,@NC,L 6:9,3,3B,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0.417,0.500,1.000,14,-0.44,-0.018,1,0.500,0.63
¼Û±¤¹Î,2018,03-28,@NC,W 6:2,3,3B,5,1,3,0,0,1,6,2,0,0,0,0,0,1,0,0,0,0.471,0.706,1.232,16,1.27,0.160,1,,
¼Û±¤¹Î,2018,03-30,SK,L 4:8,3,3B,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.429,0.619,1.097,15,0.89,0.091,1,0.478,0.80
¼Û±¤¹Î,2018,03-31,SK,L 1:12,3,3B,4,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.440,0.720,1.201,10,1.14,0.040,1,,
¼Û±¤¹Î,2018,04-01,SK,L 1:13,4,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.393,0.643,1.076,17,-0.69,-0.044,1,0.433,0.55
¼Û±¤¹Î,2018,04-03,·Ôµ¥,W 17:11,3,1B,5,2,3,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0.424,0.727,1.184,14,6.03,0.179,1,,
¼Û±¤¹Î,2018,04-04,·Ôµ¥,W 7:6,3,1B,5,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.421,0.711,1.161,15,1.34,0.186,1,0.450,1.29
¼Û±¤¹Î,2018,04-07,@KT,L 2:10,3,1B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.405,0.667,1.098,18,-0.22,0.019,1,,
¼Û±¤¹Î,2018,04-08,@KT,W 12:8,3,1B,6,1,3,1,0,0,4,3,0,0,0,0,0,3,0,0,0,0.417,0.667,1.107,24,2.20,0.131,1,0.440,1.41
¼Û±¤¹Î,2018,04-10,KIA,W 4:3,2,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,0.653,1.084,1,-0.25,-0.041,0,,
¼Û±¤¹Î,2018,04-11,KIA,W 6:4,3,1B,3,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0.404,0.635,1.053,9,-1.79,-0.081,1,0.418,1.62
¼Û±¤¹Î,2018,04-12,KIA,W 15:4,3,1B,5,3,2,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0.404,0.649,1.066,16,1.24,0.045,1,,
¼Û±¤¹Î,2018,04-13,»ï¼º,L 2:4,3,1B,4,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.393,0.639,1.046,13,0.48,-0.001,1,0.406,1.64
¼Û±¤¹Î,2018,04-14,»ï¼º,W 14:2,3,1B,4,2,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.400,0.677,1.089,9,2.39,0.170,1,,
¼Û±¤¹Î,2018,04-15,»ï¼º,W 7:4,3,1B,5,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.400,0.657,1.068,11,-0.60,0.005,1,0.411,0.60
¼Û±¤¹Î,2018,04-17,@µÎ»ê,W 5:2,3,1B,3,2,1,1,0,0,2,1,0,0,1,0,0,1,0,0,1,0.397,0.658,1.068,19,-0.57,0.014,1,,
¼Û±¤¹Î,2018,04-18,@µÎ»ê,L 4:5,3,1B,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.385,0.628,1.026,16,-0.96,-0.105,1,0.398,1.48
¼Û±¤¹Î,2018,04-19,@µÎ»ê,L 2:5,3,3B,2,1,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0.388,0.638,1.051,16,0.91,0.083,1,,
¼Û±¤¹Î,2018,04-20,³Ø¼¾,L 1:6,3,3B,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.393,0.631,1.049,14,-0.25,-0.002,1,0.418,0.49
¼Û±¤¹Î,2018,04-21,³Ø¼¾,L 3:4,3,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.386,0.614,1.024,15,-0.94,-0.202,1,,
¼Û±¤¹Î,2018,04-22,³Ø¼¾,L 1:10,3,3B,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.385,0.615,1.024,9,0.14,0.014,1,0.408,0.83
¼Û±¤¹Î,2018,04-25,@KIA,W 3:2,3,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0.589,0.982,9,-0.16,-0.016,1,,
¼Û±¤¹Î,2018,04-26,@KIA,W 3:1,3,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.354,0.566,0.943,9,-0.16,-0.046,1,0.377,1.09
¼Û±¤¹Î,2018,04-27,@·Ôµ¥,L 3:5,3,3B,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.359,0.563,0.945,20,-0.31,-0.079,1,,
¼Û±¤¹Î,2018,04-28,@·Ôµ¥,W 4:2,3,1B,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.349,0.547,0.916,14,-0.48,-0.004,1,0.368,0.82
¼Û±¤¹Î,2018,04-29,@·Ôµ¥,L 3:4,8,PH,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.349,0.541,0.909,19,-0.57,-0.037,0,,
¼Û±¤¹Î,2018,05-01,LG,W 6:5,3,3B,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.339,0.527,0.896,24,0.26,0.045,1,0.369,0.95
¼Û±¤¹Î,2018,05-02,LG,W 4:3,3,3B,4,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.345,0.534,0.907,9,0.51,-0.037,1,,
¼Û±¤¹Î,2018,05-03,LG,W 7:3,3,3B,4,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0.358,0.567,0.951,17,2.11,0.179,1,0.385,0.93
¼Û±¤¹Î,2018,05-04,@»ï¼º,W 9:6,3,3B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.344,0.544,0.914,15,-2.26,-0.308,1,,
¼Û±¤¹Î,2018,05-05,@»ï¼º,L 3:8,3,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.344,0.539,0.909,7,-0.30,-0.001,1,0.370,0.29
¼Û±¤¹Î,2018,05-08,@³Ø¼¾,W 10:9,3,3B,5,1,1,0,0,1,4,2,0,0,0,0,0,2,0,0,0,0.338,0.549,0.913,24,0.49,-0.038,1,,
¼Û±¤¹Î,2018,05-09,@³Ø¼¾,W 4:1,3,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.336,0.540,0.901,16,-0.62,-0.033,1,0.361,0.57
¼Û±¤¹Î,2018,05-10,@³Ø¼¾,W 3:1,3,3B,4,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0.333,0.532,0.894,17,-0.39,0.003,1,,
¼Û±¤¹Î,2018,05-11,NC,L 2:4,3,3B,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.329,0.521,0.877,21,-0.80,-0.085,1,0.357,1.56
¼Û±¤¹Î,2018,05-13,NC,W 4:0,3,3B,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.520,0.880,8,0.52,0.058,1,,
¼Û±¤¹Î,2018,05-15,KT,L 0:3,3,3B,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.338,0.526,0.890,15,0.85,0.103,1,0.364,1.73
¼Û±¤¹Î,2018,05-16,KT,W 5:4,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0.526,0.890,0,0.00,0.000,0,,
¼Û±¤¹Î,2018,05-17,KT,W 5:3,3,3B,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.338,0.522,0.883,12,0.50,0.090,1,0.361,1.13
¼Û±¤¹Î,2018,05-18,@LG,W 4:3,3,3B,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.335,0.516,0.874,15,-0.87,-0.061,1,,
